;GO:0045429;GO:0061136;GO:0002281;GO:0006366;GO:0044871;GO:0043001;GO:0045944;GO:0002001;GO:1903507;GO:0043687;GO:0006887;GO:0034605;GO:0010950;GO:0016579;GO:0044869;GO:0060177;GO:0007186;GO:0000209;GO:0050729;GO:0043312;GO:0007517;GO:0046597;GO:0006906;GO:0001878;GO:0045087;GO:2000045;GO:0050766;GO:0050921;GO:0035722
GO:0034605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.2;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.2
GO:0010950;0.45454545454545453;0.5454545454545454;0.0;0.0;0.4166666666666667;0.0;0.38461538461538464;0.0;0.3076923076923077;0.0;0.0;0.0;1.0;0.0;0.4;0.5;0.2727272727272727;0.0;0.25;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.23076923076923078;0.3333333333333333;0.2727272727272727;0.0
GO:0016579;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.1;0.0;0.0;1.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0044869;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
GO:0060177;0.5;0.5555555555555556;0.0;0.0;0.5555555555555556;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.0;0.2;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.2;0.2222222222222222;0.0
GO:0007186;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.14285714285714285;0.25;0.2;0.2727272727272727;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0
GO:0000209;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.5;0.09090909090909091;0.08333333333333333;0.0;0.5454545454545454;0.0;0.0;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1
GO:0050729;0.3;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;0.0;0.25;0.0;0.0;0.2;0.0;0.0;1.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.3333333333333333;0.7142857142857143;0.0
GO:0043312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
GO:0007517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046597;0.16666666666666666;0.15384615384615385;0.0;0.0;0.5555555555555556;0.0;0.15384615384615385;0.0;0.25;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.18181818181818182;0.0;0.0;0.18181818181818182;0.0;0.0;1.0;0.0;0.0;0.0;0.16666666666666666;0.18181818181818182;0.2;0.0
GO:0006906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001878;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0045087;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:2000045;0.2727272727272727;0.25;0.0;0.0;0.2727272727272727;0.0;0.23076923076923078;0.0;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.18181818181818182;0.3333333333333333;0.0;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;1.0;0.2727272727272727;0.2;0.0
GO:0050766;0.4;0.25;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.25;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.2;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.2727272727272727;1.0;0.375;0.0
GO:0050921;0.3333333333333333;0.18181818181818182;0.0;0.0;0.0;0.0;0.3;0.0;0.18181818181818182;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2222222222222222;0.0;0.0;0.7142857142857143;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.375;1.0;0.0
GO:0035722;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.14285714285714285;0.25;0.2;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
