;GO:0071816;GO:0006120;GO:0006886;GO:0006367;GO:0045053;GO:0045893;GO:0018230;GO:0046067;GO:0050714;GO:0032008;GO:0019886;GO:0065004;GO:0006256;GO:0045333;GO:0043312;GO:0006612;GO:0006888;GO:0045661;GO:0046034;GO:0051415;GO:0016567;GO:0090307;GO:0032472;GO:0032790;GO:0006464;GO:0043123;GO:0043001;GO:0045666;GO:0006468;GO:0045944;GO:0046712;GO:0007632;GO:0000045;GO:0070588;GO:0035735;GO:0032981;GO:0030520;GO:0031532;GO:0032468;GO:0015782;GO:0009101;GO:0006351;GO:1903830;GO:0009306;GO:0005977;GO:0046057;GO:0006906;GO:0048278;GO:0043066;GO:0030032;GO:0033344;GO:0031122;GO:0048194
GO:0015782;0.11538461538461542;0.0;0.24;0.0;0.08695652173913049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.19354838709677424;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.23809523809523814;0.0;0.0;0.0;0.17142857142857137;0.0;0.0;0.0;0.0;0.0;0.0;0.29166666666666663;0.1428571428571429;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.29166666666666663;0.23076923076923073;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.25;0.0;0.0
GO:0009101;0.0;0.16666666666666663;0.0;0.3529411764705882;0.07407407407407407;0.0;0.3666666666666667;0.16666666666666663;0.0;0.0;0.0;0.07407407407407407;0.14634146341463417;0.17391304347826086;0.050000000000000044;0.0;0.0;0.0;0.19565217391304346;0.0714285714285714;0.42307692307692313;0.05882352941176472;0.0;0.06896551724137934;0.4782608695652174;0.0;0.0;0.0;0.40740740740740744;0.0;0.1428571428571429;0.0;0.07407407407407407;0.0;0.05882352941176472;0.0714285714285714;0.0714285714285714;0.07692307692307687;0.05405405405405406;0.0;1.0;0.4117647058823529;0.0;0.05882352941176472;0.2666666666666667;0.16666666666666663;0.0714285714285714;0.07999999999999996;0.0;0.0714285714285714;0.0;0.07407407407407407;0.07692307692307687
GO:0006351;0.0;0.125;0.0;0.8620689655172413;0.05714285714285716;0.0;0.22499999999999998;0.2777777777777778;0.0;0.0;0.0;0.05714285714285716;0.24390243902439024;0.12903225806451613;0.04166666666666663;0.0;0.0;0.0;0.23529411764705888;0.05555555555555558;0.25;0.04761904761904767;0.0;0.05405405405405406;0.2727272727272727;0.0;0.0;0.0;0.2432432432432432;0.0;0.23809523809523814;0.0;0.05714285714285716;0.0;0.04761904761904767;0.05555555555555558;0.05555555555555558;0.05882352941176472;0.0444444444444444;0.0;0.4117647058823529;1.0;0.0;0.04761904761904767;0.21052631578947367;0.2777777777777778;0.05555555555555558;0.06060606060606055;0.0;0.05555555555555558;0.0;0.05714285714285716;0.05882352941176472
GO:1903830;0.12;0.0;0.15384615384615385;0.0;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12121212121212122;0.125;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.5625;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.875;0.14814814814814814;0.0;0.0;0.0;0.0;0.29166666666666663;0.0;0.0;1.0;0.14814814814814814;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.19999999999999996;0.0;0.0
GO:0009306;0.26086956521739135;0.09090909090909094;0.631578947368421;0.050000000000000044;0.13636363636363635;0.0;0.05714285714285716;0.02564102564102566;0.0;0.0;0.0;0.08695652173913049;0.022727272727272707;0.09523809523809523;0.22580645161290325;0.48;0.19047619047619047;0.0;0.04081632653061229;0.08333333333333337;0.06451612903225812;0.06666666666666665;0.18181818181818177;0.07999999999999996;0.0714285714285714;0.0;0.4137931034482759;0.0;0.0625;0.0;0.022222222222222254;0.0;0.08695652173913049;0.14814814814814814;0.18518518518518523;0.08333333333333337;0.08333333333333337;0.09090909090909094;0.06060606060606055;0.23076923076923073;0.05882352941176472;0.04761904761904767;0.14814814814814814;1.0;0.0625;0.02564102564102566;0.08333333333333337;0.15000000000000002;0.0;0.08333333333333337;0.25;0.08695652173913049;0.09090909090909094
GO:0005977;0.0;0.30000000000000004;0.0;0.18918918918918914;0.07999999999999996;0.0;0.25806451612903225;0.07894736842105265;0.0;0.0;0.0;0.07999999999999996;0.06976744186046513;0.38888888888888884;0.052631578947368474;0.0;0.0;0.0;0.12765957446808507;0.07692307692307687;0.2962962962962963;0.0625;0.0;0.07407407407407407;0.33333333333333337;0.0;0.0;0.0;0.2857142857142857;0.0;0.06818181818181823;0.0;0.07999999999999996;0.0;0.0625;0.07692307692307687;0.07692307692307687;0.08333333333333337;0.05714285714285716;0.0;0.2666666666666667;0.21052631578947367;0.0;0.0625;1.0;0.07894736842105265;0.07692307692307687;0.08695652173913049;0.0;0.07692307692307687;0.0;0.07999999999999996;0.08333333333333337
GO:0046057;0.0;0.05882352941176472;0.0;0.2857142857142857;0.028169014084507005;0.0;0.10389610389610393;0.9692307692307692;0.0;0.0;0.0;0.028169014084507005;0.5;0.05970149253731338;0.023809523809523836;0.0;0.0;0.0;0.3026315789473685;0.02777777777777779;0.1095890410958904;0.02564102564102566;0.0;0.0273972602739726;0.11428571428571432;0.0;0.0;0.0;0.13888888888888884;0.0;0.5909090909090908;0.0;0.028169014084507005;0.0;0.02564102564102566;0.02777777777777779;0.02777777777777779;0.02857142857142858;0.024691358024691357;0.0;0.16666666666666663;0.2777777777777778;0.0;0.02564102564102566;0.07894736842105265;1.0;0.02777777777777779;0.02898550724637683;0.0;0.02777777777777779;0.0;0.028169014084507005;0.02857142857142858
GO:0006906;0.0;0.125;0.0;0.05882352941176472;0.11764705882352944;0.0;0.06896551724137934;0.02777777777777779;0.0;0.0;0.0;0.2666666666666667;0.024390243902439046;0.1333333333333333;0.06666666666666665;0.0;0.0;0.0;0.046511627906976716;0.33333333333333337;0.07999999999999996;0.23809523809523814;0.0;0.3125;0.09090909090909094;0.0;0.0;0.0;0.07692307692307687;0.0;0.023809523809523836;0.0;0.3571428571428571;0.0;0.08333333333333337;0.25;0.11111111111111116;0.3846153846153846;0.07407407407407407;0.0;0.0714285714285714;0.05555555555555558;0.0;0.08333333333333337;0.07692307692307687;0.02777777777777779;1.0;0.1333333333333333;0.0;0.25;0.0;0.3571428571428571;0.6363636363636364
GO:0048278;0.17647058823529416;0.15384615384615385;0.1578947368421053;0.06451612903225812;0.23076923076923073;0.0;0.07692307692307687;0.02898550724637683;0.0;0.0;0.0;0.1428571428571429;0.025316455696202556;0.16666666666666663;0.11538461538461542;0.12;0.23076923076923073;0.0;0.050000000000000044;0.1333333333333333;0.09090909090909094;0.09523809523809523;0.1333333333333333;0.125;0.10526315789473684;0.0;0.10344827586206895;0.0;0.08695652173913049;0.0;0.024691358024691357;0.0;0.1428571428571429;0.09999999999999998;0.21052631578947367;0.1333333333333333;0.1333333333333333;0.15384615384615385;0.08333333333333337;0.09523809523809523;0.07999999999999996;0.06060606060606055;0.09999999999999998;0.15000000000000002;0.08695652173913049;0.02898550724637683;0.1333333333333333;1.0;0.0;0.1333333333333333;0.1428571428571429;0.1428571428571429;0.15384615384615385
GO:0043066;0.0;0.0;0.0;0.0;0.11111111111111116;0.09999999999999998;0.0;0.0;0.13793103448275867;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.14814814814814814;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705888;0.0;0.0714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:0030032;0.0;0.125;0.0;0.05882352941176472;0.11764705882352944;0.0;0.06896551724137934;0.02777777777777779;0.0;0.0;0.0;0.3571428571428571;0.024390243902439046;0.1333333333333333;0.06666666666666665;0.0;0.0;0.0;0.046511627906976716;0.25;0.07999999999999996;0.23809523809523814;0.0;0.23529411764705888;0.09090909090909094;0.0;0.0;0.0;0.07692307692307687;0.0;0.023809523809523836;0.0;0.3571428571428571;0.0;0.08333333333333337;0.33333333333333337;0.11111111111111116;0.2857142857142857;0.07407407407407407;0.0;0.0714285714285714;0.05555555555555558;0.0;0.08333333333333337;0.07692307692307687;0.02777777777777779;0.25;0.1333333333333333;0.0;1.0;0.0;0.2666666666666667;0.2857142857142857
GO:0033344;0.1578947368421053;0.0;0.26315789473684215;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14814814814814814;0.19999999999999996;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.2666666666666667;0.0;0.0;0.0;0.1724137931034483;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.19047619047619047;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.19999999999999996;0.25;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;1.0;0.0;0.0
GO:0031122;0.0;0.1333333333333333;0.0;0.06060606060606055;0.125;0.0;0.0714285714285714;0.028169014084507005;0.0;0.0;0.0;0.2857142857142857;0.024691358024691357;0.1428571428571429;0.06896551724137934;0.0;0.0;0.0;0.04761904761904767;0.7272727272727273;0.08333333333333337;0.47058823529411764;0.0;0.33333333333333337;0.09523809523809523;0.0;0.0;0.0;0.07999999999999996;0.0;0.02409638554216864;0.0;0.3846153846153846;0.0;0.13636363636363635;0.2666666666666667;0.11764705882352944;0.5454545454545454;0.07692307692307687;0.0;0.07407407407407407;0.05714285714285716;0.0;0.08695652173913049;0.07999999999999996;0.028169014084507005;0.3571428571428571;0.1428571428571429;0.0;0.2666666666666667;0.0;1.0;0.41666666666666663
GO:0048194;0.0;0.1428571428571429;0.0;0.0625;0.1333333333333333;0.0;0.07407407407407407;0.02857142857142858;0.0;0.0;0.0;0.3076923076923077;0.025000000000000022;0.15384615384615385;0.0714285714285714;0.0;0.0;0.0;0.04878048780487809;0.3846153846153846;0.08695652173913049;0.26315789473684215;0.0;0.3571428571428571;0.09999999999999998;0.0;0.0;0.0;0.08333333333333337;0.0;0.024390243902439046;0.0;0.41666666666666663;0.0;0.09090909090909094;0.2857142857142857;0.125;0.4545454545454546;0.07999999999999996;0.0;0.07692307692307687;0.05882352941176472;0.0;0.09090909090909094;0.08333333333333337;0.02857142857142858;0.6363636363636364;0.15384615384615385;0.0;0.2857142857142857;0.0;0.41666666666666663;1.0
