;GO:0016525;GO:0040014;GO:0008584;GO:0033141;GO:0008284;GO:0045762;GO:0007595;GO:1902895;GO:1903489;GO:0042531;GO:0002286;GO:0042699;GO:0009755;GO:0071373;GO:0001545;GO:0045892;GO:0045893;GO:0043330;GO:0045670;GO:0051607;GO:0032962;GO:2000552;GO:0060397;GO:0030183;GO:0044267;GO:0042100;GO:0007565;GO:0007166;GO:0007189;GO:0007200;GO:0009967;GO:0045636;GO:0060337;GO:0042700;GO:0046427;GO:0002323;GO:0045581;GO:0030539;GO:0046597;GO:0045087;GO:0043066;GO:0006508;GO:2000666;GO:0001937;GO:0010469;GO:2000663
GO:0007189;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.26648227313493894;0.12659489728285286;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.24553006275393716;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12659489728285286;1.0;0.26648227313493894;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.26648227313493894;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:0007200;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.26648227313493894;0.12659489728285286;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12659489728285286;0.26648227313493894;1.0;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.26648227313493894;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:0009967;0.042064647228987374;0.042064647228987374;0.0;0.1786822519641151;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.12755981097713553;0.11511873865597294;0.25051392497694763;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.12755981097713553;0.1492331351584338;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;1.0;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.25051392497694763;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725
GO:0045636;0.20397374928165476;0.20397374928165476;0.0;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.12755981097713553;0.2688665324497557;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.2410224993701646;0.0;0.12755981097713553;0.042064647228987374;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;1.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.2410224993701646;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:0060337;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.12659489728285286;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.2052608479739753;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.047799631016701725;1.0;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:0042700;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.26648227313493894;0.12659489728285286;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12659489728285286;0.26648227313493894;0.26648227313493894;0.047799631016701725;0.047799631016701725;0.12659489728285286;1.0;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:0046427;0.042064647228987374;0.042064647228987374;0.0;0.48819590641329713;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.12755981097713553;0.11511873865597294;0.5584069141800461;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.12755981097713553;0.1492331351584338;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.25051392497694763;0.12755981097713553;0.047799631016701725;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725
GO:0002323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5375110437700777;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.29045087053624835;0.0;0.0;0.01468324974140624;0.40842982240055986;0.01468324974140624;0.40842982240055986;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;1.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045581;0.30550822320801124;0.20397374928165476;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.23094064297706635;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.4324399819200613;0.0;0.047799631016701725;0.38719244885860515;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.2410224993701646;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;1.0;0.0;0.12804570306913615;0.0;0.13839445927415203;0.0;0.2868411840981557;0.13839445927415203;0.047799631016701725;0.2868411840981557
GO:0030539;0.0;0.0;0.428153331618382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046597;0.12804570306913615;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.12804570306913615;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.12804570306913615;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.12804570306913615;0.0;1.0;0.0;0.12804570306913615;0.0;0.12804570306913615;0.12804570306913615;0.042064647228987374;0.12804570306913615
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.27499689082764317;0.0;0.0;0.0;0.20709043845653538;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
