;GO:0016525;GO:0042416;GO:0014068;GO:0008584;GO:0009792;GO:0032570;GO:0045124;GO:0090051;GO:0045766;GO:0042535;GO:0000187;GO:0030307;GO:0002479;GO:0001666;GO:0046580;GO:0030823;GO:0001942;GO:0030308;GO:0001701;GO:0050671;GO:0046069;GO:0010936;GO:0030949;GO:2000353;GO:0050714;GO:1902043;GO:0038027;GO:0000902;GO:0045652;GO:0003065;GO:0007266;GO:0009967;GO:0003222;GO:0045778;GO:0051895;GO:0014909;GO:0048010;GO:0051497;GO:0001676;GO:0051891;GO:0051496;GO:0071363;GO:0050680;GO:0031069;GO:0035702;GO:0018149;GO:0034614;GO:0034976;GO:0051897;GO:0043406;GO:1904753;GO:0008284;GO:0097191;GO:0045787;GO:0002581;GO:0045785;GO:0045823;GO:0060389;GO:0045944;GO:0000038;GO:0043525;GO:0002576;GO:0048661;GO:0007229;GO:0034605;GO:0051781;GO:0010757;GO:0010759;GO:0051384;GO:0001649;GO:0034446;GO:0010754;GO:0032147;GO:0033630;GO:0010634;GO:0010595;GO:0050731;GO:2000379;GO:0010751;GO:0045715;GO:0032781;GO:0048666;GO:0001780;GO:0043536;GO:1903955;GO:0051795;GO:0050748;GO:0030593;GO:2001237;GO:0010888;GO:0050900;GO:0030199;GO:0001938;GO:0010002;GO:1990959;GO:0010763;GO:0055118;GO:0030511;GO:0007050;GO:1905221;GO:0040037;GO:0045726;GO:0045727;GO:0060282;GO:0007179;GO:0043149;GO:0042730;GO:0043547;GO:1990960;GO:0009749;GO:0048566;GO:0030509;GO:0043154;GO:0043032;GO:0010613;GO:0071456;GO:0033574;GO:0048041;GO:0032369;GO:0060271;GO:0060395;GO:0043277;GO:0045214;GO:0060317;GO:1904706;GO:0010629;GO:0002687;GO:0032914;GO:0006888;GO:0051056;GO:0048333;GO:0002605;GO:0010748;GO:0035987;GO:0010745;GO:0010469;GO:0010862;GO:0032874;GO:0046718;GO:0008360;GO:0014003;GO:1905006;GO:1902256;GO:0060065;GO:1902895;GO:1903588;GO:0048699;GO:1905007;GO:0045747;GO:0006986;GO:0030326;GO:0030449;GO:2001027;GO:0035338;GO:0010951;GO:0071356;GO:0050778;GO:0030049;GO:0010693;GO:0051918;GO:0006351;GO:0030041;GO:0038163;GO:0042130;GO:0030032;GO:0032695;GO:0030036;GO:0031643
GO:0051496;0.042064647228987374;0.0;0.12755981097713553;0.0;0.0;0.0;0.042064647228987374;0.047799631016701725;0.11511873865597294;0.12755981097713553;0.12755981097713553;0.20397374928165476;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.20397374928165476;0.0;0.12755981097713553;0.0;0.042064647228987374;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.0;0.11511873865597294;0.30562333868781577;0.0;0.047799631016701725;0.5584069141800461;0.0;0.12755981097713553;1.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.0;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.042064647228987374;0.11511873865597294;0.11511873865597294;0.0;0.12755981097713553;0.0;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.12755981097713553;0.3490127006068281;0.11511873865597294;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.0;0.0;0.12755981097713553;0.0;0.036692364793703955;0.12755981097713553;0.042064647228987374;0.12755981097713553;0.047799631016701725;0.27776606418114075;0.047799631016701725;0.27776606418114075;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.0;0.042064647228987374;0.036692364793703955;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.042064647228987374;0.12755981097713553;0.11511873865597294;0.0;0.047799631016701725;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.0;0.20397374928165476;0.0;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.0;0.042064647228987374;0.047799631016701725;0.0;0.047799631016701725;0.0;0.11511873865597294;0.0;0.047799631016701725;0.11511873865597294;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.12755981097713553
GO:0071363;0.0;0.01468324974140624;0.0;0.0;0.0;0.21955571243929653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;1.0;0.0;0.0;0.0;0.01468324974140624;0.2473380912762773;0.1912422969752877;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.21955571243929653;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.21955571243929653;0.0;0.01468324974140624;0.0;0.0;0.0;0.2473380912762773;0.21955571243929653;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.21955571243929653;0.0;0.0;0.0;0.01468324974140624;0.0;0.26838521347675653;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0050680;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.13839445927415203;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.13839445927415203;0.0;0.24636553155839747;0.0;0.12804570306913615;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.13839445927415203;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.0;1.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.24636553155839747;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.24636553155839747;0.047799631016701725;0.0;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.036692364793703955;0.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.13839445927415203;0.0;0.13839445927415203;0.12804570306913615;0.0;0.0;0.4129334470869733;0.0;0.036692364793703955;0.047799631016701725;0.12804570306913615;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.12804570306913615;0.036692364793703955;0.036692364793703955;0.0;0.0;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.0;0.0;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.0;0.33566363481728667;0.12804570306913615;0.047799631016701725;0.042064647228987374;0.0;0.047799631016701725;0.0;0.12804570306913615;0.12804570306913615;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.5103348992659842;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.042064647228987374;0.13839445927415203;0.0;0.13839445927415203;0.0;0.042064647228987374;0.0;0.13839445927415203;0.12804570306913615;0.0;0.0;0.047799631016701725;0.33566363481728667;0.0;0.12804570306913615;0.0;0.047799631016701725
GO:0031069;0.0;0.0;0.0;0.1302612429746404;0.1642658631441654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5640127057064414;0.0;0.1642658631441654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25905973592202725;0.0;0.0;0.0;0.0;0.25905973592202725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.25905973592202725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.25905973592202725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035702;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.16702085169111647;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.20709043845653538;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.16702085169111647;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;1.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.683847890374163;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.16702085169111647;0.20709043845653538;0.0;0.036692364793703955;0.0;0.683847890374163;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.16702085169111647;0.036692364793703955;0.683847890374163;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.16702085169111647;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.16702085169111647;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955
GO:0018149;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.06927734236639929;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;1.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.18032682375526765;0.0;0.06927734236639929;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.06886689890529227;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0034614;0.0;0.01468324974140624;0.0;0.0;0.0;0.26593385309172635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.2473380912762773;0.0;0.0;0.0;0.01468324974140624;1.0;0.24991089615047335;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.24991089615047335;0.0;0.0;0.0;0.19673256925640645;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.26593385309172635;0.0;0.01468324974140624;0.0;0.0;0.0;0.24991089615047335;0.26593385309172635;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.19673256925640645;0.0;0.0;0.0;0.01468324974140624;0.0;0.2473380912762773;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0034976;0.0;0.01468324974140624;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.1912422969752877;0.0;0.0;0.0;0.01468324974140624;0.24991089615047335;1.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.24991089615047335;0.0;0.0;0.0;0.11807622278079505;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.11807622278079505;0.0;0.01468324974140624;0.0;0.0;0.0;0.24991089615047335;0.11807622278079505;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.01468324974140624;0.0;0.1912422969752877;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0051897;0.042064647228987374;0.0;0.29215307485716907;0.0;0.0;0.0;0.042064647228987374;0.047799631016701725;0.11511873865597294;0.12755981097713553;0.29215307485716907;0.12755981097713553;0.0;0.0;0.2326756683755529;0.047799631016701725;0.0;0.047799631016701725;0.0;0.12755981097713553;0.0;0.1492331351584338;0.25051392497694763;0.12755981097713553;0.12755981097713553;0.25051392497694763;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.047799631016701725;0.25051392497694763;0.0;0.11511873865597294;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.0;1.0;0.29215307485716907;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.042064647228987374;0.11511873865597294;0.11511873865597294;0.0;0.12755981097713553;0.0;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.21066859409381297;0.0;0.0;0.0;0.2326756683755529;0.12755981097713553;0.11511873865597294;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.2326756683755529;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.12755981097713553;0.12755981097713553;0.11511873865597294;0.047799631016701725;0.0;0.1786822519641151;0.042064647228987374;0.0;0.0;0.12755981097713553;0.0;0.036692364793703955;0.12755981097713553;0.042064647228987374;0.25051392497694763;0.047799631016701725;0.12755981097713553;0.1786822519641151;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.0;0.1492331351584338;0.036692364793703955;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.1492331351584338;0.0;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.042064647228987374;0.12755981097713553;0.11511873865597294;0.0;0.2326756683755529;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.1786822519641151;0.25051392497694763;0.29215307485716907;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.25051392497694763;0.0;0.0;0.1492331351584338;0.1492331351584338;0.0;0.047799631016701725;0.0;0.21066859409381297;0.0;0.047799631016701725;0.21066859409381297;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.12755981097713553
GO:0043406;0.042064647228987374;0.0;0.29215307485716907;0.0;0.0;0.0;0.042064647228987374;0.047799631016701725;0.11511873865597294;0.24457446477495315;0.4296914071138928;0.12755981097713553;0.0;0.0;0.2326756683755529;0.23617816366413516;0.0;0.047799631016701725;0.0;0.12755981097713553;0.0;0.1492331351584338;0.25051392497694763;0.12755981097713553;0.12755981097713553;0.25051392497694763;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.047799631016701725;0.25051392497694763;0.0;0.11511873865597294;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.047799631016701725;0.0;0.036692364793703955;0.0;0.0;0.0;0.29215307485716907;1.0;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.042064647228987374;0.11511873865597294;0.11511873865597294;0.0;0.1816892161000484;0.0;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.19885971868423638;0.21066859409381297;0.0;0.0;0.0;0.2326756683755529;0.361147619079207;0.11511873865597294;0.12755981097713553;0.12755981097713553;0.2970121637671333;0.17811780918080672;0.2326756683755529;0.1890450431733396;0.25833176065663566;0.0;0.036692364793703955;0.12755981097713553;0.12755981097713553;0.11511873865597294;0.1890450431733396;0.0;0.1786822519641151;0.042064647228987374;0.0;0.0;0.12755981097713553;0.0;0.036692364793703955;0.12755981097713553;0.042064647228987374;0.25051392497694763;0.047799631016701725;0.12755981097713553;0.1786822519641151;0.17825033928423412;0.25118815347651524;0.12755981097713553;0.047799631016701725;0.0;0.1492331351584338;0.25833176065663566;0.036692364793703955;0.0;0.0;0.10900961301269105;0.20819522445199756;0.12755981097713553;0.1492331351584338;0.0;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.10567815125427765;0.12755981097713553;0.11511873865597294;0.0;0.2326756683755529;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.1786822519641151;0.2970121637671333;0.35725817352143013;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.1816892161000484;0.047799631016701725;0.0;0.12755981097713553;0.25051392497694763;0.0;0.0;0.1890450431733396;0.1492331351584338;0.0;0.20819522445199756;0.0;0.21066859409381297;0.0;0.23617816366413516;0.21066859409381297;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.12755981097713553
GO:1904753;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.4407263001830965;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.12804570306913615;0.047799631016701725;0.047799631016701725;0.19673256925640645;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.13839445927415203;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.0;0.13839445927415203;0.0;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;1.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.13839445927415203;0.3203394775822981;0.0;0.0;0.0;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.3203394775822981;0.3203394775822981;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.036692364793703955;0.0;0.036692364793703955;0.3203394775822981;0.19673256925640645;0.042064647228987374;0.13839445927415203;0.0;0.13839445927415203;0.19673256925640645;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.3203394775822981;0.12804570306913615;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.12804570306913615;0.036692364793703955;0.036692364793703955;0.0;0.0;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.0;0.0;0.0;0.19673256925640645;0.0;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.12804570306913615;0.3203394775822981;0.042064647228987374;0.0;0.047799631016701725;0.0;0.12804570306913615;0.19673256925640645;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.042064647228987374;0.4407263001830965;0.0;0.13839445927415203;0.0;0.042064647228987374;0.0;0.13839445927415203;0.12804570306913615;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.12804570306913615;0.0;0.047799631016701725
