;GO:0045727;GO:0015031;GO:0006366;GO:0006363;GO:0045444;GO:0042059;GO:0045766;GO:0001666;GO:0051289;GO:0045892;GO:0045893;GO:0032287;GO:0032288;GO:0017148;GO:0055007;GO:0016578;GO:0034063;GO:0035750;GO:0006493;GO:0060271;GO:0008156;GO:0042147;GO:0006974;GO:0060754;GO:0006334;GO:0048010;GO:0043162;GO:0072332;GO:0048255;GO:0070830;GO:0030178;GO:0010469;GO:0072659;GO:0043966;GO:0006260;GO:1902455;GO:0000122;GO:0002576;GO:0006417;GO:0051781;GO:0048026;GO:0050930;GO:0070936;GO:0071629;GO:0006351;GO:0038084;GO:0044267;GO:0006513;GO:0006357;GO:0001934;GO:0043065;GO:0070534;GO:0001938
GO:0045893;0.7;0.0;0.0;0.0;0.0;0.4;0.42105263157894735;0.0;0.0;0.9090909090909091;1.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.36363636363636365;0.0;0.1;0.0;0.10526315789473684;0.6363636363636364;0.0;0.42105263157894735;0.4444444444444444;0.0;0.0;0.0;0.35294117647058826;0.8695652173913043;0.0;0.7368421052631579;0.47058823529411764;0.6363636363636364;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.9090909090909091;0.5714285714285714;0.42105263157894735;0.0;0.42105263157894735
GO:0032287;0.0;0.0;0.1111111111111111;0.11764705882352941;0.3333333333333333;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;1.0;0.15384615384615385;0.0;0.14285714285714285;0.1111111111111111;0.13333333333333333;0.0;0.125;0.14285714285714285;0.0;0.0;0.3333333333333333;0.0;0.13333333333333333;0.125;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.0;0.1;0.26666666666666666;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.21052631578947367;0.1111111111111111;0.11764705882352941;0.125;0.3076923076923077;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.0
GO:0032288;0.0;0.0;0.11764705882352941;0.125;0.36363636363636365;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.15384615384615385;1.0;0.0;0.15384615384615385;0.11764705882352941;0.14285714285714285;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.36363636363636365;0.0;0.14285714285714285;0.13333333333333333;0.125;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.10526315789473684;0.2857142857142857;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.2222222222222222;0.11764705882352941;0.125;0.13333333333333333;0.3333333333333333;0.23529411764705882;0.0;0.0;0.0;0.2222222222222222;0.0
GO:0017148;0.8888888888888888;0.0;0.0;0.0;0.0;0.5555555555555556;0.35294117647058826;0.0;0.0;0.8;0.7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8888888888888888;0.0;0.0;0.3;0.0;0.1111111111111111;0.0;0.47058823529411764;0.7;0.0;0.5882352941176471;0.5;0.0;0.0;0.0;0.5333333333333333;0.7619047619047619;0.0;0.9411764705882353;0.5333333333333333;0.6;0.3333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.7;0.7368421052631579;0.47058823529411764;0.0;0.47058823529411764
GO:0055007;0.0;0.0;0.1111111111111111;0.11764705882352941;0.6666666666666666;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;1.0;0.1111111111111111;0.13333333333333333;0.0;0.125;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.13333333333333333;0.125;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.0;0.1;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.125;0.15384615384615385;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.0
GO:0016578;0.0;0.0;0.09090909090909091;0.09523809523809523;0.25;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.1111111111111111;1.0;0.10526315789473684;0.0;0.1;0.1111111111111111;0.0;0.0;0.25;0.0;0.10526315789473684;0.1;0.09523809523809523;0.10526315789473684;0.0;0.1111111111111111;0.0;0.0;0.0;0.08333333333333333;0.21052631578947367;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.6086956521739131;0.09090909090909091;0.09523809523809523;0.1;0.7058823529411765;0.6363636363636364;0.0;0.0;0.0;0.6086956521739131;0.0
GO:0034063;0.0;0.0;0.10526315789473684;0.1111111111111111;0.15384615384615385;0.0;0.0;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.13333333333333333;0.10526315789473684;1.0;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.15384615384615385;0.0;0.125;0.11764705882352941;0.1111111111111111;0.125;0.0;0.13333333333333333;0.0;0.0;0.0;0.09523809523809523;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.1;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.14285714285714285;0.10526315789473684;0.0;0.0;0.0;0.1;0.0
GO:0035750;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7692307692307693;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006493;0.0;0.0;0.4;0.3157894736842105;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.125;0.13333333333333333;0.0;0.125;0.1;0.11764705882352941;0.0;1.0;0.125;0.0;0.0;0.2857142857142857;0.0;0.11764705882352941;0.1111111111111111;0.5263157894736842;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.5882352941176471;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.6666666666666666;0.5;0.10526315789473684;0.1111111111111111;0.6666666666666666;0.7;0.0;0.0;0.0;0.6666666666666666;0.0
GO:0060271;0.0;0.0;0.1111111111111111;0.11764705882352941;0.16666666666666666;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.14285714285714285;0.1111111111111111;0.13333333333333333;0.0;0.125;1.0;0.0;0.0;0.16666666666666666;0.0;0.13333333333333333;0.125;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.0;0.1;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.125;0.15384615384615385;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.0
GO:0008156;0.7777777777777778;0.0;0.0;0.0;0.0;0.5555555555555556;0.35294117647058826;0.0;0.0;0.8;0.7;0.0;0.0;0.8888888888888888;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3;0.0;0.1111111111111111;0.0;0.11764705882352941;0.7;0.0;0.47058823529411764;0.5;0.0;0.0;0.0;0.5333333333333333;0.7619047619047619;0.0;0.8235294117647058;0.5333333333333333;0.6;0.3333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.7;0.5263157894736842;0.47058823529411764;0.0;0.47058823529411764
GO:0042147;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006974;0.0;0.0;0.125;0.26666666666666666;0.4;0.0;0.0;0.5454545454545454;0.15384615384615385;0.0;0.0;0.3333333333333333;0.36363636363636365;0.0;0.16666666666666666;0.25;0.15384615384615385;0.0;0.2857142857142857;0.16666666666666666;0.0;0.0;1.0;0.0;0.3076923076923077;0.2857142857142857;0.26666666666666666;0.3076923076923077;0.0;0.3333333333333333;0.0;0.0;0.0;0.2222222222222222;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.23529411764705882;0.25;0.13333333333333333;0.2857142857142857;0.36363636363636365;0.25;0.0;0.0;0.0;0.23529411764705882;0.0
GO:0060754;0.4;0.0;0.0;0.0;0.0;0.4;0.42105263157894735;0.0;0.0;0.2727272727272727;0.36363636363636365;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;1.0;0.0;0.1;0.0;0.10526315789473684;0.36363636363636365;0.0;0.42105263157894735;0.4444444444444444;0.0;0.0;0.0;0.35294117647058826;0.2608695652173913;0.0;0.3157894736842105;0.47058823529411764;0.36363636363636365;0.7;0.0;0.0;0.0;0.1;0.0;0.0;0.2727272727272727;0.38095238095238093;0.42105263157894735;0.0;0.42105263157894735
GO:0006334;0.0;0.0;0.10526315789473684;0.1111111111111111;0.3076923076923077;0.0;0.0;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.13333333333333333;0.10526315789473684;0.125;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.3076923076923077;0.0;1.0;0.11764705882352941;0.1111111111111111;0.125;0.0;0.13333333333333333;0.0;0.0;0.0;0.09523809523809523;0.25;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.2;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.2857142857142857;0.21052631578947367;0.0;0.0;0.0;0.2;0.0
GO:0048010;0.1111111111111111;0.0;0.1;0.10526315789473684;0.2857142857142857;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.1;0.1;0.125;0.13333333333333333;0.1111111111111111;0.125;0.1;0.11764705882352941;0.0;0.1111111111111111;0.125;0.1111111111111111;0.0;0.2857142857142857;0.1;0.11764705882352941;1.0;0.10526315789473684;0.11764705882352941;0.1;0.125;0.11764705882352941;0.125;0.0;0.09090909090909091;0.23529411764705882;0.13333333333333333;0.09523809523809523;0.2222222222222222;0.11764705882352941;0.13333333333333333;0.1;0.1111111111111111;0.19047619047619047;0.1;0.10526315789473684;0.1111111111111111;0.26666666666666666;0.2;0.1;0.10526315789473684;0.11764705882352941;0.19047619047619047;0.11764705882352941
GO:0043162;0.0;0.0;0.38095238095238093;0.3;0.26666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.11764705882352941;0.125;0.0;0.11764705882352941;0.09523809523809523;0.1111111111111111;0.0;0.5263157894736842;0.11764705882352941;0.0;0.0;0.26666666666666666;0.0;0.1111111111111111;0.10526315789473684;1.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.08695652173913043;0.5555555555555556;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.45454545454545453;0.47619047619047616;0.1;0.10526315789473684;0.625;0.47619047619047616;0.0;0.0;0.0;0.45454545454545453;0.0
GO:0072332;0.47058823529411764;0.0;0.10526315789473684;0.1111111111111111;0.3076923076923077;0.11764705882352941;0.125;0.0;0.125;0.10526315789473684;0.10526315789473684;0.13333333333333333;0.14285714285714285;0.47058823529411764;0.13333333333333333;0.10526315789473684;0.125;0.0;0.11764705882352941;0.13333333333333333;0.11764705882352941;0.0;0.3076923076923077;0.10526315789473684;0.125;0.11764705882352941;0.1111111111111111;1.0;0.10526315789473684;0.13333333333333333;0.125;0.13333333333333333;0.0;0.09523809523809523;0.25;0.14285714285714285;0.1;0.23529411764705882;0.125;0.14285714285714285;0.10526315789473684;0.11764705882352941;0.2;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.2857142857142857;0.21052631578947367;0.10526315789473684;0.1111111111111111;0.125;0.2;0.125
GO:0048255;0.7;0.0;0.0;0.0;0.0;0.5;0.42105263157894735;0.0;0.0;0.7272727272727273;0.6363636363636364;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.36363636363636365;0.0;0.1;0.0;0.10526315789473684;1.0;0.0;0.5263157894736842;0.2222222222222222;0.0;0.0;0.0;0.47058823529411764;0.6956521739130435;0.0;0.7368421052631579;0.47058823529411764;0.6363636363636364;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.5454545454545454;0.5714285714285714;0.42105263157894735;0.0;0.42105263157894735
GO:0070830;0.0;0.0;0.1111111111111111;0.11764705882352941;0.3333333333333333;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.14285714285714285;0.1111111111111111;0.13333333333333333;0.0;0.125;0.14285714285714285;0.0;0.0;0.3333333333333333;0.0;0.13333333333333333;0.125;0.11764705882352941;0.13333333333333333;0.0;1.0;0.0;0.0;0.0;0.1;0.26666666666666666;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.21052631578947367;0.1111111111111111;0.11764705882352941;0.125;0.3076923076923077;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.0
GO:0030178;0.47058823529411764;0.0;0.0;0.0;0.0;0.8235294117647058;0.375;0.0;0.0;0.42105263157894735;0.42105263157894735;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.42105263157894735;0.0;0.11764705882352941;0.0;0.125;0.5263157894736842;0.0;1.0;0.8;0.0;0.0;0.0;0.5714285714285714;0.5;0.0;0.5;0.5714285714285714;0.42105263157894735;0.47058823529411764;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.42105263157894735;0.4444444444444444;0.5;0.0;0.5
GO:0010469;0.5;0.0;0.0;0.0;0.0;0.75;0.26666666666666666;0.0;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.4444444444444444;0.0;0.125;0.0;0.13333333333333333;0.2222222222222222;0.0;0.8;1.0;0.0;0.0;0.0;0.3076923076923077;0.21052631578947367;0.0;0.5333333333333333;0.6153846153846154;0.2222222222222222;0.5;0.0;0.0;0.0;0.125;0.0;0.0;0.2222222222222222;0.47058823529411764;0.5333333333333333;0.0;0.5333333333333333
GO:0072659;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7692307692307693;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043966;0.0;0.0;0.08333333333333333;0.08695652173913043;0.2222222222222222;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.1;0.10526315789473684;0.0;0.1;0.08333333333333333;0.09523809523809523;0.0;0.09090909090909091;0.1;0.0;0.0;0.2222222222222222;0.0;0.09523809523809523;0.09090909090909091;0.08695652173913043;0.09523809523809523;0.0;0.1;0.0;0.0;0.0;1.0;0.19047619047619047;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.56;0.08333333333333333;0.08695652173913043;0.09090909090909091;0.631578947368421;0.5833333333333334;0.0;0.0;0.0;0.56;0.0
GO:0006260;0.0;0.0;0.631578947368421;0.5555555555555556;0.3076923076923077;0.0;0.0;0.0;0.125;0.0;0.0;0.26666666666666666;0.2857142857142857;0.0;0.13333333333333333;0.21052631578947367;0.125;0.0;0.5882352941176471;0.13333333333333333;0.0;0.0;0.3076923076923077;0.0;0.25;0.23529411764705882;0.5555555555555556;0.25;0.0;0.26666666666666666;0.0;0.0;0.0;0.19047619047619047;1.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.5;0.5263157894736842;0.6666666666666666;0.23529411764705882;0.7142857142857143;0.5263157894736842;0.0;0.0;0.0;0.5;0.0
GO:1902455;0.4;0.0;0.0;0.0;0.0;0.5333333333333333;0.5714285714285714;0.0;0.0;0.47058823529411764;0.35294117647058826;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.35294117647058826;0.0;0.13333333333333333;0.0;0.14285714285714285;0.47058823529411764;0.0;0.5714285714285714;0.3076923076923077;0.0;0.0;0.0;1.0;0.4444444444444444;0.0;0.42857142857142855;0.5;0.35294117647058826;0.4;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.35294117647058826;0.375;0.42857142857142855;0.0;0.42857142857142855
GO:0000122;0.6666666666666666;0.0;0.0;0.0;0.0;0.47619047619047616;0.3;0.0;0.0;0.9565217391304348;0.8695652173913043;0.0;0.0;0.7619047619047619;0.0;0.0;0.0;0.0;0.0;0.0;0.7619047619047619;0.0;0.0;0.2608695652173913;0.0;0.09523809523809523;0.0;0.1;0.6956521739130435;0.0;0.5;0.21052631578947367;0.0;0.0;0.0;0.4444444444444444;1.0;0.0;0.7;0.4444444444444444;0.5217391304347826;0.2857142857142857;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.9565217391304348;0.45454545454545453;0.4;0.0;0.4
GO:0002576;0.0;0.35294117647058826;0.1;0.21052631578947367;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.25;0.26666666666666666;0.0;0.125;0.2;0.11764705882352941;0.26666666666666666;0.2222222222222222;0.125;0.0;0.625;0.2857142857142857;0.0;0.23529411764705882;0.2222222222222222;0.21052631578947367;0.23529411764705882;0.0;0.25;0.0;0.0;0.25;0.18181818181818182;0.23529411764705882;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.2;0.10526315789473684;0.2222222222222222;0.26666666666666666;0.2;0.0;0.0;0.0;0.19047619047619047;0.0
GO:0006417;0.9411764705882353;0.0;0.0;0.0;0.0;0.47058823529411764;0.375;0.0;0.0;0.7368421052631579;0.7368421052631579;0.0;0.0;0.9411764705882353;0.0;0.0;0.0;0.0;0.0;0.0;0.8235294117647058;0.0;0.0;0.3157894736842105;0.0;0.11764705882352941;0.0;0.125;0.7368421052631579;0.0;0.5;0.5333333333333333;0.0;0.0;0.0;0.42857142857142855;0.7;0.0;1.0;0.5714285714285714;0.631578947368421;0.35294117647058826;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.7368421052631579;0.7777777777777778;0.5;0.0;0.5
GO:0051781;0.6666666666666666;0.0;0.0;0.0;0.0;0.5333333333333333;0.5714285714285714;0.0;0.0;0.47058823529411764;0.47058823529411764;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.47058823529411764;0.0;0.13333333333333333;0.0;0.14285714285714285;0.47058823529411764;0.0;0.5714285714285714;0.6153846153846154;0.0;0.0;0.0;0.5;0.4444444444444444;0.0;0.5714285714285714;1.0;0.5882352941176471;0.5333333333333333;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.47058823529411764;0.625;0.7142857142857143;0.0;0.7142857142857143
GO:0048026;0.7;0.0;0.0;0.0;0.0;0.4;0.42105263157894735;0.0;0.0;0.5454545454545454;0.6363636363636364;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.36363636363636365;0.0;0.1;0.0;0.10526315789473684;0.6363636363636364;0.0;0.42105263157894735;0.2222222222222222;0.0;0.0;0.0;0.35294117647058826;0.5217391304347826;0.0;0.631578947368421;0.5882352941176471;1.0;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.5454545454545454;0.5714285714285714;0.5263157894736842;0.0;0.5263157894736842
GO:0050930;0.4444444444444444;0.0;0.0;0.0;0.0;0.4444444444444444;0.47058823529411764;0.0;0.0;0.3;0.4;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.7;0.0;0.1111111111111111;0.0;0.11764705882352941;0.4;0.0;0.47058823529411764;0.5;0.0;0.0;0.0;0.4;0.2857142857142857;0.0;0.35294117647058826;0.5333333333333333;0.4;1.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.3;0.42105263157894735;0.47058823529411764;0.0;0.47058823529411764
GO:0070936;0.0;0.0;0.34782608695652173;0.2727272727272727;0.23529411764705882;0.0;0.0;0.0;0.1;0.0;0.0;0.21052631578947367;0.2222222222222222;0.0;0.10526315789473684;0.6086956521739131;0.1;0.0;0.6666666666666666;0.10526315789473684;0.0;0.0;0.23529411764705882;0.0;0.2;0.19047619047619047;0.45454545454545453;0.2;0.0;0.21052631578947367;0.0;0.0;0.0;0.56;0.5;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;1.0;0.43478260869565216;0.36363636363636365;0.19047619047619047;0.6666666666666666;0.8695652173913043;0.0;0.0;0.0;0.9166666666666666;0.0
