;GO:1902036;GO:1903364;GO:0021914;GO:0006366;GO:1902115;GO:0006886;GO:0035519;GO:0032728;GO:0006914;GO:0051607;GO:0035115;GO:0035556;GO:0032480;GO:0045616;GO:0032088;GO:0034220;GO:1901796;GO:0045732;GO:1905515;GO:0046588;GO:0006974;GO:0007227;GO:0060830;GO:0060831;GO:0043161;GO:0007219;GO:2000646;GO:0035507;GO:0001558;GO:0050680;GO:2000649;GO:2000643;GO:0034058;GO:0050687;GO:0046718;GO:0035542;GO:0006383;GO:0007032;GO:0006468;GO:0045944;GO:0061512;GO:0061436;GO:0070423;GO:0035735;GO:2000772;GO:0051865;GO:0070936;GO:0010172;GO:0046642;GO:0090085;GO:0008333;GO:0035050;GO:0046329;GO:0006359;GO:1903955;GO:0072594;GO:0045089;GO:0002669;GO:0043066;GO:0045087;GO:0006904;GO:0030033;GO:0070534;GO:0035720;GO:0035721
GO:0035115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035556;0.5356143810225276;0.48300749985576874;0.8;0.8;0.5356143810225276;0.0;0.3356143810225276;0.4;0.6830074998557688;0.0;0.0;1.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;1.0;0.0;0.8;0.8;0.8;0.48300749985576874;0.4;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.8;0.48300749985576874;0.4;0.0;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.3356143810225276;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.4;0.48300749985576874;0.0;0.8;0.8;0.3356143810225276;0.8;0.8
GO:0032480;0.43852901558847923;0.3660149997115376;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.43852901558847923;1.0;0.43852901558847923;0.5356143810225276;0.0;0.4;0.4;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.3081136762725405;0.48300749985576874;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.4;0.0;0.4;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045616;0.5356143810225276;0.4;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;1.0;0.43852901558847923;0.0;0.4;0.4;0.0;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.3356143810225276;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.4;0.0;0.4;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032088;0.43852901558847923;0.4;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;1.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.4;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.4;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.4;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0
GO:0034220;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276
GO:1901796;0.43852901558847923;0.4;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.4;0.4;0.43852901558847923;0.0;1.0;0.4;0.0;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.3356143810225276;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.5356143810225276;0.3660149997115376;0.4;0.0;0.48300749985576874;0.3660149997115376;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045732;0.4;1.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.4;0.4;0.43852901558847923;0.0;0.4;1.0;0.0;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.4;0.3356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.3081136762725405;0.6000000000000001;0.0;0.0;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0
GO:1905515;0.0;0.0;0.0;0.8;0.0;0.0;0.3081136762725405;0.0;0.6000000000000001;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.43852901558847923;0.0;0.0;0.0;0.8;0.8;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.3081136762725405;0.8;0.8
GO:0046588;0.43852901558847923;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.4;0.48300749985576874;0.0;0.4;0.4;0.0;1.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.3356143810225276;0.48300749985576874;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.4;0.0;0.4;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006974;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.2830074998557688;0.0;0.5356143810225276;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;1.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.4;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.3081136762725405;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.2830074998557688;0.6000000000000001;0.6000000000000001
GO:0007227;0.6000000000000001;0.5356143810225276;0.8;0.8;0.6830074998557688;0.0;0.3356143810225276;0.48300749985576874;0.6830074998557688;0.0;0.0;1.0;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.0;0.5356143810225276;0.5356143810225276;0.8;0.5356143810225276;0.6000000000000001;1.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.43852901558847923;0.6830074998557688;0.6000000000000001;0.48300749985576874;0.6830074998557688;0.8;0.6000000000000001;0.0;0.6000000000000001;0.8;0.8;0.48300749985576874;0.43852901558847923;0.0;0.8;0.8;0.8;0.6830074998557688;0.3660149997115376;0.3356143810225276;0.0;0.4;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.0;0.8;0.8;0.3356143810225276;0.8;0.8
GO:0060830;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8
GO:0060831;0.43852901558847923;0.4;0.8;0.8;0.5356143810225276;0.0;0.3356143810225276;0.4;0.6830074998557688;0.0;0.0;0.8;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.6000000000000001;0.8;0.0;1.0;0.8;0.8;0.43852901558847923;0.4;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.8;0.48300749985576874;0.0;0.48300749985576874;0.8;0.8;0.48300749985576874;0.3660149997115376;0.0;0.8;0.8;0.8;0.48300749985576874;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.4;0.0;0.0;0.3660149997115376;0.4;0.43852901558847923;0.0;0.43852901558847923;0.4;0.4;0.0;0.8;0.8;0.3356143810225276;0.8;0.8
GO:0043161;0.0;0.0;0.0;0.8;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.0;0.8;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.6000000000000001;0.0;0.0;0.0;0.8;0.8;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.4;0.8;0.8
GO:0007219;0.48300749985576874;0.43852901558847923;0.8;0.8;0.5356143810225276;0.0;0.3356143810225276;0.4;0.6830074998557688;0.0;0.0;0.8;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.6000000000000001;0.8;0.0;0.8;0.8;1.0;0.43852901558847923;0.4;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.8;0.48300749985576874;0.0;0.48300749985576874;0.8;0.8;0.48300749985576874;0.3660149997115376;0.0;0.8;0.8;0.8;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.4;0.0;0.0;0.4;0.4;0.43852901558847923;0.0;0.43852901558847923;0.4;0.43852901558847923;0.0;0.8;0.8;0.3356143810225276;0.8;0.8
GO:2000646;0.43852901558847923;0.8;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.4;0.4;0.43852901558847923;0.0;0.4;0.6830074998557688;0.0;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;1.0;0.4;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.6000000000000001;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.3081136762725405;0.5356143810225276;0.0;0.0;0.3660149997115376;0.5356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035507;0.3660149997115376;0.48300749985576874;0.4;0.0;0.3660149997115376;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.4;0.3081136762725405;0.3356143810225276;0.4;0.0;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.0;0.43852901558847923;0.0;0.4;0.0;0.4;0.4;1.0;0.4;0.3660149997115376;0.3660149997115376;0.4;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.4;0.0;0.4;0.0;0.0;0.0;0.2599120563717816;0.5356143810225276;0.0;0.0;0.4;0.3660149997115376;0.3081136762725405;0.0;0.3081136762725405;0.2830074998557688;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001558;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.0;0.6830074998557688;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.4;1.0;0.5356143810225276;0.4;0.6000000000000001;0.0;0.5356143810225276;0.0;0.6830074998557688;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050680;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.4;0.0;0.5356143810225276;0.0;0.6000000000000001;0.0;0.43852901558847923;0.0;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.5356143810225276;1.0;0.3356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.0;0.4;0.4;0.4;0.0;0.4;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
GO:2000649;0.3356143810225276;0.3081136762725405;0.43852901558847923;0.0;0.4;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.4;0.3356143810225276;1.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.0;0.0;0.2830074998557688;0.0;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.2599120563717816;0.3081136762725405;0.0;0.0;0.2830074998557688;0.3081136762725405;0.4;0.0;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0
GO:2000643;0.5356143810225276;0.6000000000000001;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;0.0;0.6830074998557688;0.0;0.48300749985576874;0.0;0.5356143810225276;0.6000000000000001;0.4;0.6000000000000001;0.5356143810225276;0.43852901558847923;1.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.0;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0
GO:0034058;0.0;0.0;0.0;0.8;0.0;0.0;0.3081136762725405;0.0;0.6000000000000001;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8;0.8;0.43852901558847923;0.0;0.0;0.0;0.8;0.8;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.3081136762725405;0.8;0.8
GO:0050687;0.48300749985576874;0.4;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.0;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.0;1.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.4;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
