;GO:0060760;GO:0032092;GO:0061136;GO:0061015;GO:0006361;GO:0007052;GO:0006283;GO:0008543;GO:0006363;GO:0035281;GO:0051092;GO:0006367;GO:0006368;GO:0060964;GO:0030307;GO:0051123;GO:0075733;GO:0045893;GO:0000060;GO:0010499;GO:0045815;GO:0006370;GO:1902166;GO:0043312;GO:0006974;GO:0006259;GO:0045899;GO:0006406;GO:0043161;GO:0045540;GO:0006606;GO:0006409;GO:0000070;GO:0050727;GO:0052548;GO:0032435;GO:0010586;GO:1902570;GO:0043966;GO:0006383;GO:0046039;GO:0042795;GO:0006303;GO:0045944;GO:1901800;GO:0009615;GO:0043687;GO:0000398;GO:0045471;GO:0001649;GO:0030521;GO:0010950;GO:0016579;GO:0000724;GO:0006356;GO:0000056;GO:0000055;GO:0000492;GO:0030433;GO:0070536
GO:0051092;0.42857142857142855;0.42857142857142855;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4166666666666667;0.42857142857142855;0.0;0.0;0.6;0.0;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.3;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.25;0.2222222222222222;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
GO:0006367;0.0;0.0;0.0;0.0;0.6;0.0;0.4444444444444444;0.0;0.6;0.0;0.0;1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.6;0.0;0.0;0.2;0.6666666666666666;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.6;0.3333333333333333;0.6;0.4444444444444444;0.0;0.0;0.0;0.2857142857142857;0.6;0.0;0.0;0.0;0.0;0.2857142857142857;0.4444444444444444;0.0;0.0;0.0;0.0;0.5;0.25
GO:0006368;0.0;0.0;0.0;0.0;0.6;0.0;0.4444444444444444;0.0;0.6;0.0;0.0;0.6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.6;0.0;0.0;0.2;0.6666666666666666;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.6;0.3333333333333333;0.6;0.4444444444444444;0.0;0.0;0.0;0.2857142857142857;0.6;0.0;0.0;0.0;0.0;0.2857142857142857;0.4444444444444444;0.0;0.0;0.0;0.0;0.5;0.25
GO:0060964;0.2222222222222222;0.1;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;1.0;0.375;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.3;0.0;0.0;0.0;0.38461538461538464;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.2222222222222222;0.3333333333333333;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
GO:0030307;0.42857142857142855;0.1111111111111111;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.375;1.0;0.0;0.0;0.4;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.4;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.25;0.1;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0
GO:0051123;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0
GO:0075733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045893;0.3333333333333333;0.09090909090909091;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.5;0.4;0.0;0.0;1.0;0.0;0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.7;0.0;0.0;0.4;0.0;0.0;0.0;0.2;0.36363636363636365;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.875;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0
GO:0000060;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010499;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.0;0.0;0.0;0.6;0.375
GO:0045815;0.3333333333333333;0.09090909090909091;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.5;0.3333333333333333;0.0;0.0;0.75;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.3;0.0;0.0;0.0;0.2;0.36363636363636365;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0
GO:0006370;0.0;0.0;0.0;0.0;0.6;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333
GO:1902166;0.3333333333333333;0.09090909090909091;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.25;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.3333333333333333;0.08333333333333333;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.23076923076923078;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006974;0.0;0.0;0.0;0.0;0.2;0.2;0.5714285714285714;0.2;0.2;0.0;0.0;0.2;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.09090909090909091;0.0;0.2;0.0;0.08333333333333333;0.0;0.5714285714285714;0.0;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.42857142857142855;0.0
GO:0006259;0.0;0.0;0.0;0.0;0.6666666666666666;0.2;0.5714285714285714;0.2;0.6666666666666666;0.0;0.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.2;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.14285714285714285;1.0;0.0;0.0;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.5;0.0;0.2;0.5;0.2727272727272727;0.5;0.5714285714285714;0.0;0.0;0.0;0.42857142857142855;0.5;0.0;0.0;0.2;0.0;0.3333333333333333;0.5714285714285714;0.0;0.0;0.0;0.0;0.6;0.3
GO:0045899;0.3;0.08333333333333333;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.38461538461538464;0.4;0.0;0.0;0.7;0.0;0.0;0.5454545454545454;0.0;0.23076923076923078;0.0;0.0;0.0;1.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.18181818181818182;0.2857142857142857;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0
GO:0006406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043161;0.0;0.0;0.0;0.0;0.5;0.0;0.375;0.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.2;0.6;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.6;0.3333333333333333;0.6;0.375;0.0;0.0;0.0;0.42857142857142855;0.6;0.0;0.0;0.0;0.0;0.42857142857142855;0.375;0.0;0.0;0.0;0.0;0.5;0.375
GO:0045540;0.2222222222222222;0.1;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.2727272727272727;0.2222222222222222;0.0;0.0;0.4;0.0;0.0;0.3;0.0;0.18181818181818182;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;1.0;0.0;0.0;0.0;0.2222222222222222;0.2727272727272727;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
GO:0006606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0;0.0
GO:0006409;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000070;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050727;0.42857142857142855;0.1111111111111111;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.2222222222222222;0.25;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;1.0;0.1;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
GO:0052548;0.1;0.2222222222222222;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333;0.1;0.0;0.0;0.36363636363636365;0.0;0.0;0.36363636363636365;0.0;0.08333333333333333;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.1;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0
GO:0032435;0.15384615384615385;0.07142857142857142;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.2857142857142857;0.25;0.0;0.0;0.3076923076923077;0.0;0.0;0.3076923076923077;0.0;0.3076923076923077;0.0;0.0;0.0;0.25;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.15384615384615385;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.7272727272727273;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.46153846153846156;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0
GO:0010586;0.0;0.0;0.0;0.0;0.625;0.0;0.36363636363636365;0.0;0.625;0.0;0.0;0.625;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.0;0.0;0.09090909090909091;0.5;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.375;0.23076923076923078;0.6;0.36363636363636365;0.0;0.0;0.0;0.2727272727272727;0.375;0.0;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.0;0.0;0.0;0.0;0.375;0.25
GO:1902570;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.0;0.0
GO:0043966;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.125;0.0;0.0;0.0;0.0;0.0;0.4166666666666667
GO:0006383;0.0;0.0;0.0;0.0;0.6;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;1.0;0.2222222222222222;0.6;0.3333333333333333;0.0;0.0;0.0;0.375;0.6;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.6;0.3333333333333333
GO:0046039;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.21428571428571427;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2222222222222222;0.0;0.0;0.08333333333333333;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.2222222222222222;1.0;0.2222222222222222;0.21428571428571427;0.0;0.0;0.0;0.25;0.2222222222222222;0.0;0.0;0.0;0.0;0.25;0.21428571428571427;0.0;0.0;0.0;0.0;0.3333333333333333;0.23076923076923078
GO:0042795;0.0;0.0;0.0;0.0;0.6;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.6;0.2222222222222222;1.0;0.3333333333333333;0.0;0.0;0.0;0.375;0.6;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.6;0.3333333333333333
GO:0006303;0.0;0.0;0.0;0.0;0.4444444444444444;0.125;0.5555555555555556;0.125;0.4444444444444444;0.0;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.125;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.5714285714285714;0.5714285714285714;0.0;0.0;0.375;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.36363636363636365;0.0;0.125;0.3333333333333333;0.21428571428571427;0.3333333333333333;1.0;0.0;0.0;0.09090909090909091;0.3;0.3333333333333333;0.1;0.0;0.125;0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.375;0.23076923076923078
GO:0045944;0.3;0.08333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.45454545454545453;0.36363636363636365;0.0;0.0;0.875;0.0;0.0;0.6666666666666666;0.0;0.23076923076923078;0.0;0.0;0.0;0.8;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.18181818181818182;0.3333333333333333;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.38461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.38461538461538464;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0
GO:1901800;0.2727272727272727;0.07692307692307693;0.8888888888888888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.3076923076923077;0.4;0.0;0.0;0.4166666666666667;0.0;0.0;0.4166666666666667;0.0;0.23076923076923078;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.25;0.0;0.0;0.0;0.16666666666666666;0.5454545454545454;0.7272727272727273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38461538461538464;1.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.6363636363636364;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
