;GO:0016525;GO:0014068;GO:0021957;GO:0007179;GO:1904659;GO:0001666;GO:0001701;GO:0048048;GO:0006518;GO:2001205;GO:0070208;GO:0019800;GO:0016239;GO:0014032;GO:0000902;GO:0090141;GO:0007266;GO:0046426;GO:0071560;GO:0016485;GO:0014824;GO:0010469;GO:0030334;GO:0018149;GO:0048050;GO:0007193;GO:0035583;GO:0035025;GO:0035582;GO:1903225;GO:0001890;GO:0045944;GO:0006469;GO:0043687;GO:0000122;GO:0030206;GO:1900747;GO:0071230;GO:0030208;GO:0007229;GO:0030207;GO:0001569;GO:0045112;GO:0019221;GO:0001649;GO:0051901;GO:0010596;GO:0050777;GO:2001223;GO:0050776;GO:0086100;GO:0032461;GO:0007043;GO:0006351;GO:0022617;GO:0044267;GO:0045995;GO:0007202;GO:0007204;GO:0007517;GO:1990314;GO:0006508;GO:0050900;GO:0032496;GO:0030199
GO:0014032;0.0;0.0;0.19999999999999996;0.1333333333333333;0.0;0.0;0.23076923076923073;0.1428571428571429;0.1333333333333333;0.0;0.125;0.06060606060606055;0.0;1.0;0.33333333333333337;0.0;0.1333333333333333;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.09523809523809523;0.1428571428571429;0.1333333333333333;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.09523809523809523;0.0;0.0625;0.0;0.07999999999999996;0.05128205128205132;0.15384615384615385;0.0625;0.125;0.0;0.15384615384615385;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.1428571428571429;0.05882352941176472;0.15384615384615385;0.11764705882352944;0.0;0.0;0.07692307692307687;0.30000000000000004;0.0714285714285714;0.0;0.15384615384615385;0.0;0.1428571428571429
GO:0000902;0.0;0.0;0.5;0.1333333333333333;0.0;0.0;0.1428571428571429;0.23076923076923073;0.1333333333333333;0.0;0.2857142857142857;0.06060606060606055;0.0;0.33333333333333337;1.0;0.0;0.1333333333333333;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.09523809523809523;0.23076923076923073;0.1333333333333333;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.09523809523809523;0.0;0.0625;0.0;0.07999999999999996;0.05128205128205132;0.15384615384615385;0.0625;0.19999999999999996;0.0;0.15384615384615385;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.33333333333333337;0.05882352941176472;0.36363636363636365;0.11764705882352944;0.0;0.0;0.07692307692307687;0.18181818181818177;0.0714285714285714;0.0;0.15384615384615385;0.0;0.33333333333333337
GO:0090141;0.19999999999999996;0.2222222222222222;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.12195121951219512;0.0;0.0;0.2222222222222222;0.0;0.0;1.0;0.19047619047619047;0.12903225806451613;0.0;0.0;0.06060606060606055;0.19047619047619047;0.19999999999999996;0.0;0.0;0.19047619047619047;0.09523809523809523;0.19354838709677424;0.0714285714285714;0.2068965517241379;0.0;0.1333333333333333;0.07999999999999996;0.0;0.08333333333333337;0.0;0.12903225806451613;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.21052631578947367;0.0;0.19999999999999996;0.125;0.13636363636363635;0.125;0.16666666666666663;0.21052631578947367;0.38095238095238093;0.0;0.0;0.0;0.0;0.2222222222222222;0.0714285714285714;0.05882352941176472;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007266;0.15000000000000002;0.18181818181818177;0.08695652173913049;0.5;0.0;0.0;0.0;0.0;0.125;0.11428571428571432;0.11764705882352944;0.05882352941176472;0.18181818181818177;0.1333333333333333;0.1333333333333333;0.19047619047619047;1.0;0.16666666666666663;0.09999999999999998;0.0;0.07692307692307687;0.2857142857142857;0.3076923076923077;0.09090909090909094;0.0;0.5;0.11428571428571432;0.15384615384615385;0.08163265306122447;0.16666666666666663;0.0;0.09999999999999998;0.09302325581395354;0.09090909090909094;0.09756097560975607;0.06060606060606055;0.16666666666666663;0.07692307692307687;0.050000000000000044;0.6;0.06060606060606055;0.0;0.0;0.6;0.16666666666666663;0.21052631578947367;0.16000000000000003;0.19999999999999996;0.11764705882352944;0.2727272727272727;0.6;0.2222222222222222;0.1333333333333333;0.05714285714285716;0.1428571428571429;0.11111111111111116;0.25;0.09523809523809523;0.11538461538461542;0.0;0.06896551724137934;0.0;0.1428571428571429;0.0;0.1333333333333333
GO:0046426;0.13793103448275867;0.33333333333333337;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.13953488372093026;0.0;0.0;0.125;0.0;0.0;0.12903225806451613;0.16666666666666663;1.0;0.0;0.0;0.05555555555555558;0.4;0.17391304347826086;0.0;0.0;0.16666666666666663;0.4;0.29032258064516125;0.2857142857142857;0.1875;0.0;0.07999999999999996;0.11764705882352944;0.0;0.12244897959183676;0.0;0.5833333333333333;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.18181818181818177;0.0;0.13793103448275867;0.18181818181818177;0.2727272727272727;0.1428571428571429;0.19999999999999996;0.18181818181818177;0.1428571428571429;0.0;0.0;0.0;0.0;0.13636363636363635;0.06451612903225812;0.05405405405405406;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071560;0.0;0.0;0.07407407407407407;0.09999999999999998;0.0;0.11764705882352944;0.0;0.0;0.09999999999999998;0.0;0.09523809523809523;0.052631578947368474;0.0;0.10526315789473684;0.10526315789473684;0.0;0.09999999999999998;0.0;1.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.05405405405405406;0.0;0.4545454545454546;0.045454545454545414;0.11111111111111116;0.05405405405405406;0.0;0.0;0.11111111111111116;0.125;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.10526315789473684;0.05128205128205132;0.11111111111111116;0.09090909090909094;0.0;0.0;0.06451612903225812;0.0;0.4;0.0;0.11111111111111116;0.21052631578947367;0.10526315789473684
GO:0016485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3571428571428571;0.0;0.0;0.27586206896551724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.19999999999999996;0.0;0.0;0.16216216216216217;0.0;0.19999999999999996;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0
GO:0014824;0.06451612903225812;0.05882352941176472;0.0;0.07692307692307687;0.0;0.0;0.07999999999999996;0.0;0.0;0.04255319148936165;0.0;0.0;0.05882352941176472;0.0;0.0;0.06060606060606055;0.07692307692307687;0.05555555555555558;0.0;0.0;1.0;0.07692307692307687;0.07999999999999996;0.0;0.0;0.07692307692307687;0.06521739130434778;0.052631578947368474;0.050000000000000044;0.05555555555555558;0.0;0.038461538461538436;0.036363636363636376;0.0;0.037735849056603765;0.0;0.05555555555555558;0.0;0.0;0.08333333333333337;0.0;0.07407407407407407;0.0;0.08333333333333337;0.0;0.09999999999999998;0.05405405405405406;0.07692307692307687;0.04347826086956519;0.09090909090909094;0.08333333333333337;0.06666666666666665;0.0;0.0;0.0;0.0;0.08695652173913049;0.06451612903225812;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010469;0.15000000000000002;0.4444444444444444;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.11428571428571432;0.0;0.0;0.18181818181818177;0.0;0.0;0.19047619047619047;0.2857142857142857;0.4;0.0;0.0;0.07692307692307687;1.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.25806451612903225;0.36363636363636365;0.1777777777777778;0.16666666666666663;0.0;0.09999999999999998;0.11904761904761907;0.0;0.09756097560975607;0.0;0.4;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.33333333333333337;0.0;0.21052631578947367;0.16000000000000003;0.2857142857142857;0.11764705882352944;0.4;0.33333333333333337;0.2222222222222222;0.0;0.0;0.0;0.0;0.25;0.15000000000000002;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030334;0.1578947368421053;0.19047619047619047;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.19047619047619047;0.0;0.0;0.19999999999999996;0.3076923076923077;0.17391304347826086;0.0;0.0;0.07999999999999996;0.3076923076923077;1.0;0.0;0.0;0.3076923076923077;0.11764705882352944;0.16000000000000003;0.08333333333333337;0.17391304347826086;0.0;0.10256410256410253;0.09523809523809523;0.0;0.09999999999999998;0.0;0.17391304347826086;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.36363636363636365;0.0;0.2222222222222222;0.4;0.2142857142857143;0.27586206896551724;0.30000000000000004;0.36363636363636365;0.23529411764705888;0.0;0.0;0.0;0.0;0.2727272727272727;0.09999999999999998;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;0.0
GO:0018149;0.0;0.0;0.06896551724137934;0.09090909090909094;0.0;0.0;0.0;0.0;0.4117647058823529;0.0;0.08695652173913049;0.5555555555555556;0.0;0.09523809523809523;0.09523809523809523;0.0;0.09090909090909094;0.0;0.07692307692307687;0.47058823529411764;0.0;0.0;0.0;1.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.24242424242424243;0.0;0.0625;0.19999999999999996;0.09999999999999998;0.24242424242424243;0.0;0.2222222222222222;0.09999999999999998;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.0;0.09523809523809523;0.2647058823529411;0.09999999999999998;0.7333333333333334;0.0;0.0;0.06060606060606055;0.0;0.05714285714285716;0.5333333333333333;0.09999999999999998;0.0;0.09523809523809523
GO:0048050;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.1428571428571429;0.6;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.23076923076923073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0
GO:0007193;0.15000000000000002;0.18181818181818177;0.08695652173913049;0.5;0.0;0.0;0.0;0.0;0.125;0.11428571428571432;0.11764705882352944;0.05882352941176472;0.18181818181818177;0.1333333333333333;0.1333333333333333;0.19047619047619047;0.5;0.16666666666666663;0.09999999999999998;0.0;0.07692307692307687;0.2857142857142857;0.3076923076923077;0.09090909090909094;0.0;1.0;0.11428571428571432;0.15384615384615385;0.08163265306122447;0.16666666666666663;0.0;0.09999999999999998;0.09302325581395354;0.09090909090909094;0.09756097560975607;0.06060606060606055;0.16666666666666663;0.07692307692307687;0.050000000000000044;0.6;0.06060606060606055;0.0;0.0;0.6;0.16666666666666663;0.21052631578947367;0.16000000000000003;0.19999999999999996;0.11764705882352944;0.2727272727272727;0.7777777777777778;0.2222222222222222;0.1333333333333333;0.05714285714285716;0.1428571428571429;0.11111111111111116;0.25;0.09523809523809523;0.11538461538461542;0.0;0.06896551724137934;0.0;0.1428571428571429;0.0;0.1333333333333333
GO:0035583;0.09999999999999998;0.20512820512820518;0.0;0.11428571428571432;0.052631578947368474;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.09302325581395354;0.0;0.0;0.09523809523809523;0.11428571428571432;0.4;0.0;0.0;0.06521739130434778;0.25806451612903225;0.11764705882352944;0.0;0.0;0.11428571428571432;1.0;0.18604651162790697;0.5416666666666667;0.13953488372093026;0.0;0.06557377049180324;0.09677419354838712;0.0;0.09999999999999998;0.0;0.48484848484848486;0.0;0.0;0.12121212121212122;0.0;0.0;0.0;0.12121212121212122;0.0;0.1282051282051282;0.13636363636363635;0.18181818181818177;0.1132075471698113;0.12903225806451613;0.12121212121212122;0.10256410256410253;0.0;0.0;0.0;0.0;0.09090909090909094;0.04761904761904767;0.06382978723404253;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035025;0.09375;0.7272727272727273;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.08510638297872342;0.0;0.0;0.1875;0.0;0.0;0.19354838709677424;0.15384615384615385;0.29032258064516125;0.0;0.0;0.052631578947368474;0.36363636363636365;0.16000000000000003;0.0;0.0;0.15384615384615385;0.18604651162790697;1.0;0.14035087719298245;0.11111111111111116;0.0;0.12;0.07272727272727275;0.0;0.07547169811320753;0.0;0.25;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.16666666666666663;0.0;0.16666666666666663;0.10810810810810811;0.15384615384615385;0.08695652173913049;0.18181818181818177;0.16666666666666663;0.2142857142857143;0.0;0.0;0.0;0.0;0.125;0.06060606060606055;0.05128205128205132;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035582;0.07407407407407407;0.15094339622641506;0.0;0.08163265306122447;0.038461538461538436;0.0;0.0;0.0;0.0;0.08823529411764708;0.0;0.0;0.10909090909090913;0.0;0.0;0.0714285714285714;0.08163265306122447;0.2857142857142857;0.0;0.0;0.050000000000000044;0.1777777777777778;0.08333333333333337;0.0;0.0;0.08163265306122447;0.5416666666666667;0.14035087719298245;1.0;0.10526315789473684;0.0;0.3389830508474576;0.15492957746478875;0.0;0.3793103448275862;0.0;0.34042553191489366;0.0;0.0;0.08510638297872342;0.0;0.0;0.0;0.08510638297872342;0.0;0.09433962264150941;0.10344827586206895;0.12765957446808507;0.08955223880597019;0.0888888888888889;0.08510638297872342;0.07547169811320753;0.0;0.0;0.0;0.0;0.06382978723404253;0.0357142857142857;0.049180327868852514;0.0;0.0;0.0;0.0;0.0;0.0
GO:1903225;0.4347826086956522;0.125;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.36111111111111116;0.0;0.0;0.125;0.0;0.0;0.2068965517241379;0.16666666666666663;0.1875;0.0;0.0;0.05555555555555558;0.16666666666666663;0.17391304347826086;0.0;0.0;0.16666666666666663;0.13953488372093026;0.11111111111111116;0.10526315789473684;1.0;0.0;0.07999999999999996;0.11764705882352944;0.0;0.12244897959183676;0.0;0.1875;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.18181818181818177;0.0;0.13793103448275867;0.25806451612903225;0.16666666666666663;0.37142857142857144;0.1428571428571429;0.18181818181818177;0.1428571428571429;0.0;0.0;0.0;0.0;0.3157894736842105;0.06451612903225812;0.05405405405405406;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001890;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.25;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.25;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.06521739130434778;0.13043478260869568;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.06557377049180324;0.0;0.0;0.23809523809523814;0.0;0.0;0.1333333333333333;0.09999999999999998;0.07999999999999996;0.0;0.0;0.038461538461538436;0.09999999999999998;0.10256410256410253;0.0;0.0;0.09999999999999998;0.06557377049180324;0.12;0.3389830508474576;0.07999999999999996;0.0;1.0;0.140625;0.0;0.3921568627450981;0.0;0.07999999999999996;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.10526315789473684;0.0;0.11363636363636365;0.07843137254901966;0.07317073170731703;0.06666666666666665;0.08108108108108103;0.10526315789473684;0.1428571428571429;0.0;0.0;0.0;0.0;0.07894736842105265;0.04255319148936165;0.037735849056603765;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006469;0.08333333333333337;0.07843137254901966;0.0;0.09302325581395354;0.0;0.0;0.0;0.0;0.0;0.09677419354838712;0.0;0.0;0.12244897959183676;0.0;0.0;0.07999999999999996;0.09302325581395354;0.11764705882352944;0.0;0.0;0.036363636363636376;0.11904761904761907;0.09523809523809523;0.0;0.0;0.09302325581395354;0.09677419354838712;0.07272727272727275;0.15492957746478875;0.11764705882352944;0.0;0.140625;1.0;0.0;0.2542372881355932;0.0;0.11764705882352944;0.0;0.0;0.09756097560975607;0.0;0.0;0.0;0.09756097560975607;0.0;0.08333333333333337;0.11538461538461542;0.09302325581395354;0.09836065573770492;0.07499999999999996;0.09756097560975607;0.08510638297872342;0.0;0.0;0.0;0.0;0.07317073170731703;0.08333333333333337;0.0357142857142857;0.0;0.0;0.0;0.0;0.0;0.0
