;GO:0043507;GO:0090335;GO:0043508;GO:0007016;GO:0000188;GO:0035556;GO:0021782;GO:0042147;GO:0042304;GO:1990264;GO:0001558;GO:0050680;GO:0050848;GO:0016126;GO:2000761;GO:0035023;GO:0060266;GO:0031340;GO:0008285;GO:0008284;GO:0048812;GO:0043001;GO:0060548;GO:1905602;GO:0045944;GO:0097066;GO:0031338;GO:0001765;GO:0001921;GO:0048146;GO:0010759;GO:0010633;GO:0032147;GO:0032024;GO:1905042;GO:0016236;GO:0048709;GO:0000209;GO:0008053;GO:0021522;GO:0005977;GO:1990830;GO:0030913;GO:0052362;GO:0001934;GO:0010800;GO:0032496;GO:0050900;GO:0030199;GO:0052405;GO:0071549;GO:0007050;GO:0060563;GO:0045727;GO:0006366;GO:0045600;GO:0042730;GO:0006886;GO:0051290;GO:0006004;GO:0048715;GO:0030866;GO:0032804;GO:0071333;GO:0097202;GO:0070365;GO:0070126;GO:0070125;GO:0031397;GO:1905581;GO:0006094;GO:0007186;GO:1905599;GO:0031032;GO:0032088;GO:1905597;GO:0032482;GO:0090263;GO:0090385;GO:0043312;GO:0002175;GO:0007589;GO:0030217;GO:0002328;GO:0071205;GO:0044090;GO:0072659;GO:0016567;GO:0008360;GO:0036035;GO:0090630;GO:0006468;GO:0043687;GO:0006469;GO:0000122;GO:0045591;GO:0032869;GO:0006977;GO:0046320;GO:0060070;GO:0071356;GO:0019543;GO:0002819;GO:0016139;GO:0035970;GO:0042769;GO:0042407;GO:0006351;GO:0006355;GO:0044387;GO:0006110;GO:1903753;GO:0044147;GO:0007200;GO:0006633;GO:0006754;GO:0006116;GO:0046847;GO:0002430;GO:0046327;GO:0007204;GO:0003357;GO:0009617;GO:0006107;GO:0006900;GO:0070373;GO:0070098;GO:0043065;GO:0045880;GO:0032695;GO:0071901;GO:0030036;GO:0035722
GO:1905042;0.43478260869565216;0.5;0.43478260869565216;0.125;0.43478260869565216;0.13333333333333333;0.0;0.0;0.35294117647058826;0.0;0.5333333333333333;0.5;0.47058823529411764;0.0;0.2857142857142857;0.42105263157894735;0.6666666666666666;0.35294117647058826;0.5333333333333333;0.4;0.0;0.0;0.5333333333333333;0.3;0.2857142857142857;0.0;0.375;0.0;0.375;0.375;0.5;0.4444444444444444;0.19047619047619047;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.3;0.0;0.0;0.0;0.11764705882352941;0.0;0.5;0.0;0.3333333333333333;0.0;0.5;0.8421052631578947;0.0;0.0;0.0;0.1;0.0;0.42105263157894735;0.2222222222222222;0.09090909090909091;0.0;0.0;0.0;0.4;0.375;0.0;0.13333333333333333;0.21052631578947367;0.0;0.36363636363636365;0.23529411764705882;0.1111111111111111;0.4444444444444444;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.5;0.0;0.23529411764705882;0.0;0.0;0.4;0.38095238095238093;0.4;0.0;0.38095238095238093;0.35294117647058826;0.1111111111111111;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.38095238095238093;0.2857142857142857;0.45454545454545453;0.625;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.47619047619047616;0.11764705882352941;0.35294117647058826;0.47058823529411764;0.5;0.38095238095238093;0.0;0.11764705882352941
GO:0016236;0.0;0.0;0.0;0.15384615384615385;0.0;0.3333333333333333;0.36363636363636365;0.0;0.0;0.125;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.35294117647058826;0.3333333333333333;0.3076923076923077;0.42857142857142855;0.3076923076923077;0.3076923076923077;0.125;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.25;0.3076923076923077;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.3076923076923077;0.0;0.3076923076923077;0.0;0.26666666666666666;0.10526315789473684;0.16666666666666666;0.2857142857142857;0.42857142857142855;0.0;0.0;0.2857142857142857;0.3333333333333333;0.0;0.3076923076923077;0.0;0.0;0.26666666666666666;0.0;0.2857142857142857;0.125;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.375;0.0;0.3333333333333333;0.0;0.42857142857142855;0.42857142857142855;0.0;0.0;0.0;0.26666666666666666;0.2222222222222222;0.0;0.26666666666666666;0.3076923076923077;0.47058823529411764;0.0;0.46153846153846156;0.4;0.16666666666666666;0.2857142857142857;0.125;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.4;0.3333333333333333;0.21052631578947367;0.15384615384615385;0.25;0.375;0.2222222222222222;0.3333333333333333;0.0;0.42857142857142855;0.16666666666666666;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.3333333333333333;0.2857142857142857
GO:0048709;0.0;0.0;0.0;0.15384615384615385;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.23529411764705882;0.3333333333333333;0.15384615384615385;0.14285714285714285;0.3076923076923077;0.15384615384615385;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.25;0.15384615384615385;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3076923076923077;0.0;0.26666666666666666;0.0;0.16666666666666666;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.16666666666666666;0.0;0.3076923076923077;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.125;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.25;0.0;0.16666666666666666;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.13333333333333333;0.1111111111111111;0.0;0.13333333333333333;0.3076923076923077;0.23529411764705882;0.0;0.0;0.26666666666666666;0.16666666666666666;0.2857142857142857;0.125;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.26666666666666666;0.1111111111111111;0.10526315789473684;0.15384615384615385;0.125;0.125;0.2222222222222222;0.16666666666666666;0.0;0.2857142857142857;0.16666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.3333333333333333;0.14285714285714285
GO:0000209;0.0;0.0;0.0;0.1111111111111111;0.0;0.23529411764705882;0.25;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.23529411764705882;1.0;0.23529411764705882;0.2222222222222222;0.5263157894736842;0.2222222222222222;0.2222222222222222;0.47619047619047616;0.0;0.0;0.0;0.11764705882352941;0.23529411764705882;0.0;0.19047619047619047;0.2222222222222222;0.1111111111111111;0.0;0.36363636363636365;0.0;0.0;0.0;0.10526315789473684;0.3333333333333333;0.0;0.2222222222222222;0.0;0.2;0.3333333333333333;0.11764705882352941;0.21052631578947367;0.5263157894736842;0.0;0.0;0.3157894736842105;0.23529411764705882;0.0;0.2222222222222222;0.0;0.0;0.2;0.0;0.21052631578947367;0.09523809523809523;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.9523809523809523;0.0;0.23529411764705882;0.0;0.7368421052631579;0.7368421052631579;0.0;0.0;0.0;0.2;0.17391304347826086;0.0;0.2;0.2222222222222222;0.2727272727272727;0.0;0.3333333333333333;0.7;0.11764705882352941;0.21052631578947367;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.3;0.34782608695652173;0.16666666666666666;0.1111111111111111;0.19047619047619047;0.2857142857142857;0.17391304347826086;0.23529411764705882;0.0;0.3157894736842105;0.11764705882352941;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.23529411764705882;0.21052631578947367
GO:0008053;0.0;0.0;0.0;0.6153846153846154;0.0;0.3333333333333333;0.36363636363636365;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.23529411764705882;1.0;0.3076923076923077;0.2857142857142857;0.3076923076923077;0.46153846153846156;0.0;0.0;0.0;0.0;0.16666666666666666;0.5;0.0;0.25;0.3076923076923077;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.6153846153846154;0.0;0.26666666666666666;0.0;0.16666666666666666;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.0;0.6153846153846154;0.0;0.0;0.26666666666666666;0.0;0.5714285714285714;0.125;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.26666666666666666;0.2222222222222222;0.0;0.26666666666666666;0.3076923076923077;0.23529411764705882;0.0;0.0;0.26666666666666666;0.16666666666666666;0.7142857142857143;0.125;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.26666666666666666;0.2222222222222222;0.10526315789473684;0.3076923076923077;0.25;0.25;0.2222222222222222;0.3333333333333333;0.0;0.2857142857142857;0.6666666666666666;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.6666666666666666;0.2857142857142857
GO:0021522;0.0;0.0;0.0;0.14285714285714285;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.15384615384615385;0.2222222222222222;0.3076923076923077;1.0;0.13333333333333333;0.2857142857142857;0.14285714285714285;0.0;0.0;0.0;0.0;0.15384615384615385;0.3076923076923077;0.0;0.23529411764705882;0.14285714285714285;0.14285714285714285;0.0;0.1111111111111111;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.2857142857142857;0.0;0.25;0.0;0.15384615384615385;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.15384615384615385;0.0;0.2857142857142857;0.0;0.0;0.125;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.23529411764705882;0.0;0.15384615384615385;0.0;0.26666666666666666;0.26666666666666666;0.0;0.0;0.0;0.125;0.10526315789473684;0.0;0.125;0.2857142857142857;0.2222222222222222;0.0;0.0;0.25;0.15384615384615385;0.26666666666666666;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.10526315789473684;0.1;0.14285714285714285;0.11764705882352941;0.11764705882352941;0.21052631578947367;0.15384615384615385;0.0;0.26666666666666666;0.15384615384615385;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.3076923076923077;0.13333333333333333
GO:0005977;0.0;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.14285714285714285;0.5263157894736842;0.2857142857142857;0.13333333333333333;1.0;0.26666666666666666;0.13333333333333333;0.1111111111111111;0.0;0.0;0.0;0.14285714285714285;0.2857142857142857;0.0;0.2222222222222222;0.13333333333333333;0.13333333333333333;0.0;0.21052631578947367;0.0;0.0;0.0;0.125;0.5333333333333333;0.0;0.26666666666666666;0.0;0.23529411764705882;0.19047619047619047;0.14285714285714285;0.125;0.625;0.0;0.0;0.5;0.14285714285714285;0.0;0.26666666666666666;0.0;0.0;0.11764705882352941;0.0;0.125;0.1111111111111111;0.0;0.0;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.5555555555555556;0.0;0.14285714285714285;0.0;0.625;0.625;0.0;0.0;0.0;0.11764705882352941;0.1;0.0;0.11764705882352941;0.26666666666666666;0.3157894736842105;0.0;0.26666666666666666;0.5882352941176471;0.14285714285714285;0.25;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.35294117647058826;0.2;0.2857142857142857;0.13333333333333333;0.1111111111111111;0.2222222222222222;0.2;0.14285714285714285;0.0;0.375;0.14285714285714285;0.0;0.125;0.0;0.0;0.0;0.0;0.2857142857142857;0.125
GO:1990830;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.3333333333333333;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.3076923076923077;0.2222222222222222;0.3076923076923077;0.2857142857142857;0.26666666666666666;1.0;0.2857142857142857;0.0;0.0;0.0;0.6153846153846154;0.15384615384615385;0.3076923076923077;0.0;0.47058823529411764;0.2857142857142857;0.14285714285714285;0.0;0.1111111111111111;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.2857142857142857;0.0;0.625;0.0;0.15384615384615385;0.26666666666666666;0.26666666666666666;0.0;0.0;0.0;0.3076923076923077;0.0;0.2857142857142857;0.0;0.0;0.25;0.0;0.26666666666666666;0.11764705882352941;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.23529411764705882;0.0;0.3076923076923077;0.0;0.26666666666666666;0.26666666666666666;0.0;0.0;0.0;0.625;0.3157894736842105;0.0;0.25;0.8571428571428571;0.2222222222222222;0.0;0.0;0.25;0.46153846153846156;0.26666666666666666;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.25;0.21052631578947367;0.1;0.14285714285714285;0.23529411764705882;0.23529411764705882;0.21052631578947367;0.3076923076923077;0.15384615384615385;0.26666666666666666;0.15384615384615385;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.3076923076923077;0.26666666666666666
GO:0030913;0.0;0.0;0.0;0.14285714285714285;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.15384615384615385;0.2222222222222222;0.46153846153846156;0.14285714285714285;0.13333333333333333;0.2857142857142857;1.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.46153846153846156;0.0;0.23529411764705882;0.14285714285714285;0.14285714285714285;0.0;0.1111111111111111;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.2857142857142857;0.0;0.25;0.0;0.15384615384615385;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.15384615384615385;0.0;0.2857142857142857;0.0;0.0;0.125;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.23529411764705882;0.0;0.15384615384615385;0.0;0.26666666666666666;0.26666666666666666;0.0;0.0;0.0;0.125;0.10526315789473684;0.0;0.125;0.2857142857142857;0.2222222222222222;0.0;0.0;0.25;0.15384615384615385;0.4;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.10526315789473684;0.1;0.14285714285714285;0.11764705882352941;0.11764705882352941;0.21052631578947367;0.15384615384615385;0.0;0.26666666666666666;0.15384615384615385;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.3076923076923077;0.13333333333333333
GO:0052362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.47619047619047616;0.0;0.0;0.1111111111111111;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5555555555555556;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.11764705882352941;0.5263157894736842;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.36363636363636365;0.08695652173913043;0.0;0.0;0.1;0.0;0.0;0.25;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001934;0.8333333333333334;0.47058823529411764;0.75;0.11764705882352941;0.75;0.5;0.0;0.0;0.5555555555555556;0.0;0.5;0.47058823529411764;0.4444444444444444;0.0;0.8181818181818182;0.4;0.42105263157894735;0.4444444444444444;0.5;0.625;0.0;0.0;0.5;0.47619047619047616;0.5454545454545454;0.0;0.47058823529411764;0.0;0.7058823529411765;0.5882352941176471;0.38095238095238093;0.3157894736842105;0.9090909090909091;0.47619047619047616;0.3157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.9523809523809523;0.0;0.0;0.0;0.1111111111111111;0.0;0.47058823529411764;0.0;0.8421052631578947;0.0;0.5882352941176471;0.3;0.0;0.0;0.0;0.09523809523809523;0.0;0.7;0.21052631578947367;0.6956521739130435;0.0;0.0;0.0;0.7619047619047619;0.47058823529411764;0.0;0.5;0.5;0.0;0.2608695652173913;0.2222222222222222;0.10526315789473684;0.5263157894736842;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.47058823529411764;0.0;0.2222222222222222;0.0;0.0;0.8571428571428571;0.45454545454545453;0.47619047619047616;0.0;0.36363636363636365;0.5555555555555556;0.10526315789473684;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.5;0.8181818181818182;0.7272727272727273;0.782608695652174;0.35294117647058826;0.47058823529411764;0.0;0.0;0.0;0.0;0.1;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.8181818181818182;0.4444444444444444;0.5555555555555556;0.5555555555555556;0.35294117647058826;0.8181818181818182;0.0;0.4444444444444444
GO:0010800;0.8;0.4444444444444444;0.72;0.1111111111111111;0.72;0.47058823529411764;0.0;0.0;0.5263157894736842;0.0;0.47058823529411764;0.4444444444444444;0.42105263157894735;0.0;0.782608695652174;0.38095238095238093;0.4;0.42105263157894735;0.47058823529411764;0.5882352941176471;0.0;0.0;0.47058823529411764;0.45454545454545453;0.5217391304347826;0.0;0.4444444444444444;0.0;0.6666666666666666;0.5555555555555556;0.36363636363636365;0.3;0.8695652173913043;0.45454545454545453;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9523809523809523;1.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.4444444444444444;0.0;0.8;0.0;0.5555555555555556;0.2857142857142857;0.0;0.0;0.0;0.09090909090909091;0.0;0.6666666666666666;0.2;0.6666666666666666;0.0;0.0;0.0;0.7272727272727273;0.4444444444444444;0.0;0.47058823529411764;0.47619047619047616;0.0;0.4166666666666667;0.21052631578947367;0.1;0.5;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.4444444444444444;0.0;0.21052631578947367;0.0;0.0;0.8181818181818182;0.43478260869565216;0.45454545454545453;0.0;0.34782608695652173;0.5263157894736842;0.1;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.782608695652174;0.6956521739130435;0.75;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.782608695652174;0.42105263157894735;0.5263157894736842;0.5263157894736842;0.3333333333333333;0.782608695652174;0.0;0.42105263157894735
GO:0032496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.1111111111111111;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050900;0.0;0.0;0.0;0.15384615384615385;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.11764705882352941;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.0;1.0;0.16666666666666666;0.0;0.125;0.15384615384615385;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.15384615384615385;0.0;0.13333333333333333;0.0;0.16666666666666666;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.16666666666666666;0.0;0.15384615384615385;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.125;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.125;0.0;0.16666666666666666;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.13333333333333333;0.1111111111111111;0.0;0.13333333333333333;0.15384615384615385;0.11764705882352941;0.0;0.0;0.13333333333333333;0.16666666666666666;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.13333333333333333;0.1111111111111111;0.10526315789473684;0.15384615384615385;0.125;0.125;0.1111111111111111;0.16666666666666666;0.0;0.14285714285714285;0.16666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285
GO:0030199;0.0;0.0;0.0;0.15384615384615385;0.0;0.3333333333333333;0.36363636363636365;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.23529411764705882;0.5;0.3076923076923077;0.2857142857142857;0.3076923076923077;0.46153846153846156;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.0;0.25;0.3076923076923077;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.46153846153846156;0.0;0.26666666666666666;0.0;0.16666666666666666;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.0;0.46153846153846156;0.0;0.0;0.26666666666666666;0.0;0.42857142857142855;0.125;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.26666666666666666;0.2222222222222222;0.0;0.26666666666666666;0.3076923076923077;0.23529411764705882;0.0;0.0;0.26666666666666666;0.16666666666666666;0.42857142857142855;0.125;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.26666666666666666;0.2222222222222222;0.10526315789473684;0.3076923076923077;0.25;0.25;0.2222222222222222;0.3333333333333333;0.0;0.2857142857142857;0.5;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.5;0.2857142857142857
GO:0052405;0.09090909090909091;0.13333333333333333;0.09090909090909091;0.13333333333333333;0.09090909090909091;0.14285714285714285;0.0;0.0;0.125;0.0;0.14285714285714285;0.13333333333333333;0.125;0.0;0.1;0.1111111111111111;0.11764705882352941;0.125;0.14285714285714285;0.14285714285714285;0.0;0.0;0.14285714285714285;0.10526315789473684;0.1;0.0;0.13333333333333333;0.0;0.13333333333333333;0.13333333333333333;0.10526315789473684;0.11764705882352941;0.1;0.10526315789473684;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;1.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.13333333333333333;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.0;0.1111111111111111;0.11764705882352941;0.09523809523809523;0.0;0.0;0.0;0.10526315789473684;0.13333333333333333;0.0;0.14285714285714285;0.1111111111111111;0.0;0.38095238095238093;0.125;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0;0.0;0.13333333333333333;0.0;0.125;0.0;0.0;0.42105263157894735;0.1;0.10526315789473684;0.0;0.1;0.125;0.11764705882352941;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.4;0.1;0.09523809523809523;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1;0.0;0.2857142857142857;0.0;0.0;0.1;0.125;0.125;0.125;0.13333333333333333;0.4;0.0;0.125
