;GO:0006284;GO:0006261;GO:0015031;GO:0006288;GO:0043320;GO:0006286;GO:0006287;GO:0042058;GO:0007259;GO:0000398;GO:0043304;GO:1903307;GO:0045471;GO:0048488;GO:0071897;GO:0051607;GO:0051402;GO:0016579;GO:0071707;GO:0006290;GO:0007186;GO:0006351;GO:0050709;GO:0060338;GO:0008630;GO:0043312;GO:1900026;GO:0007249;GO:0060337;GO:0002467;GO:0030856;GO:0001558;GO:2000825;GO:0006909;GO:0016485
GO:0043304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1492331351584338;0.047799631016701725;0.0;1.0;0.5138023531245397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.33382621846353866;0.29114835073653533;0.047799631016701725;0.0;0.11511873865597294;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1492331351584338;0.0;0.0
GO:1903307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.5138023531245397;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.33382621846353866;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.0
GO:0045471;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0
GO:0048488;0.0;0.0;0.14698621595948655;0.0;0.23890105842610806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23890105842610806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36643564045919497;0.0
GO:0071897;0.31566002955365785;0.31566002955365785;0.0;0.31566002955365785;0.01468324974140624;0.31566002955365785;0.31566002955365785;0.0;0.01468324974140624;0.15084348231066635;0.0;0.0;0.0;0.0;1.0;0.0;0.01468324974140624;0.10587402764930422;0.31566002955365785;0.31566002955365785;0.01468324974140624;0.18244634003048496;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.08547128021085358
GO:0051607;0.17988792517482602;0.0;0.0;0.0;0.29045087053624835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;1.0;0.0;0.0;0.20709043845653538;0.17988792517482602;0.0;0.0;0.0;0.0;0.17988792517482602;0.29045087053624835;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0
GO:0051402;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;1.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016579;0.10587402764930422;0.10587402764930422;0.0;0.10587402764930422;0.01468324974140624;0.10587402764930422;0.10587402764930422;0.0;0.01468324974140624;0.08547128021085358;0.0;0.0;0.0;0.0;0.10587402764930422;0.0;0.01468324974140624;1.0;0.10587402764930422;0.10587402764930422;0.01468324974140624;0.10587402764930422;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.26577770024764036
GO:0071707;0.31566002955365785;0.31566002955365785;0.0;0.31566002955365785;0.20709043845653538;0.31566002955365785;0.31566002955365785;0.0;0.01468324974140624;0.15084348231066635;0.0;0.0;0.0;0.0;0.31566002955365785;0.20709043845653538;0.01468324974140624;0.10587402764930422;1.0;0.31566002955365785;0.01468324974140624;0.15084348231066635;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.0;0.0;0.0;0.0;0.08547128021085358
GO:0006290;0.36643564045919497;0.31566002955365785;0.0;0.31566002955365785;0.01468324974140624;0.31566002955365785;0.31566002955365785;0.0;0.01468324974140624;0.15084348231066635;0.0;0.0;0.11807622278079505;0.0;0.31566002955365785;0.17988792517482602;0.01468324974140624;0.10587402764930422;0.31566002955365785;1.0;0.01468324974140624;0.15084348231066635;0.0;0.0;0.32330823750762483;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.11807622278079505;0.0;0.0;0.0;0.0;0.08547128021085358
GO:0007186;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;1.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.12659489728285286;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0006351;0.15084348231066635;0.18244634003048496;0.0;0.15084348231066635;0.01468324974140624;0.15084348231066635;0.15084348231066635;0.0;0.01468324974140624;0.16542914088709912;0.0;0.0;0.0;0.0;0.18244634003048496;0.0;0.01468324974140624;0.10587402764930422;0.15084348231066635;0.15084348231066635;0.01468324974140624;1.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.08547128021085358
GO:0050709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.33382621846353866;0.33382621846353866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;1.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0060338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1786822519641151;0.047799631016701725;0.0;0.29114835073653533;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;1.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.0;0.0
GO:0008630;0.32330823750762483;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.24553006275393716;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.11807622278079505;0.0;0.01468324974140624;0.17988792517482602;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.32330823750762483;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;1.0;0.01468324974140624;0.047799631016701725;0.24553006275393716;0.12659489728285286;0.11807622278079505;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0043312;0.01468324974140624;0.01468324974140624;0.14698621595948655;0.01468324974140624;0.3643693056757151;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.23890105842610806;0.01468324974140624;0.29045087053624835;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;1.0;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.0;0.0;0.0;0.23890105842610806;0.0
GO:1900026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.11511873865597294;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;1.0;0.047799631016701725;0.047799631016701725;0.0;0.2410224993701646;0.20397374928165476;0.12755981097713553;0.0;0.0
GO:0007249;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.24553006275393716;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.24553006275393716;0.01468324974140624;0.047799631016701725;1.0;0.12659489728285286;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0060337;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.12659489728285286;1.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0002467;0.11807622278079505;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.20709043845653538;0.0;0.0;0.20709043845653538;0.11807622278079505;0.0;0.0;0.0;0.0;0.11807622278079505;0.20709043845653538;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0030856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.2410224993701646;0.047799631016701725;0.047799631016701725;0.0;1.0;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0001558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;1.0;0.047799631016701725;0.0;0.0
GO:2000825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1786822519641151;0.047799631016701725;0.0;0.1492331351584338;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.1786822519641151;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;1.0;0.0;0.0
GO:0006909;0.0;0.0;0.14698621595948655;0.0;0.23890105842610806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36643564045919497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23890105842610806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0016485;0.08547128021085358;0.08547128021085358;0.0;0.08547128021085358;0.0;0.08547128021085358;0.08547128021085358;0.0;0.0;0.08547128021085358;0.0;0.0;0.0;0.0;0.08547128021085358;0.0;0.0;0.26577770024764036;0.08547128021085358;0.08547128021085358;0.0;0.08547128021085358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
