;GO:0021915;GO:0008380;GO:0060487;GO:1902476;GO:0022408;GO:0032570;GO:0045687;GO:0023019;GO:0006366;GO:0008543;GO:0051294;GO:0051291;GO:0006887;GO:0043547;GO:0030866;GO:0002159;GO:0001666;GO:0045892;GO:0071773;GO:0045893;GO:0035635;GO:0060672;GO:0042307;GO:0045617;GO:0060674;GO:0031032;GO:0000902;GO:0008593;GO:0060670;GO:0003382;GO:0051260;GO:0009966;GO:0030855;GO:0030216;GO:0051973;GO:0071285;GO:0071681;GO:0007416;GO:2000648;GO:0043484;GO:0070830;GO:0072659;GO:2000048;GO:0035264;GO:0008360;GO:1902373;GO:0008284;GO:0048699;GO:0045944;GO:0045747;GO:0061436;GO:0045471;GO:0048863;GO:0070584;GO:0001766;GO:0010951;GO:2000178;GO:0032463;GO:0007043;GO:0050708;GO:0007162;GO:0048701;GO:0007565;GO:0006397;GO:0044030;GO:0001657;GO:0043066;GO:0006508;GO:0050900;GO:0017157;GO:2000147
GO:0030866;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.0;1.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.4;0.43852901558847923;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.4;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0
GO:0002159;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;1.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.48300749985576874;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;1.0;0.0;0.8;0.0;0.0;0.3356143810225276;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.6830074998557688;0.0;0.0;0.43852901558847923;0.0;0.4;0.6000000000000001;0.43852901558847923;0.0;0.6830074998557688;0.3660149997115376;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.4
GO:0071773;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.0;0.4;0.5356143810225276;0.5356143810225276;0.0;1.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.6830074998557688;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.4;0.5356143810225276;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0
GO:0045893;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.8;0.0;1.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.0;0.0;0.3660149997115376;0.0;0.4;0.8;0.48300749985576874;0.0;1.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.4;0.4;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.48300749985576874
GO:0035635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060672;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.0;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;1.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.0;0.8;1.0;0.8;0.0;0.8;0.8;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0
GO:0042307;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.0;1.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.4;0.4;0.48300749985576874;0.0;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.2830074998557688;0.3660149997115376;0.3356143810225276;0.0;0.6000000000000001;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.48300749985576874;0.48300749985576874
GO:0045617;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.0;0.0;0.4;1.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.4;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874
GO:0060674;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;1.0;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
GO:0031032;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.0;0.8;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;1.0;0.5356143810225276;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.4;0.43852901558847923;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.4;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0
GO:0000902;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.0;0.5356143810225276;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.8;0.5356143810225276;1.0;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0
GO:0008593;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.4;0.0;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.4;0.5356143810225276;0.0;0.3660149997115376;1.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.48300749985576874;0.4;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.48300749985576874
GO:0060670;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;1.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
GO:0003382;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.0;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;1.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.0;0.8;1.0;0.8;0.0;0.8;0.8;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0
GO:0051260;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;1.0;0.0;0.8;0.8;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0
GO:0009966;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.6830074998557688;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.0;0.4;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.4;0.5356143810225276;0.43852901558847923;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.5356143810225276
GO:0030855;0.8;0.8;1.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.0;0.5356143810225276;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.0;1.0;0.8;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.43852901558847923;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0
GO:0030216;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.0;0.8;1.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.43852901558847923;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0
GO:0051973;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;1.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.48300749985576874
