;GO:0007093;GO:0007098;GO:1990090;GO:0000733;GO:0045766;GO:0110032;GO:0071373;GO:0045892;GO:0045893;GO:0044320;GO:0071930;GO:1902042;GO:0036120;GO:0008631;GO:0008630;GO:0007265;GO:0000077;GO:0072332;GO:0048255;GO:0000070;GO:0033762;GO:0031100;GO:0070317;GO:0071922;GO:0043009;GO:0007076;GO:0006260;GO:0008285;GO:0045787;GO:1904117;GO:0006303;GO:0045944;GO:0006301;GO:0006302;GO:0071392;GO:0071398;GO:0048146;GO:0071314;GO:0071158;GO:0070345;GO:0030521;GO:0010994;GO:2000378;GO:0016579;GO:0045717;GO:0006270;GO:1903671;GO:0070979;GO:0000729;GO:0007088;GO:0000724;GO:0007089;GO:1990314;GO:0007080;GO:0085020;GO:0018108;GO:0030071;GO:0006366;GO:0046777;GO:0006367;GO:0043392;GO:0031398;GO:0071732;GO:0072425;GO:0016572;GO:0010458;GO:0071456;GO:0010575;GO:0010971;GO:0045739;GO:1904385;GO:0045737;GO:0007064;GO:1900740;GO:1904668;GO:0008156;GO:0071681;GO:0051574;GO:0051572;GO:0051573;GO:0051571;GO:0031145;GO:0070512;GO:0035067;GO:0044818;GO:0000079;GO:0006978;GO:2000617;GO:0000122;GO:0051984;GO:0031536;GO:0000086;GO:0006977;GO:0000083;GO:0000082;GO:0034644;GO:0071356;GO:0035335;GO:0032467;GO:0051865;GO:0033314;GO:0070936;GO:0006351;GO:0046600;GO:0045599;GO:0006633;GO:0006359;GO:0006349;GO:0044030;GO:0043065;GO:2000620;GO:0033147;GO:0071466
GO:0071930;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.875;0.6666666666666666;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.16666666666666666;0.0;0.0;0.0;0.125;0.6;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.5;0.0;0.6;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.3333333333333333;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.2;0.0;0.0;0.36363636363636365;0.0;0.0;0.3333333333333333;0.0;0.0;0.7;0.16666666666666666;0.0;0.35714285714285715;0.35714285714285715;0.0;0.0;0.0;0.38461538461538464;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.6666666666666666;0.5;0.4;0.0;0.0;0.0;0.2
GO:1902042;0.3333333333333333;0.0;0.0;0.0;0.16666666666666666;0.21428571428571427;0.0;0.25;0.21428571428571427;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.23076923076923078;0.0;0.0;0.0;0.4;0.2727272727272727;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.25;0.0;0.23076923076923078;0.36363636363636365;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.0;0.23076923076923078;0.0;0.0;0.25;0.0;0.2;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.08333333333333333;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.16666666666666666;0.21428571428571427;0.2727272727272727;0.0;0.25;0.0;0.45454545454545453;0.07142857142857142;0.25;0.0;0.17647058823529413;0.25;0.25;0.17647058823529413;0.0;0.17647058823529413;0.26666666666666666;0.0;0.25;0.0;0.1875;0.23076923076923078;0.2727272727272727;0.21428571428571427;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.3076923076923077;0.36363636363636365;0.0;0.21428571428571427;0.16666666666666666;0.23076923076923078;0.5454545454545454;0.16666666666666666;0.5;0.0
GO:0036120;0.0;0.0;0.6;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.2;0.0;0.2222222222222222;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.18181818181818182;0.0;0.2;0.2;0.5;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.2;0.0;0.0;0.25;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.1111111111111111;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855
GO:0008631;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:0008630;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.14285714285714285;0.0;0.0;0.2857142857142857;0.0;0.0;0.2;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.25;0.5;0.0;0.5714285714285714;0.5714285714285714;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.5;0.0;0.25;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.2857142857142857;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.4
GO:0007265;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:0000077;0.4;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.16666666666666666;0.3333333333333333;0.2;0.3333333333333333;0.23076923076923078;0.2222222222222222;0.16666666666666666;0.3076923076923077;0.2222222222222222;0.16666666666666666;0.6666666666666666;0.16666666666666666;1.0;0.16666666666666666;0.3076923076923077;0.16666666666666666;0.1111111111111111;0.0;0.5;0.3333333333333333;0.0;0.16666666666666666;0.1111111111111111;0.4444444444444444;0.4444444444444444;0.2;0.5;0.21428571428571427;0.5714285714285714;0.5714285714285714;0.25;0.25;0.2727272727272727;0.25;0.36363636363636365;0.4;0.16666666666666666;0.16666666666666666;0.4;0.0;0.36363636363636365;0.16666666666666666;0.23076923076923078;0.07142857142857142;0.16666666666666666;0.4;0.5;0.3076923076923077;0.2;0.16666666666666666;0.07142857142857142;0.09090909090909091;0.36363636363636365;0.0;0.09090909090909091;0.16666666666666666;0.0;0.21428571428571427;0.375;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.5;0.16666666666666666;0.3333333333333333;0.25;0.2;0.4;0.16666666666666666;0.0;0.0;0.3333333333333333;0.25;0.1875;0.26666666666666666;0.26666666666666666;0.1875;0.16666666666666666;0.1875;0.2857142857142857;0.3333333333333333;0.4;0.5;0.2;0.3076923076923077;0.3;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.2;0.2222222222222222;0.09090909090909091;0.36363636363636365;0.07692307692307693;0.5;0.07142857142857142;0.0;0.4166666666666667;0.4;0.1111111111111111;0.23076923076923078;0.1;0.25;0.25;0.17647058823529413;0.3333333333333333;0.2857142857142857
GO:0072332;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:0048255;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.5;0.6666666666666666;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;1.0;0.0;0.0;0.0;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.4;0.3;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.25;0.36363636363636365;0.0;0.0;0.5;0.0;0.45454545454545453;0.0;0.09090909090909091;0.0;0.0;0.2727272727272727;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.38461538461538464;0.0;0.16666666666666666;0.0;0.0;0.0;0.2727272727272727;0.23076923076923078;0.5;0.0;0.2727272727272727;0.0;0.0;0.09090909090909091;0.5;0.0;0.35714285714285715;0.35714285714285715;0.35714285714285715;0.35714285714285715;0.0;0.35714285714285715;0.38461538461538464;0.0;0.2727272727272727;0.0;0.35714285714285715;0.46153846153846156;0.3;0.23076923076923078;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.1;0.36363636363636365;0.0;0.45454545454545453;0.4;0.45454545454545453;0.25;0.3333333333333333;0.3076923076923077;0.0
GO:0000070;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
