;GO:0021915;GO:0033260;GO:0031081;GO:0045727;GO:0034198;GO:0048339;GO:0008543;GO:0022008;GO:0051292;GO:0008585;GO:0042795;GO:0006369;GO:0000973;GO:0006446;GO:0000972;GO:0051290;GO:0046833;GO:0006368;GO:0000398;GO:0034629;GO:0002534;GO:0045292;GO:0006999;GO:0000184;GO:0070208;GO:0050830;GO:0036228;GO:0042306;GO:1904263;GO:0006370;GO:0006398;GO:0051260;GO:0006355;GO:0008334;GO:0006611;GO:0006406;GO:0006605;GO:0098789;GO:0006606;GO:0006408;GO:0006607;GO:0031442;GO:0031047;GO:0031124;GO:0007080;GO:0051315
GO:0000398;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.8;1.0;0.0;0.0;1.0;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8
GO:0034629;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6830074998557688;0.6830074998557688;0.0;0.8;0.6830074998557688;0.8;0.0;0.0;0.0;0.6830074998557688;0.0
GO:0002534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045292;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.8;1.0;0.0;0.0;1.0;0.5356143810225276;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8
GO:0006999;0.0;0.6000000000000001;0.8;0.0;0.43852901558847923;0.0;0.6000000000000001;0.5356143810225276;1.0;0.0;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.0;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.5356143810225276;1.0;0.3356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.0;0.3356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.6000000000000001
GO:0000184;0.0;0.4;0.3081136762725405;0.48300749985576874;0.3081136762725405;0.0;0.4;0.3356143810225276;0.3356143810225276;0.0;0.43852901558847923;0.5356143810225276;0.2830074998557688;0.43852901558847923;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.5356143810225276;0.5356143810225276;0.0;0.0;0.48300749985576874;0.3356143810225276;1.0;0.3356143810225276;0.0;0.0;0.2830074998557688;0.2599120563717816;0.5356143810225276;0.5356143810225276;0.3356143810225276;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.4;0.4
GO:0070208;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.3356143810225276;1.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.4;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8
GO:0050830;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0036228;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.0;0.6830074998557688;0.5356143810225276;0.6830074998557688;0.0;0.0;0.0;0.5356143810225276;0.0
GO:0042306;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;1.0;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0
GO:1904263;0.0;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.3081136762725405;1.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0
GO:0006370;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;1.0;0.8;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8
GO:0006398;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;1.0;0.8;0.0;1.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;1.0;0.8;0.8
GO:0051260;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.3356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.8;1.0;0.0;0.4;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8
GO:0006355;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0
GO:0008334;0.0;0.4;0.3081136762725405;0.0;0.3081136762725405;0.0;0.4;0.4;0.4;0.0;0.5356143810225276;0.6830074998557688;0.2830074998557688;0.0;0.3081136762725405;0.4;0.0;0.6830074998557688;0.6830074998557688;0.0;0.0;0.6000000000000001;0.3356143810225276;0.6000000000000001;0.4;0.0;0.0;0.0;0.0;0.6830074998557688;1.0;0.4;0.0;1.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.3660149997115376;0.6830074998557688;0.4;0.4
GO:0006611;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.0
GO:0006406;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.0;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.0
GO:0006605;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;1.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.0
GO:0098789;0.0;0.8;0.5356143810225276;0.0;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.8;0.8;0.8
GO:0006606;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;1.0;0.8;1.0;0.0;0.0;0.0;0.8;0.0
GO:0006408;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.8;1.0;0.8;0.0;0.0;0.0;0.8;0.0
GO:0006607;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;1.0;0.8;1.0;0.0;0.0;0.0;0.8;0.0
GO:0031442;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.48300749985576874;0.0;0.0;0.0
GO:0031047;0.0;0.6830074998557688;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.0;0.6830074998557688;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.3660149997115376;0.6830074998557688;0.6000000000000001;0.0;0.0;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.0;0.0;0.3356143810225276;0.3081136762725405;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.48300749985576874;1.0;0.6000000000000001;0.6830074998557688;0.6830074998557688
GO:0031124;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;1.0;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;1.0;0.8;0.8
GO:0007080;0.0;0.8;0.6000000000000001;0.0;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.6830074998557688;0.0;0.8;0.6000000000000001;0.4;0.8;0.0;0.5356143810225276;0.0;0.0;0.8;0.8;0.8;0.0;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.6830074998557688;0.8;1.0;0.8
GO:0051315;0.0;0.8;0.5356143810225276;0.0;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.4;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.4;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.8;0.8;1.0
