;GO:0008584;GO:1901340;GO:0007052;GO:0006283;GO:0015031;GO:0006123;GO:0060404;GO:0000338;GO:0006366;GO:0051091;GO:0045132;GO:0070126;GO:0031398;GO:0070125;GO:0071456;GO:0035556;GO:0034140;GO:0042307;GO:1903894;GO:0007186;GO:0000902;GO:1902600;GO:0051260;GO:1990182;GO:0006412;GO:0070830;GO:1902175;GO:0035023;GO:0090630;GO:0000715;GO:0043123;GO:0045666;GO:0045944;GO:0043687;GO:0006103;GO:0000045;GO:0071277;GO:0051383;GO:0000281;GO:0070462;GO:0071479;GO:0032147;GO:0070301;GO:0035973;GO:0051988;GO:0032467;GO:0016579;GO:0007286;GO:0006351;GO:0034080;GO:0046328;GO:0006357;GO:0097352;GO:0043066;GO:0043065;GO:0030433;GO:0051315;GO:1903071
GO:0032467;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.36363636363636365;0.0;0.0;0.375;0.2727272727272727;0.3;0.3;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.25;0.08333333333333333;0.0;0.4;0.4;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.625;1.0;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.0;0.3;0.4444444444444444;0.0;0.0;0.2727272727272727
GO:0016579;0.0;0.0;0.0;0.25;0.0;0.14285714285714285;0.0;0.7142857142857143;0.375;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;1.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0
GO:0007286;0.3333333333333333;0.0;0.0;0.125;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2;0.0;0.14285714285714285;0.2;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006351;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.375;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0
GO:0034080;0.0;0.0;0.0;0.125;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2;0.0;0.14285714285714285;0.6;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046328;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.46153846153846156;0.0;0.0;0.3333333333333333;0.36363636363636365;0.16666666666666666;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.45454545454545453;0.07692307692307693;0.0;0.5;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;1.0;0.25;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.36363636363636365
GO:0006357;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.3076923076923077;0.0;0.0;0.3;0.18181818181818182;0.16666666666666666;0.25;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.21428571428571427;0.07692307692307693;0.0;0.23076923076923078;0.0;0.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.25;1.0;0.0;0.25;0.25;0.0;0.0;0.2857142857142857
GO:0097352;0.0;0.0;0.0;0.125;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2;0.0;0.14285714285714285;0.5;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0043066;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.23076923076923078;0.0;0.0;0.3333333333333333;0.36363636363636365;0.16666666666666666;0.2727272727272727;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.23076923076923078;0.07692307692307693;0.0;0.25;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;1.0;0.75;0.0;0.0;0.25
GO:0043065;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.25;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.23076923076923078;0.07692307692307693;0.0;0.36363636363636365;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.75;1.0;0.0;0.0;0.25
GO:0030433;0.0;0.0;0.0;0.375;0.0;0.0;0.14285714285714285;0.42857142857142855;0.6;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.4;0.0;0.14285714285714285;0.2;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.375;0.0;0.0;0.42857142857142855;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0051315;0.0;0.0;0.0;0.125;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2;0.0;0.14285714285714285;0.2;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:1903071;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.42857142857142855;0.0;0.0;0.3;0.2857142857142857;0.15384615384615385;0.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.21428571428571427;0.07142857142857142;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.36363636363636365;0.2857142857142857;0.0;0.25;0.25;0.0;0.0;1.0
