;GO:0016525;GO:0045606;GO:0033540;GO:0006361;GO:0007098;GO:0015031;GO:0060603;GO:0006363;GO:0021997;GO:0009437;GO:0060644;GO:0006367;GO:0007413;GO:0032526;GO:0015908;GO:0045892;GO:0045893;GO:0001701;GO:0006518;GO:0007409;GO:0035556;GO:0033138;GO:0010470;GO:0045815;GO:0007186;GO:0060271;GO:0007264;GO:0045333;GO:0043433;GO:0000226;GO:0061005;GO:0060831;GO:0006895;GO:1904938;GO:0045540;GO:0045662;GO:0050680;GO:0032355;GO:0050727;GO:0016485;GO:0050767;GO:0030850;GO:0072659;GO:2001014;GO:0016567;GO:0018406;GO:0040015;GO:0090630;GO:0045666;GO:1902775;GO:1904754;GO:0006468;GO:0045944;GO:0043687;GO:0043401;GO:0022027;GO:0038092;GO:0045668;GO:0000122;GO:0030326;GO:0097421;GO:0051782;GO:0071397;GO:0010875;GO:0010596;GO:0035335;GO:0010157;GO:0030522;GO:0016579;GO:0006351;GO:0021522;GO:0045879;GO:0006511;GO:0006357;GO:0007204;GO:0007517;GO:0006627;GO:0006625;GO:1990830;GO:0002943;GO:0045200;GO:0001932;GO:0097755;GO:0001658;GO:0051791;GO:0015936;GO:0001937
GO:0060644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006367;0.0;0.0;0.25;0.6;0.0;0.0;0.0;0.6;0.0;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.2222222222222222;0.5;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.25;0.0;0.0;0.2857142857142857;0.6;0.0;0.0;0.5;0.0;0.1;0.0;0.6;0.0;0.14285714285714285;0.6;0.0;0.0;0.0;0.0;0.3333333333333333;0.42857142857142855;0.0
GO:0007413;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0
GO:0032526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015908;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.2727272727272727;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.75;0.0;0.0;0.0;0.3;0.3076923076923077;0.2;0.5555555555555556;0.3;0.0;0.2727272727272727;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.4;0.0;0.2;0.0;0.2727272727272727;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.07692307692307693;0.0;0.0;0.21428571428571427;0.0;0.6666666666666666;0.0;0.2727272727272727;0.0;0.0;0.4;0.875;0.0;0.0;0.4444444444444444;0.0;0.15384615384615385;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0.0;0.75;0.058823529411764705;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.36363636363636365
GO:0045893;0.18181818181818182;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;1.0;0.0;0.0;0.0;0.3;0.4166666666666667;0.2;0.75;0.3;0.0;0.2727272727272727;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.4;0.2727272727272727;0.2727272727272727;0.0;0.2;0.0;0.2727272727272727;0.0;0.0;0.3;0.0;0.0;0.2;0.07692307692307693;0.2727272727272727;0.0;0.25;0.0;0.875;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.6666666666666666;0.0;0.0;0.3;0.0;0.25;0.18181818181818182;0.0;0.0;0.3;0.0;0.0;0.0;0.25;0.0;0.75;0.058823529411764705;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.25
GO:0001701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0
GO:0006518;0.0;0.0;0.2;0.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.3;0.6;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.3333333333333333;0.0;0.0;0.375;0.4;0.0;0.0;0.6;0.0;0.07692307692307693;0.0;0.4;0.0;0.1;0.4;0.0;0.0;0.0;0.0;0.25;0.42857142857142855;0.0
GO:0007409;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0
GO:0035556;0.0;0.3333333333333333;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;1.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.14285714285714285;0.2727272727272727;0.14285714285714285;0.0;0.0;0.0;0.375;0.2727272727272727;0.0;0.0;0.42857142857142855;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.16666666666666666;0.3333333333333333
GO:0033138;0.15384615384615385;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.4166666666666667;0.0;0.0;0.0;0.2727272727272727;1.0;0.16666666666666666;0.4166666666666667;0.2727272727272727;0.0;0.25;0.0;0.18181818181818182;0.0;0.0;0.23076923076923078;0.0;0.0;0.25;0.25;0.25;0.0;0.16666666666666666;0.0;0.25;0.0;0.0;0.2727272727272727;0.0;0.0;0.16666666666666666;0.06666666666666667;0.3076923076923077;0.0;0.2857142857142857;0.0;0.38461538461538464;0.0;0.25;0.0;0.0;0.25;0.2857142857142857;0.0;0.0;0.2727272727272727;0.0;0.21428571428571427;0.15384615384615385;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.23076923076923078;0.0;0.3076923076923077;0.05263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.0;0.0;0.0;0.23076923076923078
GO:0010470;0.5714285714285714;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.2;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.4444444444444444;0.2222222222222222;0.375;0.2222222222222222;0.0;0.25;0.0;0.5;0.0;0.0;0.42857142857142855;0.0;0.0;0.375;0.09090909090909091;0.0;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.375;0.18181818181818182;0.0;0.0;0.25;0.0;0.18181818181818182;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.2;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2
GO:0045815;0.18181818181818182;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.75;0.0;0.0;0.0;0.0;0.4166666666666667;0.2;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.3;0.18181818181818182;0.18181818181818182;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.07692307692307693;0.0;0.0;0.25;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.18181818181818182;0.5;0.0;0.0;0.2;0.0;0.25;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.5555555555555556;0.058823529411764705;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.16666666666666666
GO:0007186;0.0;0.3333333333333333;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.14285714285714285;0.2727272727272727;0.14285714285714285;0.0;0.0;0.0;0.375;0.2727272727272727;0.0;0.0;0.42857142857142855;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.16666666666666666;0.3333333333333333
GO:0060271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007264;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.375;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.16666666666666666;0.16666666666666666;0.3
GO:0045333;0.0;0.0;0.25;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.1111111111111111;0.2;0.0;0.0;0.2;0.0;0.07692307692307693;0.0;0.2;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.25;0.25;0.0
GO:0043433;0.375;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.0;0.0;0.18181818181818182;0.2857142857142857;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.25;0.42857142857142855;0.42857142857142855;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5;0.2222222222222222;0.0;0.0;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.42857142857142855;0.6;0.0;0.0;0.5;0.0;0.2;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.6666666666666666;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.375
GO:0000226;0.0;0.0;0.1111111111111111;0.25;0.5;0.0;0.0;0.25;0.0;0.14285714285714285;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.25;0.0;0.0;0.0;0.25;0.0;0.25;0.14285714285714285;0.0;1.0;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.25;0.0;0.0;0.0;0.25;0.0;0.125;0.0;0.125;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.25;0.0;0.0;0.25;0.0;0.25;0.0;0.09090909090909091;0.0;0.25;0.0;0.125;0.0;0.25;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0
GO:0061005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
