;GO:0036158;GO:0034695;GO:0090114;GO:2000360;GO:0008285;GO:0033087;GO:0008543;GO:0090110;GO:0044458;GO:0006886;GO:0061512;GO:0030326;GO:0045471;GO:0018230;GO:0070126;GO:2000354;GO:0070125;GO:0033574;GO:2001223;GO:0030049;GO:0007186;GO:0006032;GO:0006470;GO:0051260;GO:0045214;GO:0007565;GO:0060539;GO:0006612;GO:0006412;GO:0007517;GO:0030238;GO:0006888;GO:0043066;GO:0046034;GO:0031960;GO:1990637;GO:0035725;GO:0032496;GO:0010469;GO:0036159;GO:0035721
GO:2000354;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.3081136762725405;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0070125;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;1.0;0.0;0.0;0.8;0.8;0.6000000000000001;0.6000000000000001;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.8;0.8
GO:0033574;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6830074998557688;0.0;0.8;0.0;0.0;0.0
GO:2001223;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.3356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;1.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0
GO:0030049;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;1.0;0.8;0.48300749985576874;0.43852901558847923;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.8;0.8
GO:0007186;0.8;0.0;0.8;0.6000000000000001;0.6000000000000001;0.3660149997115376;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.43852901558847923;0.8;0.0;0.8;0.8;1.0;0.5356143810225276;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8
GO:0006032;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.48300749985576874;0.5356143810225276;1.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276
GO:0006470;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;1.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874
GO:0051260;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.48300749985576874;0.43852901558847923;1.0;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.8;0.8
GO:0045214;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.5356143810225276;0.48300749985576874;0.8;1.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.8;0.8
GO:0007565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.8
GO:0006412;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.6000000000000001;0.6830074998557688;0.8;0.8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.8;0.8
GO:0007517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.8
GO:0043066;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.3660149997115376;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0046034;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.6000000000000001;0.0;0.6830074998557688;0.0;0.0;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001
GO:0031960;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.6000000000000001;0.0;0.6830074998557688;0.0;0.0;0.0
GO:1990637;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;1.0;0.0;0.6000000000000001;0.0;0.0;0.0
GO:0035725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.4
GO:0032496;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6000000000000001;0.0;1.0;0.0;0.0;0.0
GO:0010469;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.3356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0036159;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.5356143810225276;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;1.0;0.8
GO:0035721;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.5356143810225276;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.5356143810225276;0.48300749985576874;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.0;0.0;0.4;0.0;0.0;0.8;1.0
