;GO:0036498;GO:0007131;GO:0006284;GO:0006282;GO:0030031;GO:0000735;GO:0051096;GO:1900016;GO:0000733;GO:0045647;GO:0000731;GO:0051091;GO:0042136;GO:0045648;GO:0045766;GO:0050796;GO:0033539;GO:0000184;GO:0019249;GO:0019369;GO:0031115;GO:0071926;GO:0065003;GO:0043111;GO:0007265;GO:0006853;GO:0042147;GO:0042149;GO:0051896;GO:0071480;GO:0048010;GO:0050684;GO:0071360;GO:0045541;GO:0006261;GO:0043123;GO:0048812;GO:0008203;GO:0000710;GO:0038096;GO:0071394;GO:0002337;GO:0043372;GO:0016197;GO:0032543;GO:0033630;GO:0019229;GO:0070979;GO:0043378;GO:0048821;GO:0008333;GO:0002230;GO:0072594;GO:0005978;GO:0071385;GO:0030593;GO:0016447;GO:0007175;GO:0006886;GO:0043547;GO:0006879;GO:0030866;GO:0050872;GO:0006635;GO:0032922;GO:0097167;GO:0051607;GO:0031397;GO:0071456;GO:0006094;GO:0032481;GO:0043312;GO:0006099;GO:0042102;GO:0006412;GO:0019391;GO:0030855;GO:0006888;GO:0035509;GO:0030970;GO:0010469;GO:1904382;GO:0050767;GO:1904380;GO:0033567;GO:0016567;GO:0060100;GO:1904154;GO:1904153;GO:0030174;GO:1901687;GO:0043687;GO:0045747;GO:0006614;GO:0043570;GO:0030968;GO:0001967;GO:0016310;GO:0030162;GO:0007166;GO:1901216;GO:0006631;GO:0006511;GO:0042128;GO:0070372;GO:0006625;GO:0098921;GO:0006749;GO:0045087;GO:0030838;GO:0071346;GO:0036258;GO:0039528;GO:0070932;GO:0002082;GO:0015031;GO:0022008;GO:0097250;GO:0045008;GO:0046340;GO:0030307;GO:0010936;GO:0071774;GO:0010499;GO:0000902;GO:1902600;GO:1904902;GO:1902603;GO:0002521;GO:0032715;GO:0016241;GO:0030890;GO:0035542;GO:0036510;GO:0008285;GO:0008284;GO:0022900;GO:0042795;GO:0045944;GO:1902616;GO:0070221;GO:0097466;GO:0032147;GO:0051946;GO:0070345;GO:0032700;GO:0030520;GO:0016236;GO:0050853;GO:0016579;GO:0045717;GO:0009142;GO:0006310;GO:1903830;GO:1903955;GO:0006312;GO:0001782;GO:0008611;GO:0097352;GO:0032933;GO:0015937;GO:0007080;GO:0018108;GO:0032092;GO:0006120;GO:0042176;GO:0006366;GO:0006364;GO:0007216;GO:0006367;GO:0043029;GO:0051443;GO:0043153;GO:2000678;GO:0090023;GO:0006491;GO:0045579;GO:0043161;GO:0030336;GO:0030214;GO:0033160;GO:0045903;GO:0045588;GO:0006105;GO:0042754;GO:0006104;GO:0000122;GO:0032981;GO:0035458;GO:0006351;GO:0006355;GO:0045116;GO:0045910;GO:0006357;GO:0043066;GO:0010968;GO:0030433
GO:0036498;1.0;0.8;0.6000000000000001;0.48300749985576874;0.8;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.8;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.4;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.8;0.8;0.8;0.8;0.0;0.0;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.5356143810225276;0.4;0.48300749985576874;0.4;0.8;0.0;0.8;0.8;0.5356143810225276;0.8;0.3356143810225276;0.0;0.8;0.48300749985576874;0.8;0.3356143810225276;0.3356143810225276;0.8;0.0;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.8;0.8;0.48300749985576874;0.0;0.43852901558847923;0.4;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.6830074998557688;0.6830074998557688;0.6000000000000001;0.3660149997115376;0.8;0.0;0.43852901558847923;0.8;0.8;0.3660149997115376;0.8;0.5356143810225276;0.8;0.0;0.3660149997115376;0.0;0.6000000000000001;0.8;0.8;0.4;0.8;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.0;0.5356143810225276;1.0;0.0;0.5356143810225276;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.8;0.5356143810225276;0.4;0.8;0.4;0.6000000000000001;0.6830074998557688;0.43852901558847923;0.8;0.8;0.8;0.8;0.48300749985576874;0.0;0.8;0.8;0.8;0.43852901558847923;0.5356143810225276;0.4;0.6830074998557688;0.0;0.8;0.0;0.8;0.0;0.8;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.3660149997115376;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.8;0.3660149997115376;0.0;0.5356143810225276;0.8;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.8;0.6000000000000001;0.8;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.8;0.8;0.48300749985576874;0.8;0.43852901558847923;0.48300749985576874;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.4;0.5356143810225276;0.4;0.8;0.43852901558847923;0.48300749985576874;0.4;0.5356143810225276;0.3660149997115376;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.8;0.5356143810225276;0.8;0.43852901558847923;0.4;0.4;0.4;0.43852901558847923;0.43852901558847923;0.8
GO:0007131;0.8;1.0;0.5356143810225276;0.0;0.8;0.6000000000000001;0.0;0.0;0.6000000000000001;0.0;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.4;0.48300749985576874;0.48300749985576874;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.8;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.8;0.8;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.3356143810225276;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.4;0.8;0.8;0.0;0.0;0.0;0.4;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.43852901558847923;0.0;0.8;0.8;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.4;0.8;0.4;0.0;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.6000000000000001;0.8;0.0;0.5356143810225276;0.0;0.8;0.0;0.6000000000000001;0.8;0.5356143810225276;0.0;0.8;0.4;0.6000000000000001;0.0;0.43852901558847923;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8;0.8;0.43852901558847923;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.43852901558847923;0.0;0.43852901558847923;0.8;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.8;0.8;0.48300749985576874;0.8;0.43852901558847923;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.8;0.0;0.4;0.0;0.0;0.0;0.0;0.8
GO:0006284;0.6000000000000001;0.5356143810225276;1.0;0.0;0.43852901558847923;0.6830074998557688;0.0;0.0;0.6830074998557688;0.0;0.6830074998557688;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.4;0.4;0.4;0.0;0.48300749985576874;0.43852901558847923;0.6830074998557688;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.48300749985576874;0.0;0.4;0.0;0.6000000000000001;0.0;0.48300749985576874;0.4;0.6830074998557688;0.48300749985576874;0.4;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.3356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.2830074998557688;0.4;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.3356143810225276;0.0;0.43852901558847923;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.6830074998557688;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.6830074998557688;0.6000000000000001;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.48300749985576874;0.6000000000000001;0.4;0.0;0.43852901558847923;0.2830074998557688;0.48300749985576874;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.3660149997115376;0.0;0.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.4;0.0;0.43852901558847923;0.6830074998557688;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.4;0.48300749985576874;0.43852901558847923;0.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.6000000000000001;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.48300749985576874;0.4;0.5356143810225276;0.0;0.4;0.0;0.0;0.0;0.0;0.6000000000000001
GO:0006282;0.48300749985576874;0.0;0.0;1.0;0.0;0.0;0.3356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.4;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.6000000000000001;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.3356143810225276;0.23852901558847928;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.4;0.43852901558847923;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.6000000000000001;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.0;0.4;0.0;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.3660149997115376;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.0
GO:0030031;0.8;0.8;0.43852901558847923;0.0;1.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.8;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.8;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.8;0.0;0.8;0.8;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.3081136762725405;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.4;0.8;0.8;0.0;0.0;0.0;0.3660149997115376;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.8;0.8;0.0;0.8;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.3660149997115376;0.8;0.3660149997115376;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.5356143810225276;0.8;0.0;0.48300749985576874;0.0;0.8;0.0;0.5356143810225276;0.8;0.5356143810225276;0.0;0.8;0.4;0.5356143810225276;0.0;0.43852901558847923;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.8;0.8;0.4;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;0.8;0.43852901558847923;0.8;0.4;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.8;0.43852901558847923;0.8;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.8
GO:0000735;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.0;0.48300749985576874;1.0;0.0;0.0;0.8;0.0;0.8;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.8;0.5356143810225276;0.0;0.0;0.4;0.0;0.3356143810225276;0.5356143810225276;0.0;0.3660149997115376;0.0;0.6830074998557688;0.0;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.3081136762725405;0.43852901558847923;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.48300749985576874;0.6000000000000001;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.43852901558847923;0.8;0.43852901558847923;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.5356143810225276;0.6830074998557688;0.43852901558847923;0.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.0;0.3356143810225276;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.48300749985576874;0.48300749985576874;0.8;0.4;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.6000000000000001;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.6830074998557688
GO:0051096;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;1.0;0.3356143810225276;0.0;0.4;0.0;0.6000000000000001;0.3660149997115376;0.4;0.3356143810225276;0.3356143810225276;0.0;0.2599120563717816;0.0;0.0;0.3081136762725405;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3081136762725405;0.0;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.23852901558847928;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.23852901558847928;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.23852901558847928;0.0;0.0;0.0;0.4;0.4;0.0;0.2599120563717816;0.0;0.0;0.3356143810225276;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.2830074998557688;0.0;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.2830074998557688;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.48300749985576874;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.6000000000000001;0.3660149997115376;0.4;0.3081136762725405;0.0;0.2830074998557688;0.0;0.3356143810225276;0.0;0.3081136762725405;0.4;0.2599120563717816;0.0;0.4;0.0;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.0;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.0
GO:1900016;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;1.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3081136762725405;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.3081136762725405;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.23852901558847928;0.0;0.0;0.0;0.4;0.4;0.0;0.3660149997115376;0.0;0.0;0.6000000000000001;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.4;0.48300749985576874;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.3660149997115376;0.3356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.2830074998557688;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.3356143810225276;0.4;0.0;0.4;0.0;0.48300749985576874;0.0;0.3660149997115376;0.4;0.3356143810225276;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.0
GO:0000733;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.0;0.48300749985576874;0.8;0.0;0.0;1.0;0.0;0.8;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.8;0.5356143810225276;0.0;0.0;0.4;0.0;0.3356143810225276;0.5356143810225276;0.0;0.3660149997115376;0.0;0.6830074998557688;0.0;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.3081136762725405;0.43852901558847923;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.48300749985576874;0.6000000000000001;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.43852901558847923;0.8;0.43852901558847923;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.5356143810225276;0.6830074998557688;0.43852901558847923;0.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.0;0.3356143810225276;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.48300749985576874;0.48300749985576874;0.8;0.4;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.8;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.6000000000000001;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.6830074998557688
GO:0045647;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.5356143810225276;0.0;1.0;0.0;0.48300749985576874;0.5356143810225276;0.8;0.43852901558847923;0.48300749985576874;0.0;0.3356143810225276;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.4;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.4;0.48300749985576874;0.3356143810225276;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.4;0.3660149997115376;0.43852901558847923;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.4;0.43852901558847923;0.4;0.4;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.3660149997115376;0.6000000000000001;0.4;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.4;0.0
