;GO:0045926;GO:2001054;GO:0061179;GO:0035162;GO:0045648;GO:0045766;GO:0051000;GO:0001701;GO:0030949;GO:0050715;GO:0051926;GO:0001947;GO:0032722;GO:0051248;GO:0033138;GO:0042789;GO:0016239;GO:0043518;GO:1903377;GO:1902166;GO:0042541;GO:0097411;GO:0016241;GO:0001837;GO:0035307;GO:0071407;GO:1900271;GO:2001198;GO:0008286;GO:0008284;GO:0038094;GO:0007595;GO:0045944;GO:0001892;GO:0045821;GO:0042832;GO:0002223;GO:0002578;GO:0051541;GO:0070101;GO:0001922;GO:0019221;GO:0043011;GO:0034329;GO:0035774;GO:0010870;GO:0030641;GO:0050731;GO:2000378;GO:0016579;GO:0022617;GO:2000392;GO:0046886;GO:1901653;GO:0044344;GO:1903715;GO:0043536;GO:0005978;GO:1990830;GO:0071542;GO:0050900;GO:0001938;GO:0032534;GO:0015991;GO:1900454;GO:0006366;GO:0045600;GO:0046777;GO:0008542;GO:0006089;GO:0061419;GO:0002320;GO:0045604;GO:0006879;GO:0030502;GO:0051289;GO:0035914;GO:0070244;GO:0043154;GO:0072540;GO:0071456;GO:0032007;GO:0010575;GO:1905875;GO:0033572;GO:0002292;GO:0002052;GO:0043312;GO:0006011;GO:0042102;GO:0042742;GO:1900625;GO:0010629;GO:0045064;GO:0001755;GO:0030330;GO:0032755;GO:0072539;GO:0030214;GO:0046716;GO:0061030;GO:0006065;GO:1902895;GO:0043687;GO:0002774;GO:0045591;GO:0000122;GO:0035973;GO:0045190;GO:0060574;GO:0060333;GO:0043619;GO:0060218;GO:1903599;GO:0060576;GO:0002666;GO:0071222;GO:0042130;GO:0043066;GO:0045087;GO:0030838;GO:0070374;GO:0071347;GO:0030033;GO:0034116;GO:0019255;GO:0019896
GO:0051926;0.42857142857142855;0.2727272727272727;0.375;0.0;0.1111111111111111;0.2;0.18181818181818182;0.0;0.2;0.3333333333333333;1.0;0.0;0.2;0.3333333333333333;0.15384615384615385;0.0;0.16666666666666666;0.3333333333333333;0.2727272727272727;0.3;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.1111111111111111;0.2;0.0;0.2222222222222222;0.0;0.0;0.16666666666666666;0.0;0.2;0.0;0.0;0.375;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.3;0.2;0.07142857142857142;0.15384615384615385;0.3333333333333333;0.0;0.0;0.2;0.2;0.0;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.25;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.06666666666666667;0.3333333333333333;0.0;0.0;0.21428571428571427;0.2727272727272727;0.0;0.0;0.3;0.2;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.18181818181818182;0.3333333333333333;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.2;0.0;0.2727272727272727;0.3;0.0;0.18181818181818182;0.16666666666666666;0.0;0.0;0.2;0.0;0.0
GO:0001947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032722;0.25;0.16666666666666666;0.2222222222222222;0.0;0.4444444444444444;0.5;0.3;0.0;0.3333333333333333;0.7142857142857143;0.2;0.0;1.0;0.2;0.25;0.0;0.2727272727272727;0.2;0.16666666666666666;0.18181818181818182;0.0;0.0;0.18181818181818182;0.0;0.2727272727272727;0.0;0.1111111111111111;0.3;0.0;0.375;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.2222222222222222;0.0;0.3;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.07142857142857142;0.25;0.2;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.18181818181818182;0.4444444444444444;0.0;0.0;0.0;0.0;0.3;0.2;0.0;0.42857142857142855;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.06666666666666667;0.3333333333333333;0.0;0.0;0.13333333333333333;0.16666666666666666;0.0;0.0;0.18181818181818182;0.7142857142857143;0.14285714285714285;0.0;0.0;0.4444444444444444;0.0;0.0;0.2727272727272727;0.0;0.3;0.2;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.1;0.0;0.0;0.25;0.0;0.0;0.36363636363636365;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.5;0.0;0.16666666666666666;0.18181818181818182;0.0;0.3;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.0
GO:0051248;0.42857142857142855;0.2727272727272727;0.375;0.0;0.1111111111111111;0.2;0.3;0.0;0.2;0.2;0.3333333333333333;0.0;0.2;1.0;0.45454545454545453;0.0;0.2727272727272727;0.3333333333333333;0.2727272727272727;0.3;0.0;0.0;0.3;0.0;0.5;0.0;0.1111111111111111;0.2;0.0;0.2222222222222222;0.0;0.0;0.4;0.0;0.4444444444444444;0.0;0.0;0.375;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.2222222222222222;0.4444444444444444;0.07142857142857142;0.45454545454545453;0.5;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.3;0.18181818181818182;0.0;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.25;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.06666666666666667;0.3333333333333333;0.0;0.0;0.21428571428571427;0.5;0.0;0.0;0.3;0.2;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.18181818181818182;0.7142857142857143;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.36363636363636365;0.0;0.0;0.15384615384615385;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.2;0.0;0.2727272727272727;0.3;0.0;0.18181818181818182;0.4166666666666667;0.0;0.0;0.2;0.0;0.0
GO:0033138;0.18181818181818182;0.21428571428571427;0.16666666666666666;0.0;0.3333333333333333;0.25;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.15384615384615385;0.0;0.25;0.45454545454545453;1.0;0.0;0.4166666666666667;0.25;0.21428571428571427;0.23076923076923078;0.0;0.2727272727272727;0.3333333333333333;0.0;0.7;0.0;0.21428571428571427;0.25;0.0;0.4;0.0;0.0;0.38461538461538464;0.0;0.7272727272727273;0.0;0.0;0.16666666666666666;0.0;0.3076923076923077;0.0;0.25;0.0;0.0;0.2727272727272727;0.5;0.058823529411764705;0.8;0.36363636363636365;0.0;0.0;0.25;0.45454545454545453;0.0;0.0;0.3333333333333333;0.23076923076923078;0.0;0.0;0.0;0.0;0.3333333333333333;0.21428571428571427;0.0;0.3;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.25;0.05555555555555555;0.15384615384615385;0.0;0.0;0.17647058823529413;0.3333333333333333;0.0;0.0;0.21428571428571427;0.25;0.1;0.0;0.0;0.3333333333333333;0.0;0.0;0.2857142857142857;0.0;0.23076923076923078;0.3333333333333333;0.0;0.0;0.23076923076923078;0.25;0.0;0.0;0.07692307692307693;0.0;0.0;0.35714285714285715;0.0;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.4166666666666667;0.0;0.25;0.0;0.2;0.23076923076923078;0.0;0.3333333333333333;0.7272727272727273;0.0;0.0;0.25;0.0;0.0
GO:0042789;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.2857142857142857;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0
GO:0016239;0.2;0.23076923076923078;0.18181818181818182;0.0;0.36363636363636365;0.2727272727272727;0.36363636363636365;0.0;0.36363636363636365;0.36363636363636365;0.16666666666666666;0.0;0.2727272727272727;0.2727272727272727;0.4166666666666667;0.0;1.0;0.2727272727272727;0.23076923076923078;0.25;0.0;0.3;0.875;0.0;0.45454545454545453;0.0;0.09090909090909091;0.2727272727272727;0.0;0.4444444444444444;0.0;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.18181818181818182;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.3;0.5555555555555556;0.0625;0.4166666666666667;0.4;0.0;0.0;0.2727272727272727;0.5;0.0;0.0;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.36363636363636365;0.23076923076923078;0.0;0.3333333333333333;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.058823529411764705;0.16666666666666666;0.0;0.0;0.1875;0.23076923076923078;0.0;0.0;0.23076923076923078;0.2727272727272727;0.1111111111111111;0.0;0.0;0.36363636363636365;0.0;0.0;0.3076923076923077;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.08333333333333333;0.0;0.0;0.3076923076923077;0.0;0.0;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.2727272727272727;0.0;0.21428571428571427;0.25;0.0;0.36363636363636365;0.38461538461538464;0.0;0.0;0.2727272727272727;0.0;0.0
GO:0043518;0.42857142857142855;0.4;0.5714285714285714;0.0;0.3;0.2;0.18181818181818182;0.0;0.4;0.3;0.3333333333333333;0.0;0.2;0.3333333333333333;0.25;0.0;0.2727272727272727;1.0;0.5454545454545454;0.625;0.0;0.375;0.3;0.0;0.2727272727272727;0.0;0.1111111111111111;0.3333333333333333;0.0;0.375;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.0;0.375;0.0;0.36363636363636365;0.0;0.3333333333333333;0.0;0.0;0.375;0.3333333333333333;0.07142857142857142;0.25;0.5;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.3;0.18181818181818182;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.0;0.25;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.06666666666666667;0.3333333333333333;0.0;0.0;0.3076923076923077;0.4;0.0;0.0;0.6666666666666666;0.2;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.18181818181818182;0.3333333333333333;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.23076923076923078;0.0;0.0;0.25;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.2;0.0;0.36363636363636365;0.4444444444444444;0.0;0.3;0.45454545454545453;0.0;0.0;0.2;0.0;0.0
GO:1903377;0.3333333333333333;0.7;0.4;0.0;0.25;0.16666666666666666;0.15384615384615385;0.0;0.36363636363636365;0.25;0.2727272727272727;0.0;0.16666666666666666;0.2727272727272727;0.21428571428571427;0.0;0.23076923076923078;0.5454545454545454;1.0;0.6363636363636364;0.0;0.3;0.25;0.0;0.23076923076923078;0.0;0.23076923076923078;0.2727272727272727;0.0;0.3;0.0;0.0;0.21428571428571427;0.0;0.23076923076923078;0.0;0.0;0.3;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0625;0.21428571428571427;0.4;0.0;0.0;0.2727272727272727;0.25;0.0;0.0;0.25;0.15384615384615385;0.0;0.0;0.0;0.0;0.25;0.23076923076923078;0.0;0.2;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.058823529411764705;0.2727272727272727;0.0;0.0;0.5384615384615384;0.7;0.0;0.0;0.6;0.16666666666666666;0.36363636363636365;0.0;0.0;0.25;0.0;0.0;0.21428571428571427;0.0;0.15384615384615385;0.2727272727272727;0.0;0.0;0.25;0.16666666666666666;0.0;0.0;0.08333333333333333;0.0;0.0;0.2;0.0;0.0;0.21428571428571427;0.3076923076923077;0.0;0.0;0.0;0.25;0.0;0.0;0.23076923076923078;0.0;0.16666666666666666;0.0;0.3076923076923077;0.7777777777777778;0.0;0.25;0.4166666666666667;0.0;0.0;0.16666666666666666;0.0;0.0
GO:1902166;0.375;0.5833333333333334;0.5;0.0;0.2727272727272727;0.18181818181818182;0.16666666666666666;0.0;0.36363636363636365;0.2727272727272727;0.3;0.0;0.18181818181818182;0.3;0.23076923076923078;0.0;0.25;0.625;0.6363636363636364;1.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.25;0.0;0.25;0.3;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.3;0.0;0.0;0.3333333333333333;0.3;0.06666666666666667;0.23076923076923078;0.4444444444444444;0.0;0.0;0.3;0.2727272727272727;0.0;0.0;0.2727272727272727;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.2222222222222222;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.0625;0.3;0.0;0.0;0.4666666666666667;0.5833333333333334;0.0;0.0;0.6;0.18181818181818182;0.4;0.0;0.0;0.2727272727272727;0.0;0.0;0.23076923076923078;0.0;0.16666666666666666;0.3;0.0;0.0;0.2727272727272727;0.18181818181818182;0.0;0.0;0.09090909090909091;0.0;0.0;0.21428571428571427;0.0;0.0;0.23076923076923078;0.3333333333333333;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.25;0.0;0.18181818181818182;0.0;0.3333333333333333;0.6363636363636364;0.0;0.2727272727272727;0.4166666666666667;0.0;0.0;0.18181818181818182;0.0;0.0
GO:0042541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;1.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.42857142857142855;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.375;0.125;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.5;0.1;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.3333333333333333;0.0;0.2857142857142857;0.16666666666666666;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.3333333333333333;0.14285714285714285;0.0;0.375;0.0;0.375;0.16666666666666666;0.0;0.0;0.2;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.1;0.0;0.0;0.2857142857142857;0.0
GO:0097411;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.375;0.3;0.3333333333333333;0.16666666666666666;1.0;0.3333333333333333;0.0;0.3;0.16666666666666666;0.0;0.375;0.0;0.42857142857142855;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.3;0.0;0.0;0.0;0.0;0.0;0.375;0.125;0.2727272727272727;0.375;0.0;0.2;0.375;0.3333333333333333;0.16666666666666666;0.0;0.3333333333333333;0.0;0.0;0.14285714285714285;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.125;0.0;0.0;0.0;0.0;0.375;0.1111111111111111;0.0;0.0;0.0;0.23076923076923078;0.3;0.0;0.2;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.0;0.14285714285714285;0.25;0.14285714285714285;0.0;0.2727272727272727;0.2727272727272727;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.3333333333333333;0.2727272727272727;0.14285714285714285;0.0;0.0;0.0;0.0
GO:0016241;0.2222222222222222;0.25;0.2;0.0;0.2727272727272727;0.18181818181818182;0.2727272727272727;0.0;0.3;0.2727272727272727;0.18181818181818182;0.0;0.18181818181818182;0.3;0.3333333333333333;0.0;0.875;0.3;0.25;0.2727272727272727;0.0;0.3333333333333333;1.0;0.0;0.36363636363636365;0.0;0.1;0.3;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.2;0.0;0.25;0.0;0.3;0.0;0.0;0.2;0.4444444444444444;0.06666666666666667;0.3333333333333333;0.4444444444444444;0.0;0.0;0.3;0.4;0.0;0.0;0.4;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.2222222222222222;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.0625;0.18181818181818182;0.0;0.0;0.2;0.25;0.0;0.0;0.25;0.18181818181818182;0.125;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.16666666666666666;0.3;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.09090909090909091;0.0;0.0;0.3076923076923077;0.0;0.0;0.23076923076923078;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.18181818181818182;0.0;0.23076923076923078;0.2727272727272727;0.0;0.2727272727272727;0.3076923076923077;0.0;0.0;0.18181818181818182;0.0;0.0
GO:0001837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035307;0.2;0.23076923076923078;0.18181818181818182;0.0;0.36363636363636365;0.2727272727272727;0.36363636363636365;0.0;0.36363636363636365;0.36363636363636365;0.16666666666666666;0.0;0.2727272727272727;0.5;0.7;0.0;0.45454545454545453;0.2727272727272727;0.23076923076923078;0.25;0.0;0.3;0.36363636363636365;0.0;1.0;0.0;0.23076923076923078;0.2727272727272727;0.0;0.4444444444444444;0.0;0.0;0.4166666666666667;0.0;0.6363636363636364;0.0;0.0;0.18181818181818182;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.3;0.5555555555555556;0.0625;0.7;0.4;0.0;0.0;0.2727272727272727;0.5;0.0;0.0;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.36363636363636365;0.23076923076923078;0.0;0.3333333333333333;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.058823529411764705;0.16666666666666666;0.0;0.0;0.1875;0.35714285714285715;0.0;0.0;0.23076923076923078;0.2727272727272727;0.1111111111111111;0.0;0.0;0.36363636363636365;0.0;0.0;0.3076923076923077;0.0;0.25;0.36363636363636365;0.0;0.0;0.25;0.2727272727272727;0.0;0.0;0.08333333333333333;0.0;0.0;0.38461538461538464;0.0;0.0;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.25;0.0;0.0;0.45454545454545453;0.0;0.2727272727272727;0.0;0.21428571428571427;0.25;0.0;0.36363636363636365;0.6363636363636364;0.0;0.0;0.2727272727272727;0.0;0.0
GO:0071407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.1111111111111111;0.16666666666666666;0.0;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.125;0.0;0.0;0.5714285714285714;0.5714285714285714;0.0;0.0;0.09090909090909091;0.5714285714285714;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.3333333333333333;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.1;0.14285714285714285;0.0;0.1;0.0;0.1;0.16666666666666666;0.0;0.0;0.1;0.0;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.5714285714285714;0.0;0.0;0.14285714285714285;0.09090909090909091;0.0;0.5714285714285714;0.0;0.0;0.1111111111111111;0.0
GO:1900271;0.14285714285714285;0.09090909090909091;0.125;0.0;0.3333333333333333;0.1111111111111111;0.1;0.0;0.3;0.1111111111111111;0.1111111111111111;0.0;0.1111111111111111;0.1111111111111111;0.21428571428571427;0.0;0.09090909090909091;0.1111111111111111;0.23076923076923078;0.25;0.0;0.0;0.1;0.0;0.23076923076923078;0.0;1.0;0.1111111111111111;0.0;0.125;0.0;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.0;0.125;0.0;0.2727272727272727;0.2;0.0;0.0;0.0;0.125;0.1111111111111111;0.18181818181818182;0.08333333333333333;0.1111111111111111;0.0;0.0;0.1111111111111111;0.25;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.1111111111111111;0.0;0.5;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.1111111111111111;0.0;0.0;0.07142857142857142;0.09090909090909091;0.0;0.0;0.2727272727272727;0.1111111111111111;0.2;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.1;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.2857142857142857;0.0;0.0;0.08333333333333333;0.0;0.0;0.08333333333333333;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.09090909090909091;0.1;0.0;0.2;0.25;0.0;0.0;0.1111111111111111;0.0;0.0
GO:2001198;0.25;0.2727272727272727;0.2222222222222222;0.0;0.4444444444444444;0.3333333333333333;0.18181818181818182;0.0;0.3333333333333333;0.3;0.2;0.0;0.3;0.2;0.25;0.0;0.2727272727272727;0.3333333333333333;0.2727272727272727;0.3;0.0;0.375;0.3;0.0;0.2727272727272727;0.0;0.1111111111111111;1.0;0.0;0.375;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.0;0.375;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.2222222222222222;0.3333333333333333;0.07142857142857142;0.25;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.0;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.06666666666666667;0.3333333333333333;0.0;0.0;0.21428571428571427;0.2727272727272727;0.0;0.0;0.2727272727272727;0.3;0.14285714285714285;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.0;0.18181818181818182;0.2;0.0;0.0;0.0;0.3;0.0;0.0;0.1;0.0;0.0;0.23076923076923078;0.0;0.0;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.2727272727272727;0.3;0.0;0.3;0.25;0.0;0.0;0.2;0.0;0.0
GO:0008286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.0;0.0;0.0
