;GO:0008584;GO:0006260;GO:0006189;GO:0009116;GO:0006541;GO:0046777;GO:0007595;GO:0046654;GO:0009113;GO:0051290;GO:0006544;GO:0046084;GO:0001666;GO:0032868;GO:0019240;GO:0051262;GO:0000083;GO:0033574;GO:0044208;GO:0035690;GO:0014075;GO:0009263;GO:0007565;GO:0006177;GO:0044205;GO:0006206;GO:0006228;GO:0006207;GO:0006526;GO:0000050;GO:0046452;GO:0071364;GO:0031000;GO:0031100;GO:0009060;GO:0070317;GO:0018107;GO:0051414
GO:0006544;0.0;0.2857142857142857;0.23076923076923078;0.375;0.5;0.2222222222222222;0.0;0.2222222222222222;0.25;0.0;1.0;0.125;0.0;0.0;0.5;0.0;0.2;0.0;0.42857142857142855;0.14285714285714285;0.0;0.125;0.0;0.23076923076923078;0.18181818181818182;0.2857142857142857;0.2;0.2222222222222222;0.4444444444444444;0.3333333333333333;0.2857142857142857;0.0;0.0;0.0;0.25;0.09090909090909091;0.2222222222222222;0.0
GO:0046084;0.0;0.3333333333333333;0.45454545454545453;0.375;0.2727272727272727;0.25;0.0;0.4;0.8;0.0;0.125;1.0;0.0;0.0;0.4;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.3333333333333333;0.0;0.5;0.3333333333333333;0.5;0.36363636363636365;0.5555555555555556;0.36363636363636365;0.5;0.3;0.0;0.0;0.0;0.1111111111111111;0.0;0.25;0.0
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666
GO:0032868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;1.0;0.0;0.0;0.0;0.5;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.4444444444444444;0.0;0.0;0.0;0.0;0.375
GO:0019240;0.0;0.3;0.3333333333333333;0.375;0.5;0.25;0.0;0.5;0.4444444444444444;0.0;0.5;0.4;0.0;0.0;1.0;0.0;0.0;0.0;0.3333333333333333;0.09090909090909091;0.0;0.3333333333333333;0.0;0.36363636363636365;0.3333333333333333;0.3333333333333333;0.36363636363636365;0.4;0.6666666666666666;0.5;0.45454545454545453;0.0;0.0;0.0;0.16666666666666666;0.0;0.25;0.0
GO:0051262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000083;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.2;0.0;0.0;0.0;0.0;0.1;0.16666666666666666;0.1111111111111111;0.125;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.125;0.0
GO:0033574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.5;0.0;0.0;0.0;1.0;0.0;0.2857142857142857;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5714285714285714;0.0;0.0;0.0;0.0;0.6666666666666666
GO:0044208;0.0;0.2222222222222222;0.6363636363636364;0.3;0.09090909090909091;0.18181818181818182;0.0;0.3333333333333333;0.5;0.0;0.42857142857142855;0.45454545454545453;0.0;0.0;0.3333333333333333;0.0;0.14285714285714285;0.0;1.0;0.1111111111111111;0.0;0.5454545454545454;0.0;0.7;0.5384615384615384;0.2222222222222222;0.5454545454545454;0.3333333333333333;0.3076923076923077;0.4;0.2222222222222222;0.0;0.0;0.0;0.2;0.0;0.18181818181818182;0.0
GO:0035690;0.0;0.125;0.07142857142857142;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.25;0.09090909090909091;0.0;0.2;0.2857142857142857;0.1111111111111111;1.0;0.2857142857142857;0.0;0.0;0.07692307692307693;0.08333333333333333;0.125;0.09090909090909091;0.1;0.08333333333333333;0.1111111111111111;0.125;0.42857142857142855;0.5;0.0;0.1111111111111111;0.0;0.1;0.6
GO:0014075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.5;0.0;0.0;0.0;0.42857142857142855;0.0;0.2857142857142857;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.5714285714285714;0.0;0.0;0.0;0.0;0.42857142857142855
GO:0009263;0.0;0.375;0.5454545454545454;0.42857142857142855;0.2;0.36363636363636365;0.0;0.3333333333333333;0.375;0.0;0.125;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;1.0;0.0;0.6;0.5454545454545454;0.3333333333333333;0.6;0.3333333333333333;0.3;0.42857142857142855;0.2222222222222222;0.0;0.0;0.0;0.1111111111111111;0.0;0.36363636363636365;0.0
GO:0007565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006177;0.0;0.3;0.7;0.4444444444444444;0.23076923076923078;0.3076923076923077;0.0;0.36363636363636365;0.5555555555555556;0.0;0.23076923076923078;0.5;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.7;0.07692307692307693;0.0;0.6;0.0;1.0;0.5833333333333334;0.2727272727272727;0.6;0.36363636363636365;0.3333333333333333;0.4444444444444444;0.25;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.0
GO:0044205;0.0;0.2727272727272727;0.5384615384615384;0.4444444444444444;0.23076923076923078;0.2857142857142857;0.0;0.3333333333333333;0.36363636363636365;0.0;0.18181818181818182;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.1;0.0;0.5384615384615384;0.08333333333333333;0.0;0.5454545454545454;0.0;0.5833333333333334;1.0;0.4;0.7;0.45454545454545453;0.3076923076923077;0.4;0.25;0.0;0.0;0.0;0.15384615384615385;0.0;0.2857142857142857;0.0
GO:0006206;0.0;0.3333333333333333;0.2727272727272727;0.5;0.3333333333333333;0.3;0.0;0.3333333333333333;0.5714285714285714;0.0;0.2857142857142857;0.5;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.2222222222222222;0.125;0.0;0.3333333333333333;0.0;0.2727272727272727;0.4;1.0;0.4444444444444444;0.7142857142857143;0.3;0.42857142857142855;0.375;0.0;0.0;0.0;0.2222222222222222;0.0;0.3;0.0
GO:0006228;0.0;0.3;0.5454545454545454;0.5;0.25;0.3076923076923077;0.0;0.36363636363636365;0.4;0.0;0.2;0.36363636363636365;0.0;0.0;0.36363636363636365;0.0;0.1111111111111111;0.0;0.5454545454545454;0.09090909090909091;0.0;0.6;0.0;0.6;0.7;0.4444444444444444;1.0;0.5;0.3333333333333333;0.4444444444444444;0.2727272727272727;0.0;0.0;0.0;0.16666666666666666;0.0;0.3076923076923077;0.0
GO:0006207;0.0;0.3333333333333333;0.3333333333333333;0.375;0.2727272727272727;0.25;0.0;0.4;0.625;0.0;0.2222222222222222;0.5555555555555556;0.0;0.0;0.4;0.0;0.125;0.0;0.3333333333333333;0.1;0.0;0.3333333333333333;0.0;0.36363636363636365;0.45454545454545453;0.7142857142857143;0.5;1.0;0.36363636363636365;0.5;0.3;0.0;0.0;0.0;0.18181818181818182;0.0;0.25;0.0
GO:0006526;0.0;0.2727272727272727;0.3076923076923077;0.3333333333333333;0.625;0.23076923076923078;0.0;0.45454545454545453;0.4;0.0;0.4444444444444444;0.36363636363636365;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.3076923076923077;0.08333333333333333;0.0;0.3;0.0;0.3333333333333333;0.3076923076923077;0.3;0.3333333333333333;0.36363636363636365;1.0;0.4444444444444444;0.4166666666666667;0.0;0.0;0.0;0.15384615384615385;0.0;0.23076923076923078;0.0
GO:0000050;0.0;0.375;0.4;0.5;0.3333333333333333;0.3;0.0;0.625;0.5714285714285714;0.0;0.3333333333333333;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.4;0.1111111111111111;0.0;0.42857142857142855;0.0;0.4444444444444444;0.4;0.42857142857142855;0.4444444444444444;0.5;0.4444444444444444;1.0;0.5;0.0;0.0;0.0;0.1111111111111111;0.0;0.3;0.0
GO:0046452;0.0;0.25;0.25;0.42857142857142855;0.45454545454545453;0.2727272727272727;0.0;0.5714285714285714;0.3333333333333333;0.0;0.2857142857142857;0.3;0.0;0.0;0.45454545454545453;0.0;0.16666666666666666;0.0;0.2222222222222222;0.125;0.0;0.2222222222222222;0.0;0.25;0.25;0.375;0.2727272727272727;0.3;0.4166666666666667;0.5;1.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.2727272727272727;0.0
GO:0071364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.0;0.42857142857142855;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375
GO:0031000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.4444444444444444;0.0;0.0;0.0;0.5714285714285714;0.0;0.5;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.5
GO:0031100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:0009060;0.0;0.2222222222222222;0.13333333333333333;0.125;0.1;0.18181818181818182;0.0;0.18181818181818182;0.125;0.0;0.25;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.1111111111111111;0.0;0.14285714285714285;0.15384615384615385;0.2222222222222222;0.16666666666666666;0.18181818181818182;0.15384615384615385;0.1111111111111111;0.2222222222222222;0.0;0.0;0.0;1.0;0.0;0.18181818181818182;0.0
GO:0070317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0018107;0.0;0.3333333333333333;0.2857142857142857;0.3333333333333333;0.25;0.75;0.0;0.25;0.2727272727272727;0.0;0.2222222222222222;0.25;0.0;0.0;0.25;0.0;0.125;0.0;0.18181818181818182;0.1;0.0;0.36363636363636365;0.0;0.3076923076923077;0.2857142857142857;0.3;0.3076923076923077;0.25;0.23076923076923078;0.3;0.2727272727272727;0.0;0.0;0.0;0.18181818181818182;0.0;1.0;0.0
GO:0051414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.375;0.0;0.0;0.0;0.6666666666666666;0.0;0.6;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.5;0.0;0.0;0.0;0.0;1.0
