;GO:0090336;GO:0008584;GO:0060065;GO:0045665;GO:0006366;GO:0006641;GO:0022008;GO:0043367;GO:0045944;GO:0002244;GO:0045668;GO:0000122;GO:0050872;GO:0050873;GO:0034968;GO:0071277;GO:0045893;GO:0002317;GO:0048541;GO:0035115;GO:0030225;GO:0045638;GO:0006351;GO:0060272;GO:0002076;GO:0043457;GO:0048704;GO:0006357;GO:0090190;GO:0071300;GO:0001658;GO:0030099;GO:0001759;GO:0010720;GO:0050900;GO:0032332;GO:0050767;GO:0030512
GO:0050872;0.0;0.3333333333333333;0.36363636363636365;0.0;0.11764705882352941;0.2857142857142857;0.7272727272727273;0.26666666666666666;0.0;0.7272727272727273;0.0;0.0;1.0;0.8333333333333334;0.23529411764705882;0.3076923076923077;0.0;0.25;0.3076923076923077;0.3076923076923077;0.6153846153846154;0.0;0.125;0.3076923076923077;0.5454545454545454;0.0;0.3333333333333333;0.0;0.0;0.3076923076923077;0.2857142857142857;0.7272727272727273;0.2857142857142857;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0050873;0.0;0.3333333333333333;0.36363636363636365;0.0;0.11764705882352941;0.2857142857142857;0.7272727272727273;0.26666666666666666;0.0;0.7272727272727273;0.0;0.0;0.8333333333333334;1.0;0.23529411764705882;0.3076923076923077;0.0;0.25;0.3076923076923077;0.3076923076923077;0.6153846153846154;0.0;0.125;0.3076923076923077;0.5454545454545454;0.0;0.3333333333333333;0.0;0.0;0.3076923076923077;0.2857142857142857;0.7272727272727273;0.2857142857142857;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0034968;0.0;0.0;0.0;0.0;0.09090909090909091;0.21052631578947367;0.125;0.1;0.0;0.125;0.0;0.0;0.23529411764705882;0.23529411764705882;1.0;0.2222222222222222;0.0;0.09523809523809523;0.0;0.0;0.1111111111111111;0.0;0.09523809523809523;0.0;0.125;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.0
GO:0071277;0.0;0.0;0.0;0.0;0.1111111111111111;0.26666666666666666;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.3076923076923077;0.3076923076923077;0.2222222222222222;1.0;0.0;0.11764705882352941;0.0;0.0;0.14285714285714285;0.0;0.11764705882352941;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.16666666666666666;0.0;0.0;0.15384615384615385;0.0;0.0;0.0
GO:0045893;0.42105263157894735;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.9565217391304348;0.0;0.4444444444444444;0.8695652173913043;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.5555555555555556;0.0;0.9090909090909091;0.4;0.0;0.0;0.0;0.42105263157894735;0.4444444444444444;0.0;0.42105263157894735;0.4444444444444444;0.4
GO:0002317;0.0;0.125;0.13333333333333333;0.0;0.09523809523809523;0.1111111111111111;0.13333333333333333;0.10526315789473684;0.0;0.13333333333333333;0.0;0.0;0.25;0.25;0.09523809523809523;0.11764705882352941;0.0;1.0;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.0;0.1;0.11764705882352941;0.13333333333333333;0.0;0.125;0.0;0.0;0.11764705882352941;0.1111111111111111;0.13333333333333333;0.2222222222222222;0.0;0.125;0.0;0.0;0.0
GO:0048541;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.11764705882352941;1.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.15384615384615385;0.0;0.0;0.0;0.13333333333333333;0.16666666666666666;0.26666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0035115;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;1.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.15384615384615385;0.0;0.0;0.0;0.13333333333333333;0.16666666666666666;0.26666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0030225;0.0;0.15384615384615385;0.16666666666666666;0.0;0.1111111111111111;0.13333333333333333;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.6153846153846154;0.6153846153846154;0.1111111111111111;0.14285714285714285;0.0;0.11764705882352941;0.14285714285714285;0.14285714285714285;1.0;0.0;0.11764705882352941;0.14285714285714285;0.16666666666666666;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.13333333333333333;0.16666666666666666;0.26666666666666666;0.0;0.15384615384615385;0.0;0.0;0.0
GO:0045638;0.625;0.0;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.5;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.42105263157894735;0.47058823529411764;0.0;0.0;0.0;0.5;0.6666666666666666;0.0;0.625;0.6666666666666666;0.5882352941176471
GO:0006351;0.0;0.0;0.0;0.0;0.9523809523809523;0.2222222222222222;0.13333333333333333;0.10526315789473684;0.0;0.13333333333333333;0.0;0.0;0.125;0.125;0.09523809523809523;0.11764705882352941;0.0;0.1;0.0;0.0;0.11764705882352941;0.0;1.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.0
GO:0060272;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.0;1.0;0.16666666666666666;0.0;0.9230769230769231;0.0;0.0;0.0;0.13333333333333333;0.16666666666666666;0.26666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0002076;0.0;0.18181818181818182;0.2;0.0;0.125;0.3076923076923077;0.2;0.14285714285714285;0.0;0.2;0.0;0.0;0.5454545454545454;0.5454545454545454;0.125;0.3333333333333333;0.0;0.13333333333333333;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.13333333333333333;0.16666666666666666;1.0;0.0;0.18181818181818182;0.0;0.0;0.3333333333333333;0.15384615384615385;0.2;0.3076923076923077;0.0;0.18181818181818182;0.0;0.0;0.0
GO:0043457;0.5333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.5714285714285714;0.5263157894736842;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;1.0;0.0;0.5555555555555556;0.375;0.0;0.0;0.0;0.4;0.5714285714285714;0.0;0.5333333333333333;0.5714285714285714;0.5
GO:0048704;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.13333333333333333;0.0;0.18181818181818182;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.125;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.0;0.0;0.9230769230769231;0.18181818181818182;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.18181818181818182;0.2857142857142857;0.0;0.0;0.0;0.0;0.0
GO:0006357;0.42105263157894735;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.9565217391304348;0.0;0.4444444444444444;0.9565217391304348;0.0;0.0;0.0;0.0;0.9090909090909091;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.5555555555555556;0.0;1.0;0.3;0.0;0.0;0.0;0.3157894736842105;0.4444444444444444;0.0;0.42105263157894735;0.1111111111111111;0.4
GO:0090190;0.5882352941176471;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.5;0.2857142857142857;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.375;0.0;0.3;1.0;0.0;0.0;0.0;0.5882352941176471;0.625;0.0;0.5882352941176471;0.625;0.3333333333333333
GO:0071300;0.0;0.0;0.0;0.0;0.1111111111111111;0.26666666666666666;0.16666666666666666;0.125;0.0;0.16666666666666666;0.0;0.0;0.3076923076923077;0.3076923076923077;0.2222222222222222;0.5714285714285714;0.0;0.11764705882352941;0.0;0.0;0.14285714285714285;0.0;0.11764705882352941;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.15384615384615385;0.0;0.0;0.0
GO:0001658;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0;0.0;0.15384615384615385;0.11764705882352941;0.0;0.15384615384615385;0.0;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.0;0.1111111111111111;0.13333333333333333;0.13333333333333333;0.13333333333333333;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.14285714285714285;0.0;0.0;0.0;1.0;0.15384615384615385;0.25;0.0;0.0;0.0;0.0;0.0
GO:0030099;0.0;0.18181818181818182;0.2;0.0;0.125;0.15384615384615385;0.2;0.14285714285714285;0.0;0.2;0.0;0.0;0.7272727272727273;0.7272727272727273;0.125;0.16666666666666666;0.0;0.13333333333333333;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.13333333333333333;0.16666666666666666;0.2;0.0;0.18181818181818182;0.0;0.0;0.16666666666666666;0.15384615384615385;1.0;0.3076923076923077;0.0;0.18181818181818182;0.0;0.0;0.0
GO:0001759;0.625;0.2857142857142857;0.3076923076923077;0.11764705882352941;0.0;0.0;0.3076923076923077;0.23529411764705882;0.4;0.3076923076923077;0.5333333333333333;0.3;0.2857142857142857;0.2857142857142857;0.0;0.0;0.42105263157894735;0.2222222222222222;0.26666666666666666;0.26666666666666666;0.26666666666666666;0.5;0.0;0.26666666666666666;0.3076923076923077;0.4;0.2857142857142857;0.3157894736842105;0.5882352941176471;0.0;0.25;0.3076923076923077;1.0;0.6666666666666666;0.0;0.625;0.13333333333333333;0.35294117647058826
GO:0010720;0.8;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.7142857142857143;0.42105263157894735;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.5714285714285714;0.0;0.4444444444444444;0.625;0.0;0.0;0.0;0.6666666666666666;1.0;0.0;0.8;0.8571428571428571;0.5
GO:0050900;0.0;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.18181818181818182;0.13333333333333333;0.0;0.18181818181818182;0.0;0.0;0.16666666666666666;0.16666666666666666;0.11764705882352941;0.15384615384615385;0.0;0.125;0.0;0.0;0.15384615384615385;0.0;0.125;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.18181818181818182;0.0;0.0;1.0;0.0;0.0;0.0
GO:0032332;0.75;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.4;0.0;0.6666666666666666;0.4;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.5333333333333333;0.0;0.42105263157894735;0.5882352941176471;0.0;0.0;0.0;0.625;0.8;0.0;1.0;0.6666666666666666;0.47058823529411764
GO:0050767;0.6666666666666666;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.7142857142857143;0.42105263157894735;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.5714285714285714;0.0;0.1111111111111111;0.625;0.0;0.0;0.0;0.13333333333333333;0.8571428571428571;0.0;0.6666666666666666;1.0;0.5
GO:0030512;0.47058823529411764;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.625;0.47619047619047616;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.5;0.0;0.4;0.3333333333333333;0.0;0.0;0.0;0.35294117647058826;0.5;0.0;0.47058823529411764;0.5;1.0
