;GO:0016925;GO:0032330;GO:0043928;GO:0008203;GO:0046513;GO:0006366;GO:0045347;GO:0000415;GO:0045861;GO:0051170;GO:0043488;GO:0006364;GO:0006644;GO:0045944;GO:0006468;GO:0043687;GO:0000398;GO:0000122;GO:0030007;GO:0006814;GO:0030502;GO:0098656;GO:0035518;GO:0045893;GO:0010738;GO:0070306;GO:0015701;GO:0035556;GO:0035330;GO:0016579;GO:0007186;GO:0006351;GO:0030163;GO:0051260;GO:0006355;GO:0006198;GO:0048468;GO:0006357;GO:0006511;GO:0051453;GO:0070171;GO:0051572;GO:0072332;GO:0032411;GO:0016567
GO:0043488;0.0;0.47058823529411764;0.18181818181818182;0.0;0.0;0.0;0.5555555555555556;0.45454545454545453;0.5263157894736842;0.0;1.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.5454545454545454;0.3;0.0;0.2222222222222222;0.0;0.0;0.5714285714285714;0.2222222222222222;0.0;0.0;0.125;0.2222222222222222;0.0;0.125;0.0;0.0;0.0;0.6;0.0;0.0;0.5714285714285714;0.0;0.2857142857142857;0.21052631578947367;0.45454545454545453;0.1111111111111111;0.23529411764705882;0.0
GO:0006364;0.4;0.0;0.36363636363636365;0.35294117647058826;0.3157894736842105;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;1.0;0.375;0.0;0.4444444444444444;0.4444444444444444;0.09090909090909091;0.0;0.1;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.125;0.0;0.125;0.0;0.4;0.125;0.1;0.5;0.11764705882352941;0.0;0.2727272727272727;0.14285714285714285;0.0;0.10526315789473684;0.09523809523809523;0.0;0.0;0.1111111111111111;0.0;0.4
GO:0006644;0.375;0.0;0.3333333333333333;0.6153846153846154;0.6666666666666666;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.375;1.0;0.0;0.7142857142857143;0.42857142857142855;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.16666666666666666;0.0;0.3333333333333333;0.0;0.375;0.3333333333333333;0.375;0.5;0.15384615384615385;0.0;0.5555555555555556;0.4;0.0;0.4;0.23529411764705882;0.0;0.0;0.2857142857142857;0.0;0.375
GO:0045944;0.0;0.42105263157894735;0.5;0.0;0.0;0.0;0.6;0.4166666666666667;0.47619047619047616;0.0;0.5454545454545454;0.0;0.0;1.0;0.0;0.0;0.0;0.9166666666666666;0.18181818181818182;0.0;0.3;0.0;0.0;0.9565217391304348;0.4;0.0;0.0;0.4444444444444444;0.4;0.0;0.4444444444444444;0.0;0.0;0.0;0.9090909090909091;0.0;0.0;0.9565217391304348;0.0;0.17391304347826086;0.2857142857142857;0.4166666666666667;0.1;0.42105263157894735;0.0
GO:0006468;0.7777777777777778;0.0;0.5;0.4;0.47058823529411764;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.7142857142857143;0.0;1.0;0.875;0.4;0.0;0.2222222222222222;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.14285714285714285;0.0;0.2857142857142857;0.0;0.7777777777777778;0.2857142857142857;0.4444444444444444;0.7142857142857143;0.13333333333333333;0.0;0.5;0.3333333333333333;0.0;0.5882352941176471;0.21052631578947367;0.0;0.0;0.25;0.0;0.7777777777777778
GO:0043687;0.7777777777777778;0.0;0.5;0.4;0.47058823529411764;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.42857142857142855;0.0;0.875;1.0;0.4;0.0;0.2222222222222222;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.14285714285714285;0.0;0.2857142857142857;0.0;0.7777777777777778;0.2857142857142857;0.4444444444444444;0.7142857142857143;0.13333333333333333;0.0;0.4;0.3333333333333333;0.0;0.5882352941176471;0.21052631578947367;0.0;0.0;0.25;0.0;0.7777777777777778
GO:0000398;0.36363636363636365;0.0;0.3333333333333333;0.3157894736842105;0.2857142857142857;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.3333333333333333;0.0;0.4;0.4;1.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.08;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.36363636363636365;0.1111111111111111;0.09090909090909091;0.4444444444444444;0.10526315789473684;0.0;0.25;0.125;0.0;0.09523809523809523;0.08695652173913043;0.0;0.0;0.1;0.0;0.36363636363636365
GO:0000122;0.0;0.42105263157894735;0.5833333333333334;0.0;0.0;0.0;0.7;0.5;0.5714285714285714;0.0;0.5454545454545454;0.0;0.0;0.9166666666666666;0.0;0.0;0.0;1.0;0.18181818181818182;0.0;0.4;0.0;0.0;0.8695652173913043;0.4;0.0;0.0;0.4444444444444444;0.4;0.0;0.4444444444444444;0.0;0.0;0.0;0.9090909090909091;0.0;0.0;0.9565217391304348;0.0;0.17391304347826086;0.38095238095238093;0.5;0.1;0.3157894736842105;0.0
GO:0030007;0.2;0.23529411764705882;0.18181818181818182;0.0;0.21052631578947367;0.09523809523809523;0.2222222222222222;0.09090909090909091;0.21052631578947367;0.0;0.3;0.1;0.25;0.18181818181818182;0.2222222222222222;0.2222222222222222;0.09090909090909091;0.18181818181818182;1.0;0.0;0.2222222222222222;0.0;0.17391304347826086;0.19047619047619047;0.2222222222222222;0.125;0.0;0.25;0.2222222222222222;0.1;0.25;0.1;0.0;0.11764705882352941;0.2;0.18181818181818182;0.2857142857142857;0.19047619047619047;0.21052631578947367;0.8571428571428571;0.21052631578947367;0.09090909090909091;0.2222222222222222;0.23529411764705882;0.2
GO:0006814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030502;0.0;0.5333333333333333;0.4;0.0;0.0;0.0;0.5;0.4;0.47058823529411764;0.0;0.2222222222222222;0.0;0.0;0.3;0.0;0.0;0.0;0.4;0.2222222222222222;0.0;1.0;0.0;0.0;0.3157894736842105;0.375;0.0;0.0;0.14285714285714285;0.375;0.0;0.14285714285714285;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3157894736842105;0.0;0.21052631578947367;0.8235294117647058;0.4;0.125;0.4;0.0
GO:0098656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;1.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035518;0.782608695652174;0.0;0.08;0.1;0.18181818181818182;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.08695652173913043;0.21052631578947367;0.0;0.6666666666666666;0.6666666666666666;0.08;0.0;0.17391304347826086;0.0;0.0;0.0;1.0;0.0;0.0;0.10526315789473684;0.0;0.10526315789473684;0.0;0.6086956521739131;0.10526315789473684;0.08695652173913043;0.10526315789473684;0.1;0.0;0.08;0.11764705882352941;0.0;0.09090909090909091;0.16666666666666666;0.0;0.0;0.09523809523809523;0.0;0.8695652173913043
GO:0045893;0.0;0.4444444444444444;0.5217391304347826;0.0;0.0;0.0;0.631578947368421;0.43478260869565216;0.5;0.0;0.5714285714285714;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.8695652173913043;0.19047619047619047;0.0;0.3157894736842105;0.0;0.0;1.0;0.42105263157894735;0.0;0.0;0.47058823529411764;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.0;0.9523809523809523;0.0;0.0;0.9090909090909091;0.0;0.18181818181818182;0.3;0.43478260869565216;0.10526315789473684;0.4444444444444444;0.0
GO:0010738;0.0;0.5333333333333333;0.3;0.0;0.0;0.0;0.375;0.4;0.47058823529411764;0.0;0.2222222222222222;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.2222222222222222;0.0;0.375;0.0;0.0;0.42105263157894735;1.0;0.0;0.0;0.5714285714285714;0.875;0.0;0.5714285714285714;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.42105263157894735;0.0;0.21052631578947367;0.35294117647058826;0.4;0.125;0.4;0.0
GO:0070306;0.125;0.0;0.1111111111111111;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.0;0.14285714285714285;0.14285714285714285;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.125;0.16666666666666666;0.125;0.0;0.15384615384615385;0.0;0.1111111111111111;0.2;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.14285714285714285;0.0;0.125
GO:0015701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035556;0.25;0.6153846153846154;0.1111111111111111;0.0;0.26666666666666666;0.11764705882352941;0.14285714285714285;0.4444444444444444;0.5333333333333333;0.0;0.125;0.125;0.3333333333333333;0.4444444444444444;0.2857142857142857;0.2857142857142857;0.1111111111111111;0.4444444444444444;0.25;0.0;0.14285714285714285;0.0;0.10526315789473684;0.47058823529411764;0.5714285714285714;0.16666666666666666;0.0;1.0;0.5714285714285714;0.125;0.16666666666666666;0.125;0.0;0.15384615384615385;0.5;0.1111111111111111;0.2;0.47058823529411764;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.4444444444444444;0.14285714285714285;0.15384615384615385;0.25
GO:0035330;0.0;0.5333333333333333;0.3;0.0;0.0;0.0;0.375;0.4;0.47058823529411764;0.0;0.2222222222222222;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.2222222222222222;0.0;0.375;0.0;0.0;0.42105263157894735;0.875;0.0;0.0;0.5714285714285714;1.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.42105263157894735;0.0;0.21052631578947367;0.35294117647058826;0.4;0.125;0.4;0.0
GO:0016579;0.8;0.0;0.2727272727272727;0.35294117647058826;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.4;0.375;0.0;0.7777777777777778;0.7777777777777778;0.36363636363636365;0.0;0.1;0.0;0.0;0.0;0.6086956521739131;0.0;0.0;0.125;0.0;0.125;0.0;1.0;0.125;0.4;0.625;0.11764705882352941;0.0;0.36363636363636365;0.14285714285714285;0.0;0.5263157894736842;0.09523809523809523;0.0;0.0;0.1111111111111111;0.0;0.8
GO:0007186;0.25;0.6153846153846154;0.1111111111111111;0.0;0.26666666666666666;0.11764705882352941;0.14285714285714285;0.4444444444444444;0.5333333333333333;0.0;0.125;0.125;0.3333333333333333;0.4444444444444444;0.2857142857142857;0.2857142857142857;0.1111111111111111;0.4444444444444444;0.25;0.0;0.14285714285714285;0.0;0.10526315789473684;0.47058823529411764;0.5714285714285714;0.16666666666666666;0.0;0.16666666666666666;0.5714285714285714;0.125;1.0;0.125;0.0;0.15384615384615385;0.5;0.1111111111111111;0.2;0.47058823529411764;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.4444444444444444;0.14285714285714285;0.15384615384615385;0.25
GO:0006351;0.4;0.0;0.36363636363636365;0.35294117647058826;0.42105263157894735;0.9523809523809523;0.0;0.0;0.0;0.0;0.0;0.1;0.375;0.0;0.4444444444444444;0.4444444444444444;0.09090909090909091;0.0;0.1;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.125;0.0;0.125;0.0;0.4;0.125;1.0;0.5;0.11764705882352941;0.0;0.2727272727272727;0.14285714285714285;0.0;0.42105263157894735;0.09523809523809523;0.0;0.0;0.1111111111111111;0.0;0.4
GO:0030163;0.625;0.0;0.5555555555555556;0.46153846153846156;0.5333333333333333;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.7142857142857143;0.7142857142857143;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.5;1.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.625
GO:0051260;0.11764705882352941;0.0;0.10526315789473684;0.0;0.125;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.15384615384615385;0.0;0.13333333333333333;0.13333333333333333;0.10526315789473684;0.0;0.11764705882352941;0.0;0.0;0.0;0.1;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.11764705882352941;0.15384615384615385;0.11764705882352941;0.0;1.0;0.0;0.10526315789473684;0.18181818181818182;0.0;0.125;0.1111111111111111;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941
GO:0006355;0.0;0.47058823529411764;0.5454545454545454;0.0;0.0;0.0;0.6666666666666666;0.45454545454545453;0.5263157894736842;0.0;0.6;0.0;0.0;0.9090909090909091;0.0;0.0;0.0;0.9090909090909091;0.2;0.0;0.3333333333333333;0.0;0.0;0.9523809523809523;0.4444444444444444;0.0;0.0;0.5;0.4444444444444444;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.9523809523809523;0.0;0.19047619047619047;0.3157894736842105;0.45454545454545453;0.1111111111111111;0.35294117647058826;0.0
GO:0006198;0.36363636363636365;0.0;0.5;0.42105263157894735;0.38095238095238093;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.5555555555555556;0.0;0.5;0.4;0.25;0.0;0.18181818181818182;0.0;0.0;0.0;0.08;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.36363636363636365;0.1111111111111111;0.2727272727272727;0.5555555555555556;0.10526315789473684;0.0;1.0;0.125;0.0;0.38095238095238093;0.17391304347826086;0.0;0.0;0.1;0.0;0.36363636363636365
GO:0048468;0.2857142857142857;0.0;0.125;0.0;0.3076923076923077;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.4;0.0;0.3333333333333333;0.3333333333333333;0.125;0.0;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.2;0.0;0.2;0.0;0.14285714285714285;0.2;0.14285714285714285;0.0;0.18181818181818182;0.0;0.125;1.0;0.0;0.15384615384615385;0.26666666666666666;0.0;0.0;0.16666666666666666;0.0;0.2857142857142857
GO:0006357;0.0;0.4444444444444444;0.5217391304347826;0.0;0.0;0.0;0.631578947368421;0.43478260869565216;0.5;0.0;0.5714285714285714;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.9565217391304348;0.19047619047619047;0.0;0.3157894736842105;0.0;0.0;0.9090909090909091;0.42105263157894735;0.0;0.0;0.47058823529411764;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.0;0.9523809523809523;0.0;0.0;1.0;0.0;0.18181818181818182;0.3;0.43478260869565216;0.10526315789473684;0.3333333333333333;0.0
GO:0006511;0.5263157894736842;0.0;0.47619047619047616;0.375;0.4444444444444444;0.4;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.4;0.0;0.5882352941176471;0.5882352941176471;0.09523809523809523;0.0;0.21052631578947367;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.5263157894736842;0.13333333333333333;0.42105263157894735;0.6666666666666666;0.125;0.0;0.38095238095238093;0.15384615384615385;0.0;1.0;0.2;0.0;0.0;0.11764705882352941;0.0;0.5263157894736842
GO:0051453;0.19047619047619047;0.2222222222222222;0.17391304347826086;0.0;0.2;0.09090909090909091;0.21052631578947367;0.08695652173913043;0.2;0.0;0.2857142857142857;0.09523809523809523;0.23529411764705882;0.17391304347826086;0.21052631578947367;0.21052631578947367;0.08695652173913043;0.17391304347826086;0.8571428571428571;0.0;0.21052631578947367;0.0;0.16666666666666666;0.18181818181818182;0.21052631578947367;0.11764705882352941;0.0;0.23529411764705882;0.21052631578947367;0.09523809523809523;0.23529411764705882;0.09523809523809523;0.0;0.1111111111111111;0.19047619047619047;0.17391304347826086;0.26666666666666666;0.18181818181818182;0.2;1.0;0.2;0.08695652173913043;0.21052631578947367;0.2222222222222222;0.19047619047619047
GO:0070171;0.0;0.5;0.38095238095238093;0.0;0.0;0.0;0.47058823529411764;0.38095238095238093;0.4444444444444444;0.0;0.21052631578947367;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.38095238095238093;0.21052631578947367;0.0;0.8235294117647058;0.0;0.0;0.3;0.35294117647058826;0.0;0.0;0.13333333333333333;0.35294117647058826;0.0;0.13333333333333333;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.3;0.0;0.2;1.0;0.38095238095238093;0.11764705882352941;0.375;0.0
GO:0051572;0.0;0.42105263157894735;0.4166666666666667;0.0;0.0;0.0;0.6;0.9166666666666666;0.7619047619047619;0.0;0.45454545454545453;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.5;0.09090909090909091;0.0;0.4;0.0;0.0;0.43478260869565216;0.4;0.0;0.0;0.4444444444444444;0.4;0.0;0.4444444444444444;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.43478260869565216;0.0;0.08695652173913043;0.38095238095238093;1.0;0.1;0.3157894736842105;0.0
GO:0072332;0.2222222222222222;0.13333333333333333;0.1;0.0;0.23529411764705882;0.10526315789473684;0.125;0.1;0.11764705882352941;0.0;0.1111111111111111;0.1111111111111111;0.2857142857142857;0.1;0.25;0.25;0.1;0.1;0.2222222222222222;0.0;0.125;0.0;0.09523809523809523;0.10526315789473684;0.125;0.14285714285714285;0.0;0.14285714285714285;0.125;0.1111111111111111;0.14285714285714285;0.1111111111111111;0.0;0.13333333333333333;0.1111111111111111;0.1;0.16666666666666666;0.10526315789473684;0.11764705882352941;0.21052631578947367;0.11764705882352941;0.1;1.0;0.13333333333333333;0.2222222222222222
GO:0032411;0.0;0.42857142857142855;0.21052631578947367;0.0;0.0;0.0;0.4;0.3157894736842105;0.375;0.0;0.23529411764705882;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.3157894736842105;0.23529411764705882;0.0;0.4;0.0;0.0;0.4444444444444444;0.4;0.0;0.0;0.15384615384615385;0.4;0.0;0.15384615384615385;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.3333333333333333;0.0;0.2222222222222222;0.375;0.3157894736842105;0.13333333333333333;1.0;0.0
GO:0016567;0.9;0.0;0.45454545454545453;0.35294117647058826;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.4;0.375;0.0;0.7777777777777778;0.7777777777777778;0.36363636363636365;0.0;0.2;0.0;0.0;0.0;0.8695652173913043;0.0;0.0;0.125;0.0;0.25;0.0;0.8;0.25;0.4;0.625;0.11764705882352941;0.0;0.36363636363636365;0.2857142857142857;0.0;0.5263157894736842;0.19047619047619047;0.0;0.0;0.2222222222222222;0.0;1.0
