;GO:0046718;GO:0014068;GO:0045727;GO:0015031;GO:0045589;GO:0046854;GO:0097190;GO:0038096;GO:0045840;GO:0045944;GO:0043029;GO:0006814;GO:0098656;GO:0001766;GO:0097400;GO:0046641;GO:0002317;GO:0045070;GO:0015701;GO:0050852;GO:0070228;GO:1902043;GO:0045638;GO:0007186;GO:0031295;GO:0050729;GO:0051260;GO:0042089;GO:0048304;GO:0042985;GO:0060117;GO:0030217;GO:0002863;GO:0010629;GO:0045086;GO:0051453;GO:0001558;GO:0043066;GO:0045066;GO:2000664;GO:0072678;GO:2000667;GO:0032733;GO:0050863;GO:0035589;GO:0032753;GO:0051897
GO:0043029;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.036692364793703955;1.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.0;0.20709043845653538;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.20709043845653538;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.2564629227065741;0.036692364793703955;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.20709043845653538;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955
GO:0006814;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2671917332720723;0.13331334997803274;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0098656;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;1.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.3582167568548244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001766;0.0;0.0;0.0;0.13331334997803274;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.13331334997803274;0.13331334997803274;1.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.13331334997803274;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.12408495164008174;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:0097400;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.0;0.01468324974140624;1.0;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.0;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.042064647228987374;0.042064647228987374;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.2052608479739753;0.042064647228987374;0.047799631016701725
GO:0046641;0.0;0.12755981097713553;0.12755981097713553;0.0;0.4159369935388712;0.0;0.047799631016701725;0.28985679281760435;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;1.0;0.0;0.11511873865597294;0.0;0.28985679281760435;0.047799631016701725;0.12755981097713553;0.2515269417723919;0.047799631016701725;0.45963343123648076;0.11511873865597294;0.0;0.0;0.4023217335208211;0.047799631016701725;0.0;0.0;0.28985679281760435;0.042064647228987374;0.12755981097713553;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.0;0.12755981097713553;0.11511873865597294;0.4159369935388712;0.047799631016701725;0.11511873865597294;0.12755981097713553
GO:0002317;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.29045087053624835;0.0;0.0;0.20709043845653538;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;1.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.0;0.0;0.0;0.1890450431733396;0.46015394173903684;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.46015394173903684;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:0045070;0.0;0.11511873865597294;0.11511873865597294;0.0;0.042064647228987374;0.0;0.042064647228987374;0.11511873865597294;0.11511873865597294;0.11511873865597294;0.036692364793703955;0.0;0.0;0.0;0.042064647228987374;0.11511873865597294;0.0;1.0;0.0;0.11511873865597294;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.042064647228987374;0.11511873865597294;0.11511873865597294;0.0;0.0;0.11511873865597294;0.042064647228987374;0.0;0.0;0.11511873865597294;0.042064647228987374;0.11511873865597294;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.0;0.11511873865597294;0.0;0.11511873865597294;0.11511873865597294;0.042064647228987374;0.042064647228987374;0.11511873865597294;0.11511873865597294
GO:0015701;0.0;0.0;0.0;0.21812588790229387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.3582167568548244;0.13331334997803274;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050852;0.0;0.21066859409381297;0.11511873865597294;0.0;0.2515269417723919;0.01468324974140624;0.12659489728285286;0.39057176820674416;0.11511873865597294;0.11511873865597294;0.20709043845653538;0.0;0.0;0.01468324974140624;0.2052608479739753;0.28985679281760435;0.20709043845653538;0.11511873865597294;0.0;1.0;0.047799631016701725;0.21066859409381297;0.2515269417723919;0.12659489728285286;0.28985679281760435;0.21066859409381297;0.01468324974140624;0.0;0.3226259128089404;0.047799631016701725;0.01468324974140624;0.20709043845653538;0.3226259128089404;0.042064647228987374;0.11511873865597294;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.20709043845653538;0.11511873865597294;0.20709043845653538;0.11511873865597294;0.11511873865597294;0.2515269417723919;0.2052608479739753;0.11511873865597294;0.21066859409381297
GO:0070228;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;1.0;0.24871540093336741;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.042064647228987374;0.042064647228987374;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.24871540093336741;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725
GO:1902043;0.0;0.25051392497694763;0.12755981097713553;0.0;0.047799631016701725;0.0;0.047799631016701725;0.21066859409381297;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.11511873865597294;0.0;0.21066859409381297;0.24871540093336741;1.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.21066859409381297;0.0;0.0;0.21066859409381297;0.047799631016701725;0.0;0.0;0.21066859409381297;0.042064647228987374;0.12755981097713553;0.036692364793703955;0.047799631016701725;0.24871540093336741;0.0;0.12755981097713553;0.0;0.12755981097713553;0.11511873865597294;0.047799631016701725;0.047799631016701725;0.11511873865597294;0.25051392497694763
GO:0045638;0.0;0.047799631016701725;0.047799631016701725;0.0;0.39270824469682775;0.0;0.047799631016701725;0.2515269417723919;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.2515269417723919;0.0;0.042064647228987374;0.0;0.2515269417723919;0.047799631016701725;0.047799631016701725;1.0;0.047799631016701725;0.2515269417723919;0.042064647228987374;0.0;0.0;0.2515269417723919;0.13839445927415203;0.0;0.0;0.2515269417723919;0.12804570306913615;0.18922943134840794;0.036692364793703955;0.047799631016701725;0.13839445927415203;0.0;0.18922943134840794;0.0;0.18922943134840794;0.18922943134840794;0.2515269417723919;0.047799631016701725;0.18922943134840794;0.047799631016701725
GO:0007186;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.0;0.01468324974140624;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.0;0.12659489728285286;0.047799631016701725;0.047799631016701725;0.047799631016701725;1.0;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.042064647228987374;0.042064647228987374;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.26648227313493894;0.042064647228987374;0.047799631016701725
GO:0031295;0.0;0.12755981097713553;0.12755981097713553;0.0;0.4159369935388712;0.0;0.047799631016701725;0.28985679281760435;0.12755981097713553;0.12755981097713553;0.20709043845653538;0.0;0.0;0.0;0.047799631016701725;0.45963343123648076;0.20709043845653538;0.11511873865597294;0.0;0.28985679281760435;0.047799631016701725;0.12755981097713553;0.2515269417723919;0.047799631016701725;1.0;0.11511873865597294;0.0;0.0;0.4023217335208211;0.047799631016701725;0.0;0.20709043845653538;0.28985679281760435;0.042064647228987374;0.12755981097713553;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.20709043845653538;0.12755981097713553;0.20709043845653538;0.12755981097713553;0.11511873865597294;0.4159369935388712;0.047799631016701725;0.11511873865597294;0.12755981097713553
GO:0050729;0.0;0.21066859409381297;0.11511873865597294;0.0;0.042064647228987374;0.0;0.042064647228987374;0.21066859409381297;0.11511873865597294;0.11511873865597294;0.036692364793703955;0.0;0.0;0.0;0.042064647228987374;0.11511873865597294;0.0;0.11511873865597294;0.0;0.21066859409381297;0.042064647228987374;0.21066859409381297;0.042064647228987374;0.042064647228987374;0.11511873865597294;1.0;0.0;0.0;0.21066859409381297;0.042064647228987374;0.0;0.0;0.5086442807250322;0.042064647228987374;0.11511873865597294;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.0;0.11511873865597294;0.0;0.11511873865597294;0.11511873865597294;0.042064647228987374;0.042064647228987374;0.11511873865597294;0.21066859409381297
GO:0051260;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.12408495164008174;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;1.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:0042089;0.0;0.0;0.0;0.0;0.0;0.06927734236639929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048304;0.0;0.21066859409381297;0.1816892161000484;0.0;0.36790732186408515;0.0;0.047799631016701725;0.3226259128089404;0.12755981097713553;0.23455555592033453;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.4023217335208211;0.0;0.11511873865597294;0.0;0.3226259128089404;0.047799631016701725;0.21066859409381297;0.2515269417723919;0.047799631016701725;0.4023217335208211;0.21066859409381297;0.0;0.0;1.0;0.10900961301269105;0.0;0.0;0.3226259128089404;0.10567815125427765;0.24944431948534626;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.24944431948534626;0.0;0.24944431948534626;0.24944431948534626;0.36790732186408515;0.047799631016701725;0.24944431948534626;0.21066859409381297
GO:0042985;0.0;0.047799631016701725;0.1890450431733396;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.14806647662370065;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.10900961301269105;1.0;0.0;0.0;0.042064647228987374;0.19681204097214483;0.1890450431733396;0.036692364793703955;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725
GO:0060117;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.1890450431733396;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;1.0;0.1890450431733396;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:0030217;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.46015394173903684;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.0;0.0;0.0;0.1890450431733396;1.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.5249712668632919;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:0002863;0.0;0.21066859409381297;0.11511873865597294;0.0;0.2515269417723919;0.0;0.042064647228987374;0.3226259128089404;0.11511873865597294;0.11511873865597294;0.036692364793703955;0.0;0.0;0.0;0.042064647228987374;0.28985679281760435;0.0;0.11511873865597294;0.0;0.3226259128089404;0.042064647228987374;0.21066859409381297;0.2515269417723919;0.042064647228987374;0.28985679281760435;0.5086442807250322;0.0;0.0;0.3226259128089404;0.042064647228987374;0.0;0.0;1.0;0.042064647228987374;0.11511873865597294;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.0;0.11511873865597294;0.0;0.11511873865597294;0.11511873865597294;0.2515269417723919;0.042064647228987374;0.11511873865597294;0.21066859409381297
GO:0010629;0.0;0.042064647228987374;0.1356691921375081;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.1356691921375081;0.036692364793703955;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.12804570306913615;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.10567815125427765;0.19681204097214483;0.0;0.0;0.042064647228987374;1.0;0.10567815125427765;0.036692364793703955;0.042064647228987374;0.12804570306913615;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374
GO:0045086;0.0;0.12755981097713553;0.24457446477495315;0.0;0.18922943134840794;0.0;0.047799631016701725;0.11511873865597294;0.12755981097713553;0.2380646511352721;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.11511873865597294;0.0;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.18922943134840794;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.24944431948534626;0.1890450431733396;0.0;0.0;0.11511873865597294;0.10567815125427765;1.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.3897819566140353;0.0;0.3897819566140353;0.3897819566140353;0.047799631016701725;0.047799631016701725;0.3897819566140353;0.12755981097713553
GO:0051453;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.01468324974140624;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.2564629227065741;0.0;0.0;0.01468324974140624;0.036692364793703955;0.036692364793703955;0.01468324974140624;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.01468324974140624;0.0;0.036692364793703955;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.036692364793703955;0.036692364793703955;1.0;0.036692364793703955;0.036692364793703955;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955
GO:0001558;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.20397374928165476;0.047799631016701725;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.042064647228987374;0.042064647228987374;0.047799631016701725;0.036692364793703955;1.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725
GO:0043066;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.24871540093336741;0.24871540093336741;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.0;0.042064647228987374;0.12804570306913615;0.047799631016701725;0.036692364793703955;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725
GO:0045066;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.46015394173903684;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.0;0.0;0.0;0.1890450431733396;0.5249712668632919;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;1.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
GO:2000664;0.0;0.12755981097713553;0.12755981097713553;0.0;0.18922943134840794;0.0;0.047799631016701725;0.11511873865597294;0.12755981097713553;0.12755981097713553;0.036692364793703955;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.11511873865597294;0.0;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.18922943134840794;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.24944431948534626;0.047799631016701725;0.0;0.0;0.11511873865597294;0.042064647228987374;0.3897819566140353;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;1.0;0.0;0.5146879005871877;0.3897819566140353;0.047799631016701725;0.047799631016701725;0.3897819566140353;0.12755981097713553
GO:0072678;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.20709043845653538;0.0;1.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0
