;GO:0008584;GO:0032693;GO:1902311;GO:0035162;GO:0038156;GO:0015031;GO:1905146;GO:0046854;GO:0097490;GO:0042531;GO:0051092;GO:0001550;GO:0045766;GO:0000187;GO:0045892;GO:0045893;GO:0002636;GO:0051482;GO:2000353;GO:1990408;GO:0019367;GO:0032689;GO:0034626;GO:0050679;GO:0035434;GO:0034625;GO:0035556;GO:0050710;GO:0030148;GO:1902285;GO:0061684;GO:2001186;GO:0060355;GO:0065003;GO:2001181;GO:0007143;GO:0050728;GO:0051260;GO:0045410;GO:0042700;GO:0048010;GO:1990410;GO:0071360;GO:0001556;GO:0002768;GO:0001954;GO:0050680;GO:0001836;GO:0070830;GO:0030890;GO:2000249;GO:2000484;GO:0032436;GO:0031623;GO:0051897;GO:0043406;GO:0090557;GO:0090037;GO:0008284;GO:0043123;GO:0097190;GO:0051151;GO:0045944;GO:0045425;GO:0042832;GO:0048661;GO:0002576;GO:0000165;GO:0043491;GO:0007229;GO:0051781;GO:0051023;GO:0019221;GO:0048146;GO:0006816;GO:0043252;GO:0015804;GO:0010595;GO:0038128;GO:0050731;GO:0033590;GO:2001240;GO:0061740;GO:0031295;GO:0031296;GO:0006670;GO:0000209;GO:0038084;GO:0060019;GO:0046007;GO:1901652;GO:0048305;GO:0048304;GO:1903830;GO:1903556;GO:0009267;GO:0043536;GO:0001782;GO:0097352;GO:0071260;GO:2000145;GO:0032496;GO:0050900;GO:0001938;GO:0017038;GO:0018108;GO:1902475;GO:1902476;GO:0007173;GO:0007179;GO:0045840;GO:0009756;GO:0043547;GO:0006878;GO:0043154;GO:0051607;GO:0006919;GO:0034260;GO:0060674;GO:0007186;GO:0031032;GO:0042100;GO:0043312;GO:0042102;GO:0007189;GO:0006897;GO:0006898;GO:0043434;GO:0046825;GO:0048846;GO:0048208;GO:0010629;GO:0030216;GO:0033209;GO:0006888;GO:0002845;GO:0010628;GO:0034138;GO:0010469;GO:0071329;GO:0072659;GO:0030335;GO:0046718;GO:0045627;GO:0046716;GO:0009299;GO:1905404;GO:0045740;GO:0045741;GO:0045986;GO:0001573;GO:0000122;GO:0050892;GO:0035338;GO:0071356;GO:0051902;GO:0016311;GO:0038043;GO:0061549;GO:0007166;GO:0042761;GO:0042246;GO:0006874;GO:0060337;GO:0006357;GO:0006511;GO:0045086;GO:0032735;GO:0071222;GO:0045089;GO:0045087;GO:0042130;GO:0043066;GO:0071347;GO:0071346;GO:0036016;GO:0036018
GO:0050710;0.0;0.4402956465236597;0.23542160760630382;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.18922943134840794;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.4402956465236597;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.0;0.47531348230829473;0.0;0.12804570306913615;0.0;0.3422028587648819;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.042064647228987374;0.13839445927415203;0.0;0.0;0.047799631016701725;0.047799631016701725;0.47531348230829473;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.3422028587648819;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.38244600073093926;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.19673256925640645;0.047799631016701725;0.047799631016701725;0.0;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.13839445927415203;0.0;0.0;0.18922943134840794;0.0;0.4402956465236597;0.0;0.19673256925640645;0.036692364793703955;0.0;0.0;0.19673256925640645;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.036692364793703955;0.13839445927415203;0.0;0.047799631016701725;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.3388013070303909;0.0;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.18922943134840794;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.0;0.0;0.19673256925640645;0.0;0.18922943134840794;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.2868411840981557;0.0;0.13839445927415203;0.0;0.0;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.3422028587648819;0.3422028587648819;0.0;0.042064647228987374;0.0;0.13839445927415203;0.13839445927415203;0.0;0.0;0.0;0.0
GO:0030148;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.1237146889194086;0.29564490308903574;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.34971930164174847;0.0;0.34971930164174847;0.0;0.0;0.34971930164174847;0.01468324974140624;0.0;1.0;0.01468324974140624;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.06886689890529227;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.1237146889194086;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.489578090866574;0.1237146889194086;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.1237146889194086;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.14450116634992752;0.0;0.0;0.0;0.0;0.489578090866574;0.0;0.0;0.14450116634992752;0.01468324974140624;0.0;0.06886689890529227;0.01468324974140624;0.0;0.01468324974140624;0.34971930164174847;0.0;0.01468324974140624;0.01468324974140624;0.0;0.1237146889194086;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:1902285;0.0;0.042064647228987374;0.042064647228987374;0.0;0.2052608479739753;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.12659489728285286;0.047799631016701725;0.01468324974140624;1.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.2052608479739753;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.2052608479739753;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.12659489728285286;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.2052608479739753;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.047799631016701725;0.0;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.0;0.0;0.2052608479739753;0.2052608479739753;0.047799631016701725;0.12659489728285286;0.036692364793703955;0.036692364793703955;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.0;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.0;0.0;0.0;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.2052608479739753;0.0;0.042064647228987374;0.042064647228987374;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725;0.0;0.047799631016701725;0.036692364793703955;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.2052608479739753;0.0;0.2052608479739753;0.01468324974140624;0.0;0.036692364793703955;0.2052608479739753;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:0061684;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.3795579003384388;0.06927734236639929;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.0;0.06927734236639929;0.0;0.0;0.06927734236639929;0.01468324974140624;0.0;0.1237146889194086;0.01468324974140624;1.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.08547128021085358;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.1468397877411918;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.1237146889194086;0.1468397877411918;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.1468397877411918;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.12826917739045696;0.0;0.0;0.0;0.0;0.35899014498592824;0.0;0.0;0.06886689890529227;0.01468324974140624;0.0;0.06886689890529227;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.0;0.01468324974140624;0.01468324974140624;0.0;0.29764942497512875;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:2001186;0.0;0.12804570306913615;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.042064647228987374;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.2515269417723919;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;1.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.12804570306913615;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.2515269417723919;0.340893655699179;0.13839445927415203;0.0;0.0;0.36790732186408515;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.2515269417723919;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.13839445927415203;0.0;0.424039135199054;0.36790732186408515;0.0;0.0;0.047799631016701725;0.0;0.5249712668632919;0.0;0.0;0.36790732186408515;0.0;0.12804570306913615;0.0;0.047799631016701725;0.036692364793703955;0.0;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.036692364793703955;0.13839445927415203;0.0;0.047799631016701725;0.12804570306913615;0.0;0.047799631016701725;0.0;0.0;0.0;0.424039135199054;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.2515269417723919;0.042064647228987374;0.2515269417723919;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.5468156457062001;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.0;0.13839445927415203;0.0;0.0;0.0;0.12804570306913615;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.0;0.2515269417723919;0.0;0.5249712668632919;0.13839445927415203;0.0;0.0;0.0;0.0
GO:0060355;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.12755981097713553;0.11511873865597294;0.0;0.11511873865597294;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.036692364793703955;0.12755981097713553;0.047799631016701725;0.0;0.042064647228987374;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;1.0;0.0;0.12755981097713553;0.0;0.042064647228987374;0.0;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.11511873865597294;0.047799631016701725;0.0;0.0;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.0;0.12755981097713553;0.12755981097713553;0.0;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.0;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0;0.042064647228987374;0.0;0.12755981097713553;0.036692364793703955;0.0;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.036692364793703955;0.036692364793703955;0.047799631016701725;0.0;0.12755981097713553;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.12755981097713553;0.047799631016701725;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.11511873865597294;0.11511873865597294;0.11511873865597294;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0;0.12755981097713553;0.036692364793703955;0.0;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.12755981097713553;0.11511873865597294;0.0;0.11511873865597294;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0
GO:0065003;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;1.0;0.0;0.12408495164008174;0.0;0.24997772404766266;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.12408495164008174;0.2041871440868109;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.2332416913641672;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.12408495164008174;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.24997772404766266;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:2001181;0.0;0.6129527322772111;0.23542160760630382;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.12755981097713553;0.11511873865597294;0.0;0.24944431948534626;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.036692364793703955;0.12755981097713553;0.047799631016701725;0.0;0.3422028587648819;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.47531348230829473;0.0;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.0;1.0;0.0;0.042064647228987374;0.0;0.3897819566140353;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.11511873865597294;0.047799631016701725;0.0;0.0;0.12755981097713553;0.047799631016701725;0.5146879005871877;0.12755981097713553;0.0;0.12755981097713553;0.12755981097713553;0.0;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.3897819566140353;0.0;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.38244600073093926;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.24944431948534626;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.24944431948534626;0.0;0.3422028587648819;0.0;0.24944431948534626;0.036692364793703955;0.0;0.0;0.19673256925640645;0.0;0.0;0.12755981097713553;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.036692364793703955;0.036692364793703955;0.047799631016701725;0.0;0.12755981097713553;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.12755981097713553;0.047799631016701725;0.0;0.0;0.0;0.3388013070303909;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.24944431948534626;0.11511873865597294;0.11511873865597294;0.047799631016701725;0.0;0.0;0.19673256925640645;0.0;0.24944431948534626;0.036692364793703955;0.0;0.12755981097713553;0.12755981097713553;0.12755981097713553;0.18922943134840794;0.0;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.3897819566140353;0.3897819566140353;0.0;0.11511873865597294;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0
GO:0007143;0.2611260707055071;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.12408495164008174;0.0;1.0;0.0;0.12408495164008174;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.40811559759731486;0.01468324974140624;0.0;0.0;0.20695866249713105;0.12408495164008174;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.12408495164008174;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.2611260707055071;0.01468324974140624;0.20695866249713105;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.20695866249713105;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:0050728;0.0;0.12804570306913615;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.1492331351584338;0.042064647228987374;0.0;0.042064647228987374;0.1492331351584338;0.12804570306913615;0.042064647228987374;0.1492331351584338;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.0;0.12804570306913615;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.12804570306913615;0.0;0.042064647228987374;0.0;0.12804570306913615;0.042064647228987374;0.0;0.042064647228987374;0.0;1.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.1492331351584338;0.042064647228987374;0.12804570306913615;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.1492331351584338;0.1492331351584338;0.0;0.1492331351584338;0.042064647228987374;0.1492331351584338;0.042064647228987374;0.12804570306913615;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.250245473135147;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.12804570306913615;0.0;0.0;0.1492331351584338;0.0;0.12804570306913615;0.0;0.042064647228987374;0.036692364793703955;0.0;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.036692364793703955;0.036692364793703955;0.12804570306913615;0.0;0.042064647228987374;0.12804570306913615;0.0;0.042064647228987374;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.12804570306913615;0.0;0.042064647228987374;0.0;0.1492331351584338;0.042064647228987374;0.32510388282920627;0.1492331351584338;0.0;0.0;0.042064647228987374;0.0;0.1492331351584338;0.036692364793703955;0.0;0.042064647228987374;0.042064647228987374;0.1492331351584338;0.12804570306913615;0.0;0.12804570306913615;0.0;0.0;0.0;0.12804570306913615;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.32510388282920627;0.0;0.12804570306913615;0.12804570306913615;0.0;0.0;0.0;0.0
