;GO:0090330;GO:0051092;GO:1902715;GO:0060326;GO:2000318;GO:0051289;GO:0001865;GO:0032729;GO:0032689;GO:0070207;GO:0035556;GO:0050830;GO:0034260;GO:2000570;GO:2000010;GO:0030183;GO:0045577;GO:0042100;GO:0045652;GO:0042267;GO:0042102;GO:0046627;GO:0030217;GO:0045580;GO:0002323;GO:0051973;GO:0001558;GO:0070233;GO:0002769;GO:0002728;GO:0030890;GO:0018105;GO:2000484;GO:0032753;GO:0045429;GO:1904355;GO:0038095;GO:0043123;GO:0046710;GO:0046037;GO:0038096;GO:0046638;GO:0002223;GO:0050850;GO:0002534;GO:0046641;GO:0032740;GO:0050852;GO:0050853;GO:0050776;GO:0038202;GO:0031295;GO:0007169;GO:0007202;GO:0038083;GO:0007166;GO:0007249;GO:0060732;GO:0045954;GO:0045086;GO:0071222;GO:0006509;GO:0002228;GO:0070970;GO:0071663;GO:0045087;GO:0032212;GO:0072678;GO:0032496;GO:0050900;GO:2000502
GO:0035556;0.5;0.10526315789473684;0.47058823529411764;0.16666666666666666;0.13333333333333333;0.14285714285714285;0.13333333333333333;0.15384615384615385;0.15384615384615385;0.14285714285714285;1.0;0.0;0.15384615384615385;0.4444444444444444;0.14285714285714285;0.15384615384615385;0.5333333333333333;0.15384615384615385;0.5714285714285714;0.0;0.5;0.5714285714285714;0.15384615384615385;0.5333333333333333;0.15384615384615385;0.125;0.6666666666666666;0.47058823529411764;0.13333333333333333;0.125;0.5;0.25;0.47058823529411764;0.15384615384615385;0.5333333333333333;0.5;0.13333333333333333;0.5333333333333333;0.23529411764705882;0.23529411764705882;0.11764705882352941;0.47058823529411764;0.1111111111111111;0.5333333333333333;0.0;0.47058823529411764;0.15384615384615385;0.11764705882352941;0.11764705882352941;0.18181818181818182;0.14285714285714285;0.125;0.14285714285714285;0.125;0.23529411764705882;0.16666666666666666;0.9230769230769231;0.5333333333333333;0.125;0.5333333333333333;0.15384615384615385;0.0;0.0;0.11764705882352941;0.14285714285714285;0.0;0.47058823529411764;0.14285714285714285;0.0;0.16666666666666666;0.1111111111111111
GO:0050830;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.5714285714285714;0.0;0.0;0.6153846153846154;0.0;0.0;0.5714285714285714;0.0;0.0
GO:0034260;0.35294117647058826;0.3;0.3333333333333333;0.0;0.375;0.0;0.0;0.42857142857142855;0.5714285714285714;0.0;0.15384615384615385;0.0;1.0;0.3157894736842105;0.4;0.0;0.375;0.0;0.4;0.0;0.35294117647058826;0.5333333333333333;0.0;0.375;0.0;0.47058823529411764;0.46153846153846156;0.4444444444444444;0.125;0.47058823529411764;0.35294117647058826;0.0;0.3333333333333333;0.42857142857142855;0.375;0.35294117647058826;0.125;0.375;0.0;0.0;0.1111111111111111;0.3333333333333333;0.10526315789473684;0.375;0.0;0.3333333333333333;0.42857142857142855;0.1111111111111111;0.1111111111111111;0.5;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.5882352941176471;0.0;0.15384615384615385;0.14285714285714285;0.375;0.35294117647058826;0.375;0.0;0.0;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.0;0.42105263157894735
GO:2000570;0.45454545454545453;0.32;0.34782608695652173;0.0;0.47619047619047616;0.0;0.0;0.42105263157894735;0.3157894736842105;0.0;0.4444444444444444;0.0;0.3157894736842105;1.0;0.4;0.0;0.6666666666666666;0.0;0.4;0.0;0.8181818181818182;0.4;0.0;0.7619047619047619;0.0;0.45454545454545453;0.4444444444444444;0.34782608695652173;0.09523809523809523;0.36363636363636365;0.7272727272727273;0.0;0.34782608695652173;0.42105263157894735;0.47619047619047616;0.36363636363636365;0.09523809523809523;0.38095238095238093;0.0;0.0;0.08695652173913043;0.8695652173913043;0.08333333333333333;0.38095238095238093;0.0;0.8695652173913043;0.42105263157894735;0.08695652173913043;0.08695652173913043;0.47058823529411764;0.1;0.8181818181818182;0.1;0.18181818181818182;0.0;0.4444444444444444;0.42105263157894735;0.47619047619047616;0.36363636363636365;0.38095238095238093;0.0;0.0;0.0;0.0;0.5;0.0;0.43478260869565216;0.0;0.0;0.0;0.3333333333333333
GO:2000010;0.3333333333333333;0.38095238095238093;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.5333333333333333;0.4;0.0;0.14285714285714285;0.0;0.4;0.4;1.0;0.0;0.35294117647058826;0.0;0.375;0.0;0.4444444444444444;0.375;0.0;0.35294117647058826;0.0;0.4444444444444444;0.42857142857142855;0.3157894736842105;0.11764705882352941;0.3333333333333333;0.4444444444444444;0.0;0.42105263157894735;0.5333333333333333;0.47058823529411764;0.4444444444444444;0.11764705882352941;0.47058823529411764;0.0;0.0;0.10526315789473684;0.42105263157894735;0.1;0.47058823529411764;0.0;0.42105263157894735;0.5333333333333333;0.10526315789473684;0.10526315789473684;0.46153846153846156;0.125;0.4444444444444444;0.125;0.2222222222222222;0.0;0.14285714285714285;0.13333333333333333;0.47058823529411764;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.5;0.0;0.42105263157894735;0.0;0.0;0.0;0.3
GO:0030183;0.0;0.0;0.0;0.15384615384615385;0.0;0.13333333333333333;0.125;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;1.0;0.0;0.8571428571428571;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.0;0.1111111111111111;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.1111111111111111;0.0;0.3333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0
GO:0045577;0.5263157894736842;0.2727272727272727;0.4;0.0;0.4444444444444444;0.0;0.0;0.5;0.5;0.0;0.5333333333333333;0.0;0.375;0.6666666666666666;0.35294117647058826;0.0;1.0;0.0;0.7058823529411765;0.0;0.7368421052631579;0.47058823529411764;0.0;0.8888888888888888;0.0;0.42105263157894735;0.5333333333333333;0.4;0.1111111111111111;0.42105263157894735;0.8421052631578947;0.0;0.4;0.5;0.4444444444444444;0.42105263157894735;0.1111111111111111;0.4444444444444444;0.0;0.0;0.1;0.8;0.09523809523809523;0.4444444444444444;0.0;0.7;0.5;0.1;0.1;0.5714285714285714;0.11764705882352941;0.7368421052631579;0.11764705882352941;0.21052631578947367;0.0;0.5333333333333333;0.5;0.4444444444444444;0.42105263157894735;0.4444444444444444;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.4;0.0;0.0;0.0;0.38095238095238093
GO:0042100;0.0;0.0;0.0;0.15384615384615385;0.0;0.13333333333333333;0.25;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;1.0;0.0;0.14285714285714285;0.0;0.0;0.7142857142857143;0.0;0.7142857142857143;0.0;0.0;0.0;0.125;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.125;0.0;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.0;0.2222222222222222;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.1111111111111111;0.0;0.3333333333333333;0.0;0.13333333333333333;0.0;0.3076923076923077;0.0
GO:0045652;0.4444444444444444;0.2857142857142857;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.5333333333333333;0.5333333333333333;0.0;0.5714285714285714;0.0;0.4;0.4;0.375;0.0;0.7058823529411765;0.0;1.0;0.0;0.4444444444444444;0.5;0.0;0.7058823529411765;0.0;0.4444444444444444;0.5714285714285714;0.42105263157894735;0.11764705882352941;0.4444444444444444;0.4444444444444444;0.0;0.42105263157894735;0.5333333333333333;0.47058823529411764;0.4444444444444444;0.11764705882352941;0.47058823529411764;0.0;0.0;0.10526315789473684;0.631578947368421;0.1;0.47058823529411764;0.0;0.42105263157894735;0.5333333333333333;0.10526315789473684;0.10526315789473684;0.6153846153846154;0.125;0.4444444444444444;0.125;0.2222222222222222;0.0;0.5714285714285714;0.5333333333333333;0.47058823529411764;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.5;0.0;0.42105263157894735;0.0;0.0;0.0;0.4
GO:0042267;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;1.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.9230769230769231;0.0;0.0;0.8333333333333334;0.0;0.13333333333333333;0.15384615384615385;0.15384615384615385;0.0
GO:0042102;0.5;0.34782608695652173;0.38095238095238093;0.0;0.5263157894736842;0.0;0.0;0.47058823529411764;0.35294117647058826;0.0;0.5;0.0;0.35294117647058826;0.8181818181818182;0.4444444444444444;0.0;0.7368421052631579;0.0;0.4444444444444444;0.0;1.0;0.4444444444444444;0.0;0.8421052631578947;0.0;0.5;0.5;0.38095238095238093;0.10526315789473684;0.4;0.9;0.0;0.38095238095238093;0.47058823529411764;0.5263157894736842;0.4;0.10526315789473684;0.42105263157894735;0.0;0.0;0.09523809523809523;0.8571428571428571;0.09090909090909091;0.42105263157894735;0.0;0.9523809523809523;0.47058823529411764;0.09523809523809523;0.09523809523809523;0.5333333333333333;0.1111111111111111;0.9;0.1111111111111111;0.2;0.0;0.5;0.47058823529411764;0.5263157894736842;0.4;0.42105263157894735;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.47619047619047616;0.0;0.0;0.0;0.36363636363636365
GO:0046627;0.4444444444444444;0.2857142857142857;0.42105263157894735;0.0;0.47058823529411764;0.0;0.0;0.4;0.5333333333333333;0.0;0.5714285714285714;0.0;0.5333333333333333;0.4;0.375;0.0;0.47058823529411764;0.0;0.5;0.0;0.4444444444444444;1.0;0.0;0.47058823529411764;0.0;0.4444444444444444;0.5714285714285714;0.5263157894736842;0.11764705882352941;0.5555555555555556;0.4444444444444444;0.0;0.42105263157894735;0.4;0.47058823529411764;0.4444444444444444;0.11764705882352941;0.7058823529411765;0.0;0.0;0.10526315789473684;0.42105263157894735;0.1;0.7058823529411765;0.0;0.42105263157894735;0.4;0.10526315789473684;0.10526315789473684;0.6153846153846154;0.125;0.1111111111111111;0.125;0.2222222222222222;0.0;0.5714285714285714;0.5333333333333333;0.47058823529411764;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.375;0.0;0.42105263157894735;0.0;0.0;0.0;0.5
GO:0030217;0.0;0.0;0.0;0.15384615384615385;0.0;0.13333333333333333;0.125;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.7142857142857143;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.0;0.1111111111111111;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.1111111111111111;0.0;0.3333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0
GO:0045580;0.5263157894736842;0.2727272727272727;0.4;0.0;0.4444444444444444;0.0;0.0;0.5;0.5;0.0;0.5333333333333333;0.0;0.375;0.7619047619047619;0.35294117647058826;0.0;0.8888888888888888;0.0;0.7058823529411765;0.0;0.8421052631578947;0.47058823529411764;0.0;1.0;0.0;0.42105263157894735;0.5333333333333333;0.4;0.1111111111111111;0.42105263157894735;0.7368421052631579;0.0;0.4;0.5;0.4444444444444444;0.42105263157894735;0.1111111111111111;0.4444444444444444;0.0;0.0;0.1;0.9;0.09523809523809523;0.4444444444444444;0.0;0.8;0.5;0.1;0.1;0.5714285714285714;0.11764705882352941;0.8421052631578947;0.11764705882352941;0.21052631578947367;0.0;0.5333333333333333;0.5;0.4444444444444444;0.42105263157894735;0.4444444444444444;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.4;0.0;0.0;0.0;0.38095238095238093
GO:0002323;0.0;0.0;0.0;0.15384615384615385;0.0;0.13333333333333333;0.125;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.7142857142857143;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;1.0;0.0;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.0;0.1111111111111111;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.3076923076923077;0.1111111111111111;0.0;0.3333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0
GO:0051973;0.4;0.34782608695652173;0.47619047619047616;0.0;0.42105263157894735;0.0;0.0;0.47058823529411764;0.23529411764705882;0.0;0.125;0.0;0.47058823529411764;0.45454545454545453;0.4444444444444444;0.0;0.42105263157894735;0.0;0.4444444444444444;0.0;0.5;0.4444444444444444;0.0;0.42105263157894735;0.0;1.0;0.5;0.38095238095238093;0.10526315789473684;0.2;0.5;0.0;0.47619047619047616;0.47058823529411764;0.7368421052631579;0.8;0.10526315789473684;0.5263157894736842;0.0;0.0;0.09523809523809523;0.47619047619047616;0.09090909090909091;0.5263157894736842;0.0;0.47619047619047616;0.47058823529411764;0.09523809523809523;0.09523809523809523;0.26666666666666666;0.1111111111111111;0.5;0.1111111111111111;0.5;0.0;0.5;0.11764705882352941;0.7368421052631579;0.4;0.7368421052631579;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.8571428571428571;0.0;0.0;0.0;0.18181818181818182
GO:0001558;0.5;0.3157894736842105;0.47058823529411764;0.0;0.4;0.0;0.0;0.46153846153846156;0.46153846153846156;0.0;0.6666666666666666;0.0;0.46153846153846156;0.4444444444444444;0.42857142857142855;0.0;0.5333333333333333;0.0;0.5714285714285714;0.0;0.5;0.5714285714285714;0.0;0.5333333333333333;0.0;0.5;1.0;0.47058823529411764;0.13333333333333333;0.375;0.5;0.0;0.47058823529411764;0.46153846153846156;0.5333333333333333;0.625;0.13333333333333333;0.5333333333333333;0.0;0.0;0.11764705882352941;0.47058823529411764;0.1111111111111111;0.5333333333333333;0.0;0.47058823529411764;0.46153846153846156;0.11764705882352941;0.11764705882352941;0.5454545454545454;0.14285714285714285;0.125;0.14285714285714285;0.25;0.0;0.6666666666666666;0.15384615384615385;0.5333333333333333;0.375;0.5333333333333333;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.47058823529411764;0.0;0.0;0.0;0.3333333333333333
GO:0070233;0.38095238095238093;0.25;0.36363636363636365;0.0;0.3;0.0;0.0;0.3333333333333333;0.4444444444444444;0.0;0.47058823529411764;0.0;0.4444444444444444;0.34782608695652173;0.3157894736842105;0.0;0.4;0.0;0.42105263157894735;0.0;0.38095238095238093;0.5263157894736842;0.0;0.4;0.0;0.38095238095238093;0.47058823529411764;1.0;0.1;0.38095238095238093;0.38095238095238093;0.0;0.36363636363636365;0.3333333333333333;0.4;0.38095238095238093;0.1;0.4;0.0;0.0;0.09090909090909091;0.36363636363636365;0.08695652173913043;0.4;0.0;0.36363636363636365;0.3333333333333333;0.09090909090909091;0.09090909090909091;0.375;0.10526315789473684;0.09523809523809523;0.10526315789473684;0.19047619047619047;0.0;0.47058823529411764;0.4444444444444444;0.4;0.2857142857142857;0.4;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.36363636363636365;0.0;0.0;0.0;0.34782608695652173
GO:0002769;0.10526315789473684;0.09090909090909091;0.1;0.13333333333333333;0.5555555555555556;0.11764705882352941;0.1111111111111111;0.125;0.125;0.11764705882352941;0.13333333333333333;0.0;0.125;0.09523809523809523;0.11764705882352941;0.125;0.1111111111111111;0.125;0.11764705882352941;0.0;0.10526315789473684;0.11764705882352941;0.125;0.1111111111111111;0.125;0.10526315789473684;0.13333333333333333;0.1;1.0;0.5263157894736842;0.10526315789473684;0.21052631578947367;0.1;0.125;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.1111111111111111;0.2;0.2;0.1;0.1;0.09523809523809523;0.1111111111111111;0.0;0.1;0.125;0.1;0.1;0.7142857142857143;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.2;0.13333333333333333;0.125;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.125;0.0;0.0;0.1;0.11764705882352941;0.0;0.1;0.11764705882352941;0.0;0.13333333333333333;0.09523809523809523
