;GO:1902475;GO:0007257;GO:0043542;GO:0051092;GO:0060644;GO:0050796;GO:0001666;GO:0045893;GO:0001504;GO:2000353;GO:0051965;GO:0001829;GO:2001244;GO:0030183;GO:0042100;GO:0042102;GO:0010508;GO:0033209;GO:0051131;GO:0010469;GO:0072659;GO:0032753;GO:0046718;GO:0007032;GO:1904674;GO:0008284;GO:1904677;GO:0006814;GO:0045596;GO:0051023;GO:0010716;GO:2000737;GO:0033632;GO:0015804;GO:0016236;GO:0045190;GO:0050776;GO:0031295;GO:0006351;GO:0048305;GO:0007166;GO:0009267;GO:0006357;GO:0001662;GO:0032735;GO:0010923;GO:0043066;GO:0006508;GO:0033147;GO:0032733;GO:2000103
GO:0051965;0.0;0.17391304347826086;0.0;0.38095238095238093;0.0;0.2222222222222222;0.0;0.42105263157894735;0.2857142857142857;0.5555555555555556;1.0;0.0;0.4444444444444444;0.0;0.0;0.4444444444444444;0.625;0.125;0.0;0.26666666666666666;0.0;0.6666666666666666;0.0;0.0;0.6666666666666666;0.7142857142857143;0.625;0.0;0.2857142857142857;0.47058823529411764;0.625;0.26666666666666666;0.2857142857142857;0.0;0.0;0.0;0.3076923076923077;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.21052631578947367;0.0;0.6666666666666666;0.2222222222222222;0.25;0.0;0.23529411764705882;0.6666666666666666;0.6666666666666666
GO:0001829;0.0;0.0;0.15384615384615385;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.1111111111111111;0.0;0.0;0.13333333333333333;0.13333333333333333;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:2001244;0.0;0.32;0.0;0.34782608695652173;0.0;0.4;0.0;0.38095238095238093;0.25;0.8;0.4444444444444444;0.0;1.0;0.0;0.0;0.4;0.5555555555555556;0.1111111111111111;0.0;0.7058823529411765;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.625;0.5555555555555556;0.0;0.5;0.42105263157894735;0.4444444444444444;0.47058823529411764;0.375;0.0;0.0;0.0;0.5333333333333333;0.4;0.0;0.0;0.5;0.0;0.38095238095238093;0.0;0.47058823529411764;0.4;0.7777777777777778;0.0;0.631578947368421;0.47058823529411764;0.47058823529411764
GO:0030183;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;0.8571428571428571;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.1;0.0;0.23529411764705882;0.11764705882352941;0.11764705882352941;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042100;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.8571428571428571;1.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.6;0.0;0.23529411764705882;0.11764705882352941;0.11764705882352941;0.15384615384615385;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042102;0.0;0.32;0.0;0.34782608695652173;0.0;0.4;0.0;0.38095238095238093;0.25;0.5;0.4444444444444444;0.0;0.4;0.0;0.0;1.0;0.5555555555555556;0.1111111111111111;0.0;0.47058823529411764;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.75;0.5555555555555556;0.0;0.5;0.42105263157894735;0.4444444444444444;0.47058823529411764;0.625;0.0;0.0;0.0;0.5333333333333333;0.9;0.0;0.0;0.5;0.0;0.38095238095238093;0.0;0.47058823529411764;0.4;0.4444444444444444;0.0;0.42105263157894735;0.47058823529411764;0.7058823529411765
GO:0010508;0.0;0.34782608695652173;0.0;0.38095238095238093;0.0;0.4444444444444444;0.0;0.5263157894736842;0.2857142857142857;0.5555555555555556;0.625;0.0;0.5555555555555556;0.0;0.0;0.5555555555555556;1.0;0.125;0.0;0.5333333333333333;0.0;0.5333333333333333;0.0;0.0;0.5333333333333333;0.7142857142857143;0.625;0.0;0.5714285714285714;0.47058823529411764;0.5;0.5333333333333333;0.42857142857142855;0.0;0.0;0.0;0.46153846153846156;0.5555555555555556;0.0;0.0;0.5714285714285714;0.0;0.5263157894736842;0.0;0.5333333333333333;0.5555555555555556;0.5;0.0;0.47058823529411764;0.5333333333333333;0.6666666666666666
GO:0033209;0.0;0.08695652173913043;0.125;0.09523809523809523;0.14285714285714285;0.1111111111111111;0.0;0.10526315789473684;0.14285714285714285;0.1111111111111111;0.125;0.15384615384615385;0.1111111111111111;0.13333333333333333;0.13333333333333333;0.1111111111111111;0.125;1.0;0.13333333333333333;0.13333333333333333;0.0;0.13333333333333333;0.0;0.14285714285714285;0.13333333333333333;0.14285714285714285;0.125;0.0;0.14285714285714285;0.47058823529411764;0.125;0.13333333333333333;0.14285714285714285;0.0;0.2857142857142857;0.09523809523809523;0.15384615384615385;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.14285714285714285;0.26666666666666666;0.10526315789473684;0.0;0.13333333333333333;0.1111111111111111;0.125;0.0;0.11764705882352941;0.13333333333333333;0.13333333333333333
GO:0051131;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.13333333333333333;1.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.1;0.0;0.0;0.11764705882352941;0.11764705882352941;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010469;0.0;0.18181818181818182;0.0;0.3;0.0;0.47058823529411764;0.0;0.4444444444444444;0.3076923076923077;0.47058823529411764;0.26666666666666666;0.0;0.7058823529411765;0.0;0.0;0.47058823529411764;0.5333333333333333;0.13333333333333333;0.0;1.0;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.6153846153846154;0.5333333333333333;0.0;0.6153846153846154;0.5;0.5333333333333333;0.5714285714285714;0.3076923076923077;0.0;0.0;0.0;0.6666666666666666;0.11764705882352941;0.0;0.0;0.15384615384615385;0.0;0.2222222222222222;0.0;0.2857142857142857;0.35294117647058826;0.5333333333333333;0.0;0.75;0.2857142857142857;0.2857142857142857
GO:0072659;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032753;0.0;0.2727272727272727;0.0;0.4;0.0;0.23529411764705882;0.0;0.4444444444444444;0.3076923076923077;0.47058823529411764;0.6666666666666666;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.5333333333333333;0.13333333333333333;0.0;0.2857142857142857;0.0;1.0;0.0;0.0;0.7142857142857143;0.6153846153846154;0.5333333333333333;0.0;0.46153846153846156;0.375;0.4;0.42857142857142855;0.46153846153846156;0.0;0.0;0.0;0.5;0.47058823529411764;0.0;0.0;0.15384615384615385;0.0;0.3333333333333333;0.0;0.8571428571428571;0.23529411764705882;0.4;0.0;0.375;0.8571428571428571;0.7142857142857143
GO:0046718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007032;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.10526315789473684;0.0;0.0;0.125;0.125;0.16666666666666666;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1904674;0.0;0.2727272727272727;0.0;0.4;0.0;0.23529411764705882;0.0;0.4444444444444444;0.3076923076923077;0.47058823529411764;0.6666666666666666;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.5333333333333333;0.13333333333333333;0.0;0.2857142857142857;0.0;0.7142857142857143;0.0;0.0;1.0;0.6153846153846154;0.5333333333333333;0.0;0.6153846153846154;0.375;0.4;0.5714285714285714;0.46153846153846156;0.0;0.0;0.0;0.5;0.47058823529411764;0.0;0.0;0.15384615384615385;0.0;0.3333333333333333;0.0;0.7142857142857143;0.23529411764705882;0.4;0.0;0.375;0.7142857142857143;0.7142857142857143
GO:0008284;0.0;0.38095238095238093;0.0;0.42105263157894735;0.0;0.5;0.0;0.47058823529411764;0.3333333333333333;0.625;0.7142857142857143;0.0;0.625;0.0;0.0;0.75;0.7142857142857143;0.14285714285714285;0.0;0.6153846153846154;0.0;0.6153846153846154;0.0;0.0;0.6153846153846154;1.0;0.7142857142857143;0.0;0.6666666666666666;0.5333333333333333;0.5714285714285714;0.6153846153846154;0.5;0.0;0.0;0.0;0.5454545454545454;0.625;0.0;0.0;0.6666666666666666;0.0;0.47058823529411764;0.0;0.6153846153846154;0.5;0.5714285714285714;0.0;0.5333333333333333;0.6153846153846154;0.9230769230769231
GO:1904677;0.0;0.34782608695652173;0.0;0.38095238095238093;0.0;0.4444444444444444;0.0;0.42105263157894735;0.2857142857142857;0.5555555555555556;0.625;0.0;0.5555555555555556;0.0;0.0;0.5555555555555556;0.625;0.125;0.0;0.5333333333333333;0.0;0.5333333333333333;0.0;0.0;0.5333333333333333;0.7142857142857143;1.0;0.0;0.5714285714285714;0.47058823529411764;0.5;0.5333333333333333;0.42857142857142855;0.0;0.0;0.0;0.46153846153846156;0.5555555555555556;0.0;0.0;0.5714285714285714;0.0;0.42105263157894735;0.0;0.5333333333333333;0.4444444444444444;0.5;0.0;0.47058823529411764;0.5333333333333333;0.6666666666666666
GO:0006814;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045596;0.0;0.38095238095238093;0.0;0.3157894736842105;0.0;0.5;0.0;0.47058823529411764;0.3333333333333333;0.5;0.2857142857142857;0.0;0.5;0.0;0.0;0.5;0.5714285714285714;0.14285714285714285;0.0;0.6153846153846154;0.0;0.46153846153846156;0.0;0.0;0.6153846153846154;0.6666666666666666;0.5714285714285714;0.0;1.0;0.5333333333333333;0.7142857142857143;0.9230769230769231;0.5;0.0;0.0;0.0;0.5454545454545454;0.125;0.0;0.0;0.6666666666666666;0.0;0.47058823529411764;0.0;0.46153846153846156;0.625;0.7142857142857143;0.0;0.6666666666666666;0.46153846153846156;0.6153846153846154
GO:0051023;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.8421052631578947;0.0;0.4;0.26666666666666666;0.42105263157894735;0.47058823529411764;0.0;0.42105263157894735;0.0;0.0;0.42105263157894735;0.47058823529411764;0.47058823529411764;0.0;0.5;0.0;0.375;0.0;0.0;0.375;0.5333333333333333;0.47058823529411764;0.0;0.5333333333333333;1.0;0.47058823529411764;0.5;0.4;0.0;0.0;0.0;0.5714285714285714;0.42105263157894735;0.0;0.0;0.5333333333333333;0.0;0.4;0.0;0.375;0.42105263157894735;0.47058823529411764;0.0;0.4444444444444444;0.375;0.5
GO:0010716;0.0;0.34782608695652173;0.0;0.2857142857142857;0.0;0.4444444444444444;0.0;0.42105263157894735;0.2857142857142857;0.4444444444444444;0.625;0.0;0.4444444444444444;0.0;0.0;0.4444444444444444;0.5;0.125;0.0;0.5333333333333333;0.0;0.4;0.0;0.0;0.4;0.5714285714285714;0.5;0.0;0.7142857142857143;0.47058823529411764;1.0;0.6666666666666666;0.42857142857142855;0.0;0.0;0.0;0.46153846153846156;0.1111111111111111;0.0;0.0;0.5714285714285714;0.0;0.42105263157894735;0.0;0.4;0.5555555555555556;0.625;0.0;0.5882352941176471;0.4;0.5333333333333333
GO:2000737;0.0;0.36363636363636365;0.0;0.3;0.0;0.47058823529411764;0.0;0.4444444444444444;0.3076923076923077;0.47058823529411764;0.26666666666666666;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.5333333333333333;0.13333333333333333;0.0;0.5714285714285714;0.0;0.42857142857142855;0.0;0.0;0.5714285714285714;0.6153846153846154;0.5333333333333333;0.0;0.9230769230769231;0.5;0.6666666666666666;1.0;0.46153846153846156;0.0;0.0;0.0;0.5;0.11764705882352941;0.0;0.0;0.6153846153846154;0.0;0.4444444444444444;0.0;0.42857142857142855;0.5882352941176471;0.6666666666666666;0.0;0.625;0.42857142857142855;0.5714285714285714
GO:0033632;0.0;0.2857142857142857;0.0;0.3157894736842105;0.0;0.25;0.0;0.35294117647058826;0.3333333333333333;0.375;0.2857142857142857;0.0;0.375;0.0;0.0;0.625;0.42857142857142855;0.14285714285714285;0.0;0.3076923076923077;0.0;0.46153846153846156;0.0;0.0;0.46153846153846156;0.5;0.42857142857142855;0.0;0.5;0.4;0.42857142857142855;0.46153846153846156;1.0;0.0;0.0;0.0;0.5454545454545454;0.625;0.0;0.0;0.16666666666666666;0.0;0.35294117647058826;0.0;0.46153846153846156;0.25;0.42857142857142855;0.0;0.4;0.46153846153846156;0.46153846153846156
GO:0015804;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016236;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.15384615384615385;0.3076923076923077;0.0;0.0;0.2857142857142857;0.15384615384615385;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.10526315789473684;0.0;0.0;0.125;0.125;0.3333333333333333;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0
GO:0045190;0.0;0.0;0.09523809523809523;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1;0.6;0.0;0.0;0.09523809523809523;0.1;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;1.0;0.0;0.17391304347826086;0.08695652173913043;0.08695652173913043;0.10526315789473684;0.1;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0
GO:0050776;0.0;0.3;0.0;0.3333333333333333;0.0;0.26666666666666666;0.0;0.375;0.36363636363636365;0.4;0.3076923076923077;0.0;0.5333333333333333;0.0;0.0;0.5333333333333333;0.46153846153846156;0.15384615384615385;0.0;0.6666666666666666;0.0;0.5;0.0;0.0;0.5;0.5454545454545454;0.46153846153846156;0.0;0.5454545454545454;0.5714285714285714;0.46153846153846156;0.5;0.5454545454545454;0.0;0.0;0.0;1.0;0.5333333333333333;0.0;0.0;0.18181818181818182;0.0;0.375;0.0;0.5;0.26666666666666666;0.46153846153846156;0.0;0.5714285714285714;0.5;0.5
GO:0031295;0.0;0.08;0.0;0.34782608695652173;0.0;0.1;0.0;0.38095238095238093;0.125;0.5;0.1111111111111111;0.0;0.4;0.23529411764705882;0.23529411764705882;0.9;0.5555555555555556;0.1111111111111111;0.0;0.11764705882352941;0.0;0.47058823529411764;0.0;0.0;0.47058823529411764;0.625;0.5555555555555556;0.0;0.125;0.42105263157894735;0.1111111111111111;0.11764705882352941;0.625;0.0;0.0;0.17391304347826086;0.5333333333333333;1.0;0.0;0.0;0.125;0.0;0.09523809523809523;0.0;0.47058823529411764;0.1;0.4444444444444444;0.0;0.10526315789473684;0.47058823529411764;0.47058823529411764
GO:0006351;0.0;0.0;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.08695652173913043;0.0;0.0;1.0;0.1;0.125;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
GO:0048305;0.09523809523809523;0.0;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.125;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.1;0.125;0.08695652173913043;0.0;0.0;0.1;1.0;0.125;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007166;0.0;0.09523809523809523;0.14285714285714285;0.10526315789473684;0.16666666666666666;0.5;0.0;0.47058823529411764;0.16666666666666666;0.5;0.14285714285714285;0.18181818181818182;0.5;0.15384615384615385;0.15384615384615385;0.5;0.5714285714285714;0.14285714285714285;0.15384615384615385;0.15384615384615385;0.0;0.15384615384615385;0.0;0.16666666666666666;0.15384615384615385;0.6666666666666666;0.5714285714285714;0.0;0.6666666666666666;0.5333333333333333;0.5714285714285714;0.6153846153846154;0.16666666666666666;0.0;0.3333333333333333;0.10526315789473684;0.18181818181818182;0.125;0.125;0.125;1.0;0.3076923076923077;0.47058823529411764;0.0;0.15384615384615385;0.125;0.5714285714285714;0.0;0.5333333333333333;0.15384615384615385;0.6153846153846154
GO:0009267;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.14285714285714285;0.2857142857142857;0.0;0.0;0.26666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.1;0.0;0.0;0.11764705882352941;0.11764705882352941;0.3076923076923077;1.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006357;0.0;0.3076923076923077;0.0;0.8333333333333334;0.0;0.38095238095238093;0.0;0.9090909090909091;0.23529411764705882;0.38095238095238093;0.21052631578947367;0.0;0.38095238095238093;0.0;0.0;0.38095238095238093;0.5263157894736842;0.10526315789473684;0.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.47058823529411764;0.42105263157894735;0.0;0.47058823529411764;0.4;0.42105263157894735;0.4444444444444444;0.35294117647058826;0.0;0.0;0.0;0.375;0.09523809523809523;0.0;0.0;0.47058823529411764;0.0;1.0;0.0;0.3333333333333333;0.47619047619047616;0.42105263157894735;0.0;0.4;0.3333333333333333;0.4444444444444444
GO:0001662;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
