;GO:1904153;GO:0060267;GO:0038095;GO:0097191;GO:1901224;GO:0006366;GO:0038096;GO:0045944;GO:0045471;GO:0050871;GO:0030449;GO:0030968;GO:0006958;GO:0019221;GO:0043154;GO:0018298;GO:0050716;GO:0018279;GO:0050853;GO:0050829;GO:0043277;GO:0007268;GO:0007565;GO:0043312;GO:0045454;GO:0006898;GO:0042742;GO:0045579;GO:0033209;GO:0007218;GO:0070233;GO:0045087;GO:0043066;GO:0045582;GO:0046330;GO:0006508;GO:0016064;GO:0019731;GO:0050900;GO:0032496;GO:0010469;GO:0030433;GO:0034976
GO:0030449;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;1.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.3081136762725405;0.0;0.4;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0
GO:0030968;0.48300749985576874;0.48300749985576874;0.8;0.8;0.43852901558847923;0.8;0.8;0.4;0.6000000000000001;0.43852901558847923;0.48300749985576874;1.0;0.8;0.8;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.8;0.8;0.5356143810225276;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.6000000000000001;0.43852901558847923;0.8;0.8;0.3660149997115376;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.8;0.8;0.6000000000000001;0.8;1.0
GO:0006958;0.4;0.48300749985576874;0.8;0.8;0.43852901558847923;0.8;0.8;0.3660149997115376;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.8;1.0;0.8;0.3660149997115376;0.48300749985576874;0.4;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.5356143810225276;0.4;0.8;0.8;0.3081136762725405;0.8;0.4;0.4;0.3660149997115376;0.6000000000000001;0.5356143810225276;0.6830074998557688;0.8;0.8;0.6000000000000001;0.8;0.6000000000000001
GO:0019221;0.43852901558847923;0.48300749985576874;0.8;0.8;0.4;0.8;0.8;0.3660149997115376;0.0;0.4;0.48300749985576874;0.8;0.8;1.0;0.4;0.48300749985576874;0.4;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.0;0.4;1.0;0.8;0.3356143810225276;0.0;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001
GO:0043154;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.4;0.3356143810225276;0.0;0.3660149997115376;0.3081136762725405;0.0;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.4;1.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.3660149997115376;0.4;0.6000000000000001;0.0;1.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0
GO:0018298;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;1.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.43852901558847923;0.0;0.0;0.6000000000000001;0.4
GO:0050716;0.4;0.48300749985576874;0.4;0.4;0.4;0.0;0.4;0.3660149997115376;0.0;0.4;0.4;0.43852901558847923;0.4;0.4;0.3356143810225276;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.4;0.4;0.2830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0
GO:0018279;0.0;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;1.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.6000000000000001
GO:0050853;0.4;0.48300749985576874;0.8;0.8;0.4;0.8;0.8;0.3660149997115376;0.0;0.4;0.48300749985576874;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.4;0.8;1.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.0;0.3660149997115376;0.8;0.8;0.3081136762725405;0.6000000000000001;0.4;0.3660149997115376;0.3660149997115376;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001
GO:0050829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.3356143810225276;0.8;0.0;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874
GO:0043277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007268;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;1.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.3660149997115376
GO:0007565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;1.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.0;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.43852901558847923;0.43852901558847923;0.0;1.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.8;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.8;0.5356143810225276
GO:0045454;0.5356143810225276;0.5356143810225276;0.6830074998557688;0.6830074998557688;0.48300749985576874;0.5356143810225276;0.6830074998557688;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.6830074998557688;0.5356143810225276;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.6830074998557688;0.6830074998557688;0.0;0.0;0.4;0.0;0.5356143810225276;1.0;0.0;0.0;0.48300749985576874;0.6830074998557688;0.6830074998557688;0.4;0.0;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.6830074998557688;0.5356143810225276
GO:0006898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.48300749985576874;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.3660149997115376;1.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276
GO:0045579;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.4;0.0;0.3660149997115376;0.3356143810225276;0.0;1.0;0.43852901558847923;0.43852901558847923;0.4;0.4;0.3356143810225276;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;1.0;0.3660149997115376;0.4;0.2830074998557688;0.0;0.3660149997115376;0.8;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0
GO:0033209;0.4;0.48300749985576874;0.8;0.8;0.4;0.8;0.8;0.3660149997115376;0.0;0.4;0.48300749985576874;0.8;0.8;1.0;0.3660149997115376;0.48300749985576874;0.4;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.0;0.3660149997115376;1.0;0.8;0.3081136762725405;0.0;0.4;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001
GO:0007218;0.43852901558847923;0.48300749985576874;0.8;0.8;0.4;0.8;0.8;0.3660149997115376;0.0;0.4;0.48300749985576874;0.8;0.8;0.8;0.4;0.48300749985576874;0.4;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.0;0.4;0.8;1.0;0.3356143810225276;0.0;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.6000000000000001
GO:0070233;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.3356143810225276;0.2830074998557688;0.0;0.3081136762725405;0.2599120563717816;0.0;0.2830074998557688;0.3081136762725405;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.6000000000000001;0.0;0.2830074998557688;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.2830074998557688;0.3081136762725405;0.3356143810225276;1.0;0.0;0.6830074998557688;0.2830074998557688;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.6830074998557688;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.6830074998557688;0.0;0.6000000000000001;0.6000000000000001
GO:0043066;0.48300749985576874;0.4;0.4;0.43852901558847923;0.3660149997115376;0.0;0.4;0.3356143810225276;0.0;0.3660149997115376;0.4;0.48300749985576874;0.4;0.43852901558847923;1.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.4;0.43852901558847923;0.6830074998557688;0.0;1.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0045582;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.4;0.0;0.3660149997115376;0.3356143810225276;0.0;0.6830074998557688;0.43852901558847923;0.43852901558847923;0.4;0.4;0.3356143810225276;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.8;0.3660149997115376;0.4;0.2830074998557688;0.0;0.3660149997115376;1.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0
GO:0046330;0.4;0.4;0.3660149997115376;0.4;0.6000000000000001;0.0;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.3356143810225276;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.3660149997115376;0.4;0.2830074998557688;0.0;0.3660149997115376;0.3356143810225276;1.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0
GO:0006508;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.6000000000000001;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0
GO:0016064;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;1.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.4
GO:0019731;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.43852901558847923;1.0;0.5356143810225276;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874
GO:0050900;0.0;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.5356143810225276;0.0;0.0;0.0;0.8;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;1.0;0.0;0.0;0.8;0.5356143810225276
GO:0032496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;1.0;0.0;0.8;0.6000000000000001
GO:0010469;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.3660149997115376;0.0;0.4;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.4;0.0;0.4;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.4;0.6000000000000001;0.6000000000000001;0.3356143810225276;0.0;0.43852901558847923;0.4;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0030433;0.0;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.5356143810225276;0.0;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;0.8;0.8;0.43852901558847923;0.0;0.43852901558847923;0.0;0.8;0.6830074998557688;0.0;0.48300749985576874;0.0;0.8;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.8;0.43852901558847923;0.48300749985576874;0.8;0.8;0.0;1.0;0.8
GO:0034976;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;1.0;0.6000000000000001;0.6000000000000001;0.0;0.4;0.0;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.0;0.3660149997115376;0.0;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.0;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.0;0.8;1.0
