;GO:0008584;GO:0039003;GO:0006487;GO:0006366;GO:0009235;GO:0006682;GO:0051091;GO:0045329;GO:1900215;GO:1900218;GO:0046415;GO:0002003;GO:0009436;GO:0019481;GO:0045892;GO:0071333;GO:0072300;GO:0007409;GO:0043154;GO:0072189;GO:0072221;GO:0072305;GO:0015747;GO:2000594;GO:0050679;GO:0070447;GO:0072307;GO:0072108;GO:2000597;GO:0015760;GO:0048843;GO:0006898;GO:0090190;GO:0003337;GO:0001755;GO:0071364;GO:0071526;GO:0030335;GO:1905167;GO:0045429;GO:0060068;GO:0060982;GO:0008203;GO:0045944;GO:0006468;GO:0042359;GO:0042953;GO:0043491;GO:0006855;GO:0043171;GO:0001523;GO:0072162;GO:0048863;GO:0072289;GO:0019265;GO:0140058;GO:0070301;GO:0015889;GO:2000378;GO:0050908;GO:0003081;GO:0002072;GO:0045918;GO:1904447;GO:0030514;GO:0048675;GO:0071300;GO:0001658;GO:0015739;GO:0035725;GO:0016266;GO:0015812;GO:0010001
GO:0046415;0.0;0.0;0.6830074998557688;0.6830074998557688;0.6000000000000001;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;1.0;0.6830074998557688;0.5356143810225276;0.3660149997115376;0.0;0.3356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.4;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.0;0.6000000000000001;0.0;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.6000000000000001;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.43852901558847923;0.0;0.0;0.0;0.6830074998557688;0.0;0.6000000000000001
GO:0002003;0.0;0.0;0.8;0.8;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.6830074998557688;1.0;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.8;0.4;0.0;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.8;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.8;0.0;0.48300749985576874;0.8;0.8;0.5356143810225276;0.8;0.48300749985576874;0.3660149997115376;0.6000000000000001;0.0;0.0;0.6000000000000001;0.4;0.5356143810225276;0.6830074998557688;0.0;0.8;0.0;0.6830074998557688;0.43852901558847923;0.8;0.5356143810225276;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;0.48300749985576874;0.0;0.8;0.0;0.5356143810225276;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.8
GO:0009436;0.0;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.4;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6000000000000001;1.0;0.4;0.0;0.3081136762725405;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.5356143810225276;0.0;0.5356143810225276;0.0;0.6830074998557688;0.4;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276
GO:0019481;0.0;0.0;0.4;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.3356143810225276;0.0;0.0;0.3660149997115376;0.3660149997115376;0.4;1.0;0.0;0.18250743174993223;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.23852901558847928;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.3356143810225276;0.0;0.3081136762725405;0.0;0.43852901558847923;0.2599120563717816;0.3081136762725405;0.2599120563717816;0.0;0.3660149997115376;0.3081136762725405;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.23852901558847928;0.0;0.0;0.0;0.4;0.0;0.3081136762725405
GO:0045892;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.4;0.4;0.0;0.43852901558847923;0.0;0.0;1.0;0.2830074998557688;0.4;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.4;0.4;0.4;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.4;0.3660149997115376;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071333;0.0;0.0;0.4;0.3660149997115376;0.3356143810225276;0.2599120563717816;0.3660149997115376;0.2830074998557688;0.2830074998557688;0.2830074998557688;0.3356143810225276;0.48300749985576874;0.3081136762725405;0.18250743174993223;0.2830074998557688;1.0;0.3660149997115376;0.4;0.2599120563717816;0.0;0.0;0.2599120563717816;0.0;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.2830074998557688;0.3081136762725405;0.3081136762725405;0.0;0.43852901558847923;0.0;0.3081136762725405;0.3660149997115376;0.4;0.48300749985576874;0.4;0.3081136762725405;0.23852901558847928;0.4;0.0;0.0;0.0;0.2599120563717816;0.2830074998557688;0.0;0.0;0.4;0.0;0.3356143810225276;0.2599120563717816;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.4;0.48300749985576874;0.0;0.3081136762725405;0.3660149997115376;0.3660149997115376;0.0;0.3356143810225276;0.0;0.3081136762725405;0.4;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.4
GO:0072300;0.8;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.6000000000000001;0.0;0.8;0.0;0.0;0.4;0.3660149997115376;1.0;0.8;0.3660149997115376;0.8;0.8;0.5356143810225276;0.0;0.8;0.43852901558847923;0.8;0.6830074998557688;0.8;0.5356143810225276;0.0;0.8;0.0;0.6000000000000001;0.8;0.0;0.0;0.8;0.43852901558847923;0.3356143810225276;0.4;0.8;0.8;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.43852901558847923;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.48300749985576874;0.0;0.43852901558847923;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8
GO:0007409;0.8;0.0;0.8;0.8;0.6000000000000001;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.8;0.5356143810225276;0.3081136762725405;0.0;0.4;0.8;1.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.48300749985576874;0.0;0.0;0.8;0.0;0.6000000000000001;0.43852901558847923;0.8;0.6830074998557688;0.8;0.48300749985576874;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.8;0.0;0.8
GO:0043154;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.6830074998557688;0.6830074998557688;0.0;0.4;0.0;0.0;0.4;0.2599120563717816;0.3660149997115376;0.0;1.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.4;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.4;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.48300749985576874;0.0;0.3660149997115376;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0072189;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8
GO:0072221;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.6000000000000001;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8
GO:0072305;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.6830074998557688;0.6830074998557688;0.0;0.4;0.0;0.0;0.3660149997115376;0.2599120563717816;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;1.0;0.0;0.5356143810225276;0.3356143810225276;0.3660149997115376;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.2599120563717816;0.3081136762725405;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.43852901558847923;0.0;0.6830074998557688;0.0
GO:2000594;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.4;0.3081136762725405;0.8;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;1.0;0.6000000000000001;0.5356143810225276;0.6830074998557688;0.8;0.6000000000000001;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050679;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.3660149997115376;0.3660149997115376;0.0;0.48300749985576874;0.0;0.0;0.4;0.3081136762725405;0.43852901558847923;0.0;0.4;0.0;0.0;0.3356143810225276;0.0;0.6000000000000001;1.0;0.6830074998557688;0.4;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070447;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.4;0.4;0.0;0.8;0.0;0.0;0.4;0.3660149997115376;0.8;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276;0.6830074998557688;1.0;0.4;0.48300749985576874;0.6000000000000001;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.8;0.48300749985576874;0.4;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0072307;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6830074998557688;0.6830074998557688;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.2830074998557688;0.6830074998557688;0.0;0.3356143810225276;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.4;0.4;1.0;0.6830074998557688;0.48300749985576874;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.3660149997115376;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.4;0.0;0.4;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0072108;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3081136762725405;0.8;0.0;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.48300749985576874;0.6830074998557688;1.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:2000597;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3081136762725405;0.5356143810225276;0.0;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.6000000000000001;1.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015760;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.6830074998557688;0.3660149997115376;0.0;0.48300749985576874;0.0
GO:0048843;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.0;0.8;0.0;0.0;0.43852901558847923;0.43852901558847923;0.8;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.8;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;1.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.8;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.0;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.5356143810225276;0.0
GO:0090190;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3081136762725405;0.6000000000000001;0.0;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.8;0.6000000000000001;0.0;0.48300749985576874;0.0;1.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
