;GO:0002480;GO:0045666;GO:0061418;GO:0045944;GO:0045648;GO:0001892;GO:0045821;GO:0001666;GO:0043171;GO:0030949;GO:0018230;GO:0033235;GO:0016311;GO:0010575;GO:0030522;GO:0042789;GO:0043619;GO:0006351;GO:0000209;GO:0030163;GO:0060395;GO:0046886;GO:0007565;GO:0006355;GO:0006612;GO:0006508;GO:0031146;GO:0001938
GO:0043619;0.0;0.20150463997667817;0.9667789163872523;0.6380801526121249;0.19715920329631345;0.0;0.2882572682775892;0.2192809509283559;0.13443566969833295;0.21807797941017315;0.11684852509814948;0.37093499859767953;0.16335888441984495;0.20461518738708795;0.3347838143950909;0.0967087654506422;1.0;0.10305157319046598;0.12375378131971511;0.0;0.33478381439509086;0.36450645942044224;0.0;0.8142828044763568;0.0;0.0;0.10854901272148458;0.24376955044609103
GO:0006351;0.0;0.0;0.10305157319046598;0.0;0.0;0.0;0.0;0.0;0.35700305806805527;0.0;0.3886837560475503;0.0;0.2708954320983712;0.0;0.15948027459181627;0.9392203757973991;0.10305157319046598;1.0;0.41128679749062347;0.3261965423795361;0.15948027459181627;0.0;0.0;0.0;0.0;0.3586521289590194;0.36146351544071365;0.0
GO:0000209;0.0;0.0;0.12375378131971511;0.0;0.0;0.0;0.0;0.0;0.4548411085221694;0.0;0.7519649282089648;0.0;0.3658899376021399;0.0;0.21519027850157846;0.38170267506866873;0.12375378131971511;0.41128679749062347;1.0;0.535818786174722;0.21519027850157846;0.0;0.0;0.0;0.0;0.6065844396365492;0.5212983717081695;0.0
GO:0030163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6035598920044339;0.0;0.4938109037303105;0.0;0.2736460428034931;0.0;0.0;0.2998277784541387;0.0;0.3261965423795361;0.535818786174722;1.0;0.0;0.0;0.0;0.0;0.0;0.7550221098188998;0.6876755144997696;0.0
GO:0060395;0.0;0.341069387740712;0.33478381439509086;0.2294675036187994;0.32880318665462693;0.0;0.1622855313834044;0.0;0.24968845616446725;0.39141922270184565;0.1951380479624398;0.3019534717191499;0.3720265404589634;0.4255691303560739;0.8800448626754314;0.14478457233111658;0.33478381439509086;0.15948027459181627;0.21519027850157846;0.0;1.0;0.3510173217121417;0.0;0.36439888600060993;0.0;0.0;0.17304279664075378;0.482736169230524
GO:0046886;0.0;0.33286741304874046;0.36450645942044224;0.5226389690252112;0.37306809671756014;0.0;0.3954043794940933;0.0;0.0;0.3658754094789449;0.0;0.47462871312082583;0.0;0.3195825533908609;0.3510173217121417;0.0;0.36450645942044224;0.0;0.0;0.0;0.3510173217121417;1.0;0.0;0.445462860391008;0.0;0.0;0.0;0.4191336259987347
GO:0007565;0.0;0.0;0.0;0.0;0.0;0.3492422300916758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0006355;0.0;0.24534618119398566;0.8142828044763568;0.7067032644557248;0.23893424744266062;0.0;0.32324599572652524;0.0;0.0;0.27036348471256594;0.0;0.44476018746285395;0.0;0.26460959032620723;0.36439888600060993;0.0;0.8142828044763568;0.0;0.0;0.0;0.36439888600060993;0.445462860391008;0.0;1.0;0.0;0.0;0.0;0.3109990697280009
GO:0006612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
GO:0006508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4658423911269815;0.0;0.5532995846618811;0.0;0.33339117028647897;0.0;0.0;0.3270294387141142;0.0;0.3586521289590194;0.6065844396365492;0.7550221098188998;0.0;0.0;0.0;0.0;0.0;1.0;0.5465669209269501;0.0
GO:0031146;0.0;0.0;0.10854901272148458;0.0;0.0;0.0;0.0;0.0;0.5676782071844632;0.0;0.4909319323869865;0.0;0.2940042666875374;0.0;0.17304279664075378;0.3384120268579316;0.10854901272148458;0.36146351544071365;0.5212983717081695;0.6876755144997696;0.17304279664075378;0.0;0.0;0.0;0.0;0.5465669209269501;1.0;0.0
GO:0001938;0.0;0.4088999268958385;0.24376955044609103;0.2881582532150632;0.39616700266203664;0.0;0.20978619835571088;0.0;0.0;0.45986360102147217;0.0;0.36784594863095177;0.0;0.42521624082329845;0.482736169230524;0.0;0.24376955044609103;0.0;0.0;0.0;0.482736169230524;0.4191336259987347;0.0;0.3109990697280009;0.0;0.0;0.0;1.0
