;GO:0036376;GO:0015991;GO:0038110;GO:0034198;GO:0038155;GO:0006883;GO:0034629;GO:0006999;GO:0045892;GO:0002437;GO:0045893;GO:0032729;GO:0070126;GO:0051607;GO:0070125;GO:2001243;GO:0017148;GO:0050830;GO:0007182;GO:1904263;GO:0086004;GO:0050728;GO:0007140;GO:0042104;GO:1903416;GO:0006412;GO:0006406;GO:1990573;GO:0006888;GO:0007219;GO:0051693;GO:0031947;GO:0045582;GO:0046034;GO:0001916;GO:0050687;GO:0086013;GO:0006260;GO:0045589;GO:0043001;GO:0006265;GO:0045823;GO:0006468;GO:0045989;GO:0045822;GO:0030007;GO:0000165;GO:0002534;GO:0045199;GO:0000281;GO:0001649;GO:0071479;GO:0060390;GO:2000330;GO:0016311;GO:0086064;GO:0050777;GO:0045071;GO:0006351;GO:1900042;GO:0071709;GO:1903078;GO:0002230;GO:0006357;GO:0002026;GO:0071383;GO:0002664;GO:0071260;GO:0046013;GO:0043382;GO:0042130;GO:0010248;GO:0002827;GO:0010569;GO:0031122;GO:0071346;GO:0007080;GO:0051315;GO:0035722
GO:0036376;1.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.7272727272727273;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0
GO:0015991;0.47619047619047616;1.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;0.6086956521739131;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0
GO:0038110;0.0;0.0;1.0;0.25;0.125;0.2222222222222222;0.0;0.2857142857142857;0.10526315789473684;0.0;0.10526315789473684;0.13333333333333333;0.125;0.0;0.125;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.125;0.125;0.10526315789473684;0.0;0.125;0.0;0.2;0.0;0.13333333333333333;0.19047619047619047;0.10526315789473684;0.1111111111111111;0.21052631578947367;0.1111111111111111;0.125;0.11764705882352941;0.25;0.1111111111111111;0.0;0.25;0.125;0.25;0.11764705882352941;0.125;0.2222222222222222;0.1111111111111111;0.0;0.26666666666666666;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.125;0.08695652173913043;0.2857142857142857;0.15384615384615385;0.14285714285714285;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.15384615384615385;0.11764705882352941;0.11764705882352941;0.10526315789473684;0.125;0.26666666666666666;0.13333333333333333;0.14285714285714285;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.0;0.11764705882352941;0.1111111111111111;0.26666666666666666;0.13333333333333333;0.125;0.15384615384615385;0.125
GO:0034198;0.0;0.0;0.25;1.0;0.25;0.2222222222222222;0.0;0.2857142857142857;0.0;0.42857142857142855;0.0;0.0;0.25;0.4;0.25;0.0;0.0;0.375;0.23529411764705882;0.0;0.0;0.0;0.25;0.0;0.3076923076923077;0.125;0.0;0.2;0.0;0.26666666666666666;0.19047619047619047;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.25;0.0;0.0;0.25;0.0;0.25;0.0;0.0;0.2222222222222222;0.2222222222222222;0.0;0.26666666666666666;0.2857142857142857;0.15384615384615385;0.4;0.0;0.0;0.2857142857142857;0.15384615384615385;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.4;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.26666666666666666;0.25;0.3076923076923077;0.25
GO:0038155;0.0;0.0;0.125;0.25;1.0;0.2222222222222222;0.0;0.2857142857142857;0.10526315789473684;0.0;0.10526315789473684;0.13333333333333333;0.125;0.0;0.125;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.125;0.125;0.10526315789473684;0.0;0.125;0.0;0.2;0.0;0.13333333333333333;0.19047619047619047;0.10526315789473684;0.1111111111111111;0.21052631578947367;0.1111111111111111;0.125;0.11764705882352941;0.25;0.1111111111111111;0.0;0.25;0.125;0.25;0.11764705882352941;0.125;0.2222222222222222;0.1111111111111111;0.0;0.26666666666666666;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.125;0.08695652173913043;0.2857142857142857;0.15384615384615385;0.14285714285714285;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.15384615384615385;0.11764705882352941;0.11764705882352941;0.10526315789473684;0.125;0.26666666666666666;0.13333333333333333;0.14285714285714285;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.0;0.11764705882352941;0.1111111111111111;0.26666666666666666;0.13333333333333333;0.125;0.15384615384615385;0.125
GO:0006883;0.0;0.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;1.0;0.0;0.25;0.19047619047619047;0.0;0.19047619047619047;0.23529411764705882;0.2222222222222222;0.0;0.2222222222222222;0.2;0.21052631578947367;0.0;0.21052631578947367;0.2;0.2;0.2222222222222222;0.2222222222222222;0.19047619047619047;0.0;0.1111111111111111;0.0;0.18181818181818182;0.0;0.23529411764705882;0.17391304347826086;0.2857142857142857;0.2;0.19047619047619047;0.2;0.2222222222222222;0.10526315789473684;0.2222222222222222;0.2;0.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.21052631578947367;0.2222222222222222;0.9;0.2;0.0;0.23529411764705882;0.25;0.13333333333333333;0.23529411764705882;0.2222222222222222;0.16;0.25;0.13333333333333333;0.25;0.21052631578947367;0.1;0.19047619047619047;0.13333333333333333;0.21052631578947367;0.21052631578947367;0.19047619047619047;0.3333333333333333;0.23529411764705882;0.23529411764705882;0.25;0.3;0.19047619047619047;0.2;0.0;0.21052631578947367;0.2;0.23529411764705882;0.11764705882352941;0.2222222222222222;0.26666666666666666;0.2222222222222222
GO:0034629;0.25;0.23529411764705882;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.2222222222222222;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0
GO:0006999;0.0;0.0;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.25;0.0;1.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.14285714285714285;0.0;0.2222222222222222;0.0;0.3076923076923077;0.3157894736842105;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5714285714285714;0.0;0.2857142857142857;0.0;0.0;0.25;0.25;0.0;0.3076923076923077;0.3333333333333333;0.18181818181818182;0.3076923076923077;0.0;0.0;0.3333333333333333;0.18181818181818182;0.0;0.0;0.125;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.15384615384615385;0.2857142857142857;0.36363636363636365;0.2857142857142857
GO:0045892;0.0;0.0;0.10526315789473684;0.0;0.10526315789473684;0.19047619047619047;0.0;0.0;1.0;0.0;0.9090909090909091;0.3333333333333333;0.0;0.0;0.0;0.38095238095238093;0.8;0.0;0.0;0.38095238095238093;0.38095238095238093;0.42105263157894735;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.4166666666666667;0.6363636363636364;0.38095238095238093;0.0;0.2857142857142857;0.42105263157894735;0.2;0.0;0.38095238095238093;0.0;0.0;0.3157894736842105;0.0;0.3;0.42105263157894735;0.19047619047619047;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.3076923076923077;0.0;0.0;0.47058823529411764;0.4;0.0;0.36363636363636365;0.0;0.3;0.3;0.9090909090909091;0.21052631578947367;0.0;0.3333333333333333;0.0;0.19047619047619047;0.2727272727272727;0.38095238095238093;0.0;0.3;0.47619047619047616;0.0;0.0;0.0;0.0;0.10526315789473684
GO:0002437;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0
