;GO:0016525;GO:0090179;GO:0045807;GO:0015031;GO:0051091;GO:0008625;GO:0090051;GO:0000188;GO:0000187;GO:0045892;GO:0045893;GO:0035556;GO:0033138;GO:1902042;GO:0043517;GO:0071805;GO:0002092;GO:0050729;GO:0046469;GO:0007268;GO:1903413;GO:0009967;GO:0032715;GO:0071361;GO:0005513;GO:0032956;GO:0032717;GO:0010942;GO:0031623;GO:1905167;GO:0035025;GO:0090311;GO:0008284;GO:0042157;GO:0045944;GO:0044339;GO:0044338;GO:0042953;GO:0043524;GO:0000165;GO:0001523;GO:0010875;GO:0070588;GO:0035774;GO:2000772;GO:1901491;GO:0043537;GO:0050908;GO:0034441;GO:0034440;GO:1904646;GO:1904886;GO:0030514;GO:0010923;GO:0010801;GO:0097755;GO:0001934;GO:0001937;GO:0007050;GO:1901381;GO:0034393;GO:0032092;GO:0046777;GO:0006366;GO:0008543;GO:1903204;GO:0043149;GO:0042699;GO:0043547;GO:0010977;GO:0043154;GO:0031398;GO:2000310;GO:0010976;GO:0031397;GO:0071456;GO:0017148;GO:0034260;GO:0007186;GO:0030182;GO:0032088;GO:0090026;GO:0043277;GO:1900223;GO:0030855;GO:0043280;GO:0010508;GO:0043161;GO:0060716;GO:0051056;GO:0016042;GO:0071447;GO:0030178;GO:0016567;GO:0034374;GO:1904953;GO:0045746;GO:0002265;GO:0099054;GO:0051222;GO:0034765;GO:0014912;GO:1903078;GO:0002031;GO:0090240;GO:0060979;GO:0007205;GO:0007602;GO:0090090;GO:0070373;GO:0070374;GO:2000587;GO:0071346
GO:0045893;0.18181818181818182;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;0.15384615384615385;0.26666666666666666;0.35714285714285715;0.75;1.0;0.3;0.4166666666666667;0.21428571428571427;0.3;0.0;0.625;0.3;0.0;0.0;0.0;0.3333333333333333;0.18181818181818182;0.0;0.0;0.3;0.18181818181818182;0.3333333333333333;0.0;0.4166666666666667;0.23076923076923078;0.36363636363636365;0.3333333333333333;0.0;0.875;0.0;0.0;0.0;0.25;0.2727272727272727;0.0;0.25;0.0;0.3333333333333333;0.3;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.6;0.3076923076923077;0.3076923076923077;0.0;0.45454545454545453;0.25;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.09090909090909091;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.08333333333333333;0.0;0.23076923076923078;0.4166666666666667;0.25;0.2727272727272727;0.3076923076923077;0.0;0.6;0.2222222222222222;0.3;0.0;0.6;0.2727272727272727;0.0;0.3333333333333333;0.0;0.25;0.4;0.0;0.0;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.3333333333333333;0.18181818181818182;0.23076923076923078;0.3;0.0;0.38461538461538464;0.0;0.2727272727272727;0.3;0.23076923076923078;0.2857142857142857;0.38461538461538464;0.23076923076923078;0.0
GO:0035556;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.25;0.23076923076923078;0.3;0.3;1.0;0.2727272727272727;0.2727272727272727;0.375;0.25;0.375;0.0;0.2;0.0;0.16666666666666666;0.375;0.0;0.16666666666666666;0.0;0.42857142857142855;0.0;0.42857142857142855;0.16666666666666666;0.2727272727272727;0.25;0.3333333333333333;0.42857142857142855;0.0;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.5;0.125;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.375;0.0;0.25;0.0;0.3;0.3333333333333333;0.0;0.42857142857142855;0.2727272727272727;0.0;0.125;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.3333333333333333;0.0;0.2727272727272727;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.3333333333333333;0.1111111111111111;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.3;0.2727272727272727;0.2727272727272727;0.3;0.0
GO:0033138;0.15384615384615385;0.0;0.36363636363636365;0.0;0.3;0.0;0.13333333333333333;0.5384615384615384;0.6666666666666666;0.3076923076923077;0.4166666666666667;0.2727272727272727;1.0;0.2;0.36363636363636365;0.0;0.5;0.25;0.0;0.0;0.0;0.36363636363636365;0.15384615384615385;0.0;0.0;0.2727272727272727;0.15384615384615385;0.4;0.0;0.5;0.26666666666666666;0.6;0.4;0.0;0.38461538461538464;0.0;0.0;0.0;0.23076923076923078;0.25;0.0;0.21428571428571427;0.0;0.2727272727272727;0.2727272727272727;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.25;0.46153846153846156;0.6363636363636364;0.0;0.8888888888888888;0.23076923076923078;0.25;0.4;0.2857142857142857;0.07692307692307693;0.0;0.0;0.0;0.23076923076923078;0.0;0.25;0.07142857142857142;0.23076923076923078;0.3333333333333333;0.6363636363636364;0.23076923076923078;0.3333333333333333;0.5;0.0;0.45454545454545453;0.18181818181818182;0.2727272727272727;0.0;0.16666666666666666;0.23076923076923078;0.0;0.2727272727272727;0.0;0.42857142857142855;0.45454545454545453;0.0;0.0;0.23076923076923078;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.2727272727272727;0.15384615384615385;0.21428571428571427;0.25;0.0;0.5833333333333334;0.0;0.25;0.2727272727272727;0.21428571428571427;0.5833333333333334;0.7272727272727273;0.21428571428571427;0.0
GO:1902042;0.25;0.0;0.25;0.0;0.2;0.0;0.21428571428571427;0.4166666666666667;0.3076923076923077;0.25;0.21428571428571427;0.2727272727272727;0.2;1.0;0.2727272727272727;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.4444444444444444;0.2727272727272727;0.0;0.0;0.2727272727272727;0.2727272727272727;0.36363636363636365;0.0;0.2;0.3076923076923077;0.23076923076923078;0.2727272727272727;0.0;0.2;0.0;0.0;0.0;0.6363636363636364;0.25;0.0;0.14285714285714285;0.0;0.3;0.2727272727272727;0.2727272727272727;0.25;0.0;0.0;0.0;0.0;0.0;0.5;0.2857142857142857;0.26666666666666666;0.0;0.21428571428571427;0.3333333333333333;0.36363636363636365;0.2727272727272727;0.46153846153846156;0.08333333333333333;0.0;0.0;0.0;0.4166666666666667;0.0;0.25;0.07692307692307693;0.3333333333333333;0.6363636363636364;0.2;0.4;0.0;0.2857142857142857;0.0;0.3333333333333333;0.3333333333333333;0.2727272727272727;0.0;0.3;0.23076923076923078;0.0;0.18181818181818182;0.0;0.5;0.23076923076923078;0.0;0.0;0.4;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.18181818181818182;0.16666666666666666;0.25;0.16666666666666666;0.0;0.1875;0.0;0.25;0.2727272727272727;0.5;0.45454545454545453;0.3333333333333333;0.5;0.0
GO:0043517;0.2;0.0;0.5;0.0;0.42857142857142855;0.0;0.16666666666666666;0.4166666666666667;0.5454545454545454;0.2727272727272727;0.3;0.375;0.36363636363636365;0.2727272727272727;1.0;0.0;0.5;0.5;0.0;0.0;0.0;0.625;0.2;0.0;0.0;0.375;0.2;0.5714285714285714;0.0;0.36363636363636365;0.5454545454545454;0.3;0.5714285714285714;0.0;0.2727272727272727;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.2727272727272727;0.0;0.5714285714285714;0.5;0.2;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.25;0.23076923076923078;0.0;0.4;0.3;0.3333333333333333;0.5714285714285714;0.36363636363636365;0.1;0.0;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.09090909090909091;0.0;0.2727272727272727;0.36363636363636365;0.4;0.4444444444444444;0.25;0.0;0.3;0.25;0.375;0.0;0.2222222222222222;0.4;0.0;0.375;0.0;0.4;0.4444444444444444;0.0;0.0;0.5555555555555556;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.375;0.2;0.2727272727272727;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.375;0.36363636363636365;0.45454545454545453;0.6;0.36363636363636365;0.0
GO:0071805;0.0;0.25;0.0;0.2;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.25;0.0;0.25;0.1111111111111111;0.0;0.7777777777777778;0.0;0.0;0.0;0.0;0.0;0.125;0.14285714285714285;0.125;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.125;0.25;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.25;0.25;0.0;0.0;0.25;0.0;0.16666666666666666;0.0;0.0;0.25;0.0;0.0;0.0;0.14285714285714285;0.0;0.1;0.125;0.25;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.25;0.25;0.0;0.0;0.0;0.0;0.125
GO:0002092;0.2;0.0;0.7142857142857143;0.0;0.42857142857142855;0.0;0.16666666666666666;0.3076923076923077;0.38461538461538464;0.4444444444444444;0.625;0.375;0.5;0.25;0.5;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.2;0.0;0.0;0.375;0.2;0.5714285714285714;0.0;0.5;0.3333333333333333;0.4444444444444444;0.5714285714285714;0.0;0.5555555555555556;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.36363636363636365;0.0;0.375;0.375;0.2;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.36363636363636365;0.3333333333333333;0.0;0.5555555555555556;0.3;0.3333333333333333;0.5714285714285714;0.36363636363636365;0.1;0.0;0.0;0.0;0.3;0.0;0.3333333333333333;0.09090909090909091;0.0;0.2727272727272727;0.5;0.3;0.4444444444444444;0.36363636363636365;0.0;0.4444444444444444;0.25;0.375;0.0;0.36363636363636365;0.3;0.0;0.375;0.0;0.4;0.625;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0.0;0.0;0.5;0.4;0.2727272727272727;0.3333333333333333;0.0;0.45454545454545453;0.0;0.3333333333333333;0.375;0.2727272727272727;0.3333333333333333;0.45454545454545453;0.2727272727272727;0.0
GO:0050729;0.2;0.0;0.375;0.0;0.42857142857142855;0.0;0.16666666666666666;0.25;0.36363636363636365;0.18181818181818182;0.3;0.0;0.25;0.2727272727272727;0.5;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.5714285714285714;0.2;0.0;0.0;0.2222222222222222;0.2;0.375;0.0;0.25;0.36363636363636365;0.18181818181818182;0.375;0.0;0.2727272727272727;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.2727272727272727;0.0;0.5714285714285714;0.4444444444444444;0.2;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.09090909090909091;0.14285714285714285;0.0;0.2727272727272727;0.18181818181818182;0.0;0.375;0.25;0.1;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.09090909090909091;0.0;0.16666666666666666;0.25;0.3333333333333333;0.0;0.15384615384615385;0.0;0.18181818181818182;0.25;0.0;0.0;0.2222222222222222;0.5555555555555556;0.0;0.375;0.0;0.2727272727272727;0.3;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.375;0.2;0.18181818181818182;0.3333333333333333;0.0;0.23076923076923078;0.0;0.0;0.0;0.3;0.2727272727272727;0.4;0.3;0.0
GO:0046469;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.1;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.5;0.0;0.2;0.2;0.0;0.0;0.2;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3333333333333333;0.4;0.2;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.3333333333333333;0.125;0.0;0.3;0.0;0.2;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0
GO:0007268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.1;1.0;0.09090909090909091;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
