;GO:0045806;GO:0008380;GO:0007098;GO:1902311;GO:0007173;GO:0045445;GO:0007016;GO:0051090;GO:0043304;GO:0030866;GO:0006878;GO:0048246;GO:0002317;GO:0010812;GO:0010977;GO:0071333;GO:0048245;GO:0002758;GO:0010976;GO:0031116;GO:0035434;GO:1902041;GO:0007186;GO:2000251;GO:0031032;GO:0043312;GO:0002175;GO:0006897;GO:0006139;GO:0030855;GO:0048298;GO:0002522;GO:0033209;GO:0070232;GO:0001558;GO:2000521;GO:0031663;GO:0050727;GO:0071205;GO:0010469;GO:0071407;GO:0050764;GO:0072659;GO:0071801;GO:0008360;GO:0008284;GO:0043123;GO:0048812;GO:0046598;GO:0043488;GO:0038096;GO:0043687;GO:0002576;GO:0007229;GO:0071677;GO:0010951;GO:2001189;GO:0042129;GO:0060333;GO:0045639;GO:0031295;GO:0034120;GO:0043299;GO:0007169;GO:0038083;GO:0006397;GO:0045637;GO:0090280;GO:0030516;GO:0050860;GO:0001578;GO:0002548;GO:0030913;GO:0045087;GO:0043066;GO:0030838;GO:0030593;GO:2001237;GO:2000145
GO:0045806;1.0;0.0;0.0;0.5882352941176471;0.1111111111111111;0.0;0.13333333333333333;0.21052631578947367;0.5263157894736842;0.0;0.21052631578947367;0.0;0.0;0.6666666666666666;0.6666666666666666;0.23529411764705882;0.0;0.1111111111111111;0.5555555555555556;0.5263157894736842;0.0;0.4444444444444444;0.5714285714285714;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.125;0.4444444444444444;0.7142857142857143;0.5882352941176471;0.13333333333333333;0.4;0.0;0.26666666666666666;0.0;0.875;0.0;0.625;0.6666666666666666;0.5714285714285714;0.47058823529411764;0.0;0.35294117647058826;0.2222222222222222;0.10526315789473684;0.0;0.0;0.13333333333333333;0.3333333333333333;0.5263157894736842;0.4444444444444444;0.47058823529411764;0.125;0.5;0.1111111111111111;0.375;0.0;0.125;0.0;0.0;0.5333333333333333;0.5555555555555556;0.21052631578947367;0.47058823529411764;0.0;0.0;0.0;0.0;0.625;0.5;0.0;0.5555555555555556;0.5714285714285714
GO:0008380;0.0;1.0;0.14285714285714285;0.0;0.10526315789473684;0.14285714285714285;0.125;0.0;0.0;0.125;0.1;0.1111111111111111;0.10526315789473684;0.0;0.0;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.125;0.10526315789473684;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.125;0.11764705882352941;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.1;0.47058823529411764;0.1111111111111111;0.125;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.4;0.1111111111111111;0.0;0.0;0.0;0.0;0.125;0.11764705882352941;0.125;0.0;0.0;0.09523809523809523;0.10526315789473684;0.0;0.0
GO:0007098;0.0;0.14285714285714285;1.0;0.0;0.13333333333333333;0.2;0.16666666666666666;0.0;0.0;0.3333333333333333;0.25;0.14285714285714285;0.13333333333333333;0.0;0.0;0.2857142857142857;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.3333333333333333;0.13333333333333333;0.0;0.0;0.2;0.2;0.0;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.125;0.3076923076923077;0.2857142857142857;0.16666666666666666;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.25;0.14285714285714285;0.0;0.0;0.0;0.0;0.5;0.15384615384615385;0.16666666666666666;0.0;0.0;0.35294117647058826;0.13333333333333333;0.0;0.0
GO:1902311;0.5882352941176471;0.0;0.0;1.0;0.10526315789473684;0.0;0.125;0.2;0.5;0.0;0.2;0.0;0.0;0.375;0.10526315789473684;0.2222222222222222;0.0;0.10526315789473684;0.10526315789473684;0.3;0.0;0.3157894736842105;0.13333333333333333;0.3157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.11764705882352941;0.3157894736842105;0.4;0.3333333333333333;0.125;0.375;0.0;0.25;0.0;0.5882352941176471;0.0;0.35294117647058826;0.25;0.4;0.3333333333333333;0.0;0.3333333333333333;0.21052631578947367;0.1;0.0;0.0;0.125;0.3157894736842105;0.2;0.3157894736842105;0.3333333333333333;0.11764705882352941;0.35294117647058826;0.10526315789473684;0.35294117647058826;0.0;0.11764705882352941;0.0;0.0;0.375;0.7368421052631579;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.35294117647058826;0.2857142857142857;0.0;0.3157894736842105;0.5333333333333333
GO:0007173;0.1111111111111111;0.10526315789473684;0.13333333333333333;0.10526315789473684;1.0;0.13333333333333333;0.11764705882352941;0.09523809523809523;0.09523809523809523;0.23529411764705882;0.19047619047619047;0.10526315789473684;0.1;0.11764705882352941;0.1;0.21052631578947367;0.1;0.1;0.1;0.09523809523809523;0.0;0.1;0.125;0.1;0.23529411764705882;0.1;0.0;0.0;0.13333333333333333;0.13333333333333333;0.09090909090909091;0.11764705882352941;0.1111111111111111;0.1;0.125;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.0;0.11764705882352941;0.25;0.1111111111111111;0.0;0.1111111111111111;0.11764705882352941;0.125;0.10526315789473684;0.1111111111111111;0.10526315789473684;0.1;0.09523809523809523;0.2222222222222222;0.21052631578947367;0.11764705882352941;0.1;0.09523809523809523;0.1;0.10526315789473684;0.1111111111111111;0.1111111111111111;0.1;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.19047619047619047;0.10526315789473684;0.11764705882352941;0.1;0.09523809523809523;0.10526315789473684;0.23529411764705882;0.1111111111111111;0.11764705882352941;0.0;0.1111111111111111;0.18181818181818182;0.1;0.1;0.125
GO:0045445;0.0;0.14285714285714285;0.2;0.0;0.13333333333333333;1.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.125;0.14285714285714285;0.13333333333333333;0.0;0.0;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.13333333333333333;0.0;0.0;0.2;0.2;0.0;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.125;0.15384615384615385;0.2857142857142857;0.16666666666666666;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.125;0.14285714285714285;0.0;0.0;0.0;0.0;0.16666666666666666;0.15384615384615385;0.16666666666666666;0.0;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0
GO:0007016;0.13333333333333333;0.125;0.16666666666666666;0.125;0.11764705882352941;0.16666666666666666;1.0;0.1111111111111111;0.1111111111111111;0.7142857142857143;0.1111111111111111;0.125;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.125;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.1111111111111111;0.23529411764705882;0.11764705882352941;0.15384615384615385;0.11764705882352941;0.7142857142857143;0.11764705882352941;0.3076923076923077;0.3076923076923077;0.16666666666666666;0.16666666666666666;0.10526315789473684;0.14285714285714285;0.13333333333333333;0.11764705882352941;0.15384615384615385;0.125;0.14285714285714285;0.14285714285714285;0.3076923076923077;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.2857142857142857;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.125;0.13333333333333333;0.125;0.11764705882352941;0.1111111111111111;0.13333333333333333;0.25;0.14285714285714285;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.125;0.13333333333333333;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.125;0.13333333333333333;0.1111111111111111;0.125;0.14285714285714285;0.11764705882352941;0.1111111111111111;0.125;0.7142857142857143;0.13333333333333333;0.14285714285714285;0.0;0.13333333333333333;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.15384615384615385
GO:0051090;0.21052631578947367;0.0;0.0;0.2;0.09523809523809523;0.0;0.1111111111111111;1.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.2222222222222222;0.09523809523809523;0.2;0.0;0.09523809523809523;0.09523809523809523;0.18181818181818182;0.0;0.19047619047619047;0.11764705882352941;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.17391304347826086;0.0;0.10526315789473684;0.19047619047619047;0.23529411764705882;0.2;0.1111111111111111;0.2222222222222222;0.0;0.3333333333333333;0.0;0.21052631578947367;0.0;0.21052631578947367;0.2222222222222222;0.23529411764705882;0.2;0.0;0.2;0.19047619047619047;0.09090909090909091;0.0;0.0;0.1111111111111111;0.19047619047619047;0.2727272727272727;0.19047619047619047;0.2;0.10526315789473684;0.21052631578947367;0.09523809523809523;0.21052631578947367;0.0;0.10526315789473684;0.0;0.0;0.2222222222222222;0.19047619047619047;0.18181818181818182;0.2;0.0;0.0;0.0;0.0;0.21052631578947367;0.17391304347826086;0.0;0.19047619047619047;0.23529411764705882
GO:0043304;0.5263157894736842;0.0;0.0;0.5;0.09523809523809523;0.0;0.1111111111111111;0.18181818181818182;1.0;0.0;0.18181818181818182;0.0;0.0;0.3333333333333333;0.09523809523809523;0.2;0.0;0.47619047619047616;0.09523809523809523;0.36363636363636365;0.0;0.38095238095238093;0.47058823529411764;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.5217391304347826;0.0;0.10526315789473684;0.38095238095238093;0.35294117647058826;0.6;0.1111111111111111;0.4444444444444444;0.0;0.4444444444444444;0.0;0.5263157894736842;0.0;0.3157894736842105;0.2222222222222222;0.47058823529411764;0.4;0.0;0.4;0.19047619047619047;0.45454545454545453;0.0;0.0;0.1111111111111111;0.47619047619047616;0.36363636363636365;0.47619047619047616;0.6;0.10526315789473684;0.5263157894736842;0.47619047619047616;0.42105263157894735;0.0;0.10526315789473684;0.0;0.0;0.4444444444444444;0.47619047619047616;0.18181818181818182;0.5;0.0;0.0;0.0;0.0;0.42105263157894735;0.34782608695652173;0.0;0.38095238095238093;0.47058823529411764
GO:0030866;0.0;0.125;0.3333333333333333;0.0;0.23529411764705882;0.16666666666666666;0.7142857142857143;0.0;0.0;1.0;0.2222222222222222;0.25;0.11764705882352941;0.0;0.0;0.25;0.23529411764705882;0.23529411764705882;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.8571428571428571;0.11764705882352941;0.0;0.0;0.3333333333333333;0.16666666666666666;0.0;0.14285714285714285;0.26666666666666666;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.2222222222222222;0.26666666666666666;0.25;0.2857142857142857;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.125;0.26666666666666666;0.2222222222222222;0.125;0.0;0.0;0.0;0.0;0.7142857142857143;0.26666666666666666;0.2857142857142857;0.0;0.0;0.3157894736842105;0.23529411764705882;0.0;0.0
