;GO:0045806;GO:0008380;GO:0007098;GO:1902311;GO:0007173;GO:0045445;GO:0007016;GO:0051090;GO:0043304;GO:0030866;GO:0006878;GO:0048246;GO:0002317;GO:0010812;GO:0010977;GO:0071333;GO:0048245;GO:0002758;GO:0010976;GO:0031116;GO:0035434;GO:1902041;GO:0007186;GO:2000251;GO:0031032;GO:0043312;GO:0002175;GO:0006897;GO:0006139;GO:0030855;GO:0048298;GO:0002522;GO:0033209;GO:0070232;GO:0001558;GO:2000521;GO:0031663;GO:0050727;GO:0071205;GO:0010469;GO:0071407;GO:0050764;GO:0072659;GO:0071801;GO:0008360;GO:0008284;GO:0043123;GO:0048812;GO:0046598;GO:0043488;GO:0038096;GO:0043687;GO:0002576;GO:0007229;GO:0071677;GO:0010951;GO:2001189;GO:0042129;GO:0060333;GO:0045639;GO:0031295;GO:0034120;GO:0043299;GO:0007169;GO:0038083;GO:0006397;GO:0045637;GO:0090280;GO:0030516;GO:0050860;GO:0001578;GO:0002548;GO:0030913;GO:0045087;GO:0043066;GO:0030838;GO:0030593;GO:2001237;GO:2000145
GO:0006878;0.07142857142857142;0.0;0.1111111111111111;0.0625;0.1111111111111111;0.0;0.0;0.08333333333333333;0.06666666666666667;0.09090909090909091;1.0;0.1111111111111111;0.0;0.07142857142857142;0.0;0.3;0.1111111111111111;0.1111111111111111;0.0;0.0625;0.0;0.0625;0.1111111111111111;0.058823529411764705;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091;0.0;0.06666666666666667;0.0;0.1111111111111111;0.05555555555555555;0.07692307692307693;0.0625;0.1111111111111111;0.07142857142857142;0.0;0.08333333333333333;0.08333333333333333;0.06666666666666667;0.0;0.07142857142857142;0.18181818181818182;0.07142857142857142;0.0625;0.1111111111111111;0.0625;0.16666666666666666;0.1111111111111111;0.07692307692307693;0.08333333333333333;0.1111111111111111;0.06666666666666667;0.0625;0.06666666666666667;0.0625;0.1111111111111111;0.06666666666666667;0.0;0.0625;0.0;0.1111111111111111;0.06666666666666667;0.0;0.07142857142857142;0.0625;0.0;0.06666666666666667;0.09090909090909091;0.1111111111111111;0.1111111111111111;0.0;0.0625;0.07142857142857142;0.1111111111111111;0.0625;0.07692307692307693
GO:0048246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;1.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0002317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
GO:0010812;0.5;0.0;0.0;0.2;0.0;0.0;0.0;0.14285714285714285;0.2222222222222222;0.0;0.07142857142857142;0.0;0.0;1.0;0.4444444444444444;0.09090909090909091;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.375;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.25;0.375;0.4;0.0;0.25;0.0;0.14285714285714285;0.0;0.3333333333333333;0.0;0.3333333333333333;0.14285714285714285;0.375;0.2727272727272727;0.0;0.2;0.125;0.0;0.0;0.0;0.0;0.2222222222222222;0.36363636363636365;0.4444444444444444;0.2727272727272727;0.0;0.3333333333333333;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.2;0.16666666666666666;0.4;0.0;0.0;0.0;0.0;0.4444444444444444;0.3;0.0;0.4;0.375
GO:0010977;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;1.0;0.0;0.0;0.0;0.3333333333333333;0.4;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.5;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.36363636363636365;0.0
GO:0071333;0.09090909090909091;0.0;0.1111111111111111;0.07692307692307693;0.1111111111111111;0.0;0.0;0.1111111111111111;0.08333333333333333;0.09090909090909091;0.3;0.1111111111111111;0.0;0.09090909090909091;0.0;1.0;0.1111111111111111;0.1111111111111111;0.0;0.07692307692307693;0.0;0.07692307692307693;0.1111111111111111;0.07142857142857142;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091;0.0;0.08333333333333333;0.0;0.1111111111111111;0.06666666666666667;0.1;0.07692307692307693;0.1111111111111111;0.09090909090909091;0.0;0.1111111111111111;0.4444444444444444;0.08333333333333333;0.0;0.09090909090909091;0.25;0.09090909090909091;0.07692307692307693;0.1111111111111111;0.07692307692307693;0.2222222222222222;0.1111111111111111;0.07692307692307693;0.08333333333333333;0.1111111111111111;0.08333333333333333;0.07692307692307693;0.08333333333333333;0.07692307692307693;0.1111111111111111;0.08333333333333333;0.0;0.07692307692307693;0.0;0.1111111111111111;0.06666666666666667;0.0;0.09090909090909091;0.07692307692307693;0.125;0.08333333333333333;0.09090909090909091;0.1111111111111111;0.1111111111111111;0.1;0.07692307692307693;0.15384615384615385;0.1111111111111111;0.07692307692307693;0.1
GO:0048245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0002758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.4;0.0;0.4444444444444444;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.4;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0010976;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;1.0;0.5555555555555556;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.23076923076923078;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.5;0.36363636363636365;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.5555555555555556;0.0;0.0;0.0
GO:0031116;0.4444444444444444;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.2727272727272727;0.0;0.0625;0.0;0.0;0.3;0.4;0.07692307692307693;0.0;0.0;0.5555555555555556;1.0;0.0;0.25;0.3333333333333333;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.23076923076923078;0.5;0.25;0.3;0.2;0.0;0.3;0.0;0.4444444444444444;0.0;0.5;0.4444444444444444;0.5;0.36363636363636365;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.3;0.3;0.23076923076923078;0.18181818181818182;0.25;0.2727272727272727;0.4444444444444444;0.3333333333333333;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.2727272727272727;0.4;0.25;0.0;0.0;0.0;0.0;0.2727272727272727;0.75;0.0;0.25;0.3333333333333333
GO:0035434;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902041;0.2727272727272727;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.3;0.0;0.0625;0.0;0.0;0.2727272727272727;0.0;0.07692307692307693;0.0;0.0;0.0;0.25;0.0;1.0;0.3;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.5;0.3;0.23076923076923078;0.0;0.3333333333333333;0.0;0.5;0.0;0.2727272727272727;0.0;0.2727272727272727;0.1111111111111111;0.3;0.4;0.0;0.16666666666666666;0.1;0.0;0.0;0.0;0.0;0.18181818181818182;0.21428571428571427;0.3;0.23076923076923078;0.0;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.3;0.16666666666666666;0.125;0.4;0.0;0.0;0.0;0.0;0.6;0.25;0.0;0.75;0.3
GO:0007186;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.2;0.1111111111111111;0.0;0.0;0.375;0.0;0.1111111111111111;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;1.0;0.3;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.42857142857142855;0.3;0.0;0.0;0.0;0.0;0.16666666666666666;0.375;0.0;0.375;0.0;0.42857142857142855;0.3;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.3;0.0;0.375;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.42857142857142855;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3;0.42857142857142855
GO:2000251;0.4;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.1;0.25;0.0;0.058823529411764705;0.0;0.0;0.2727272727272727;0.36363636363636365;0.07142857142857142;0.0;0.0;0.5;0.7;0.0;0.23076923076923078;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.21428571428571427;0.4444444444444444;0.23076923076923078;0.2727272727272727;0.18181818181818182;0.0;0.2727272727272727;0.0;0.4;0.0;0.5;0.4;0.4444444444444444;0.3333333333333333;0.0;0.25;0.25;0.0;0.0;0.0;0.2727272727272727;0.2727272727272727;0.21428571428571427;0.16666666666666666;0.23076923076923078;0.0;0.4;0.3076923076923077;0.25;0.0;0.0;0.0;0.0;0.3;0.25;0.36363636363636365;0.23076923076923078;0.0;0.0;0.0;0.0;0.25;0.7777777777777778;0.0;0.23076923076923078;0.3
GO:0031032;0.0;0.0;0.2;0.0;0.2;0.0;0.5714285714285714;0.0;0.0;0.6;0.09090909090909091;0.2;0.0;0.0;0.0;0.09090909090909091;0.2;0.2;0.0;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.1111111111111111;0.125;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.5;0.2;0.2;0.0;0.0;0.18181818181818182;0.2;0.0;0.0
GO:0043312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
GO:0002175;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006897;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.4444444444444444;0.1111111111111111;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006139;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.25;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0
GO:0030855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048298;0.2222222222222222;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.125;0.45454545454545453;0.0;0.06666666666666667;0.0;0.0;0.2222222222222222;0.0;0.08333333333333333;0.0;0.0;0.4;0.3;0.0;0.18181818181818182;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.15384615384615385;0.25;0.45454545454545453;0.0;0.2222222222222222;0.0;0.125;0.0;0.2;0.0;0.2222222222222222;0.3333333333333333;0.375;0.3;0.0;0.3;0.1111111111111111;0.0;0.0;0.0;0.0;0.3333333333333333;0.2857142857142857;0.4166666666666667;0.45454545454545453;0.0;0.5;0.5454545454545454;0.3;0.0;0.0;0.0;0.0;0.375;0.3;0.375;0.2;0.0;0.0;0.0;0.0;0.18181818181818182;0.3;0.0;0.18181818181818182;0.25
GO:0002522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
GO:0033209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
