;GO:0014066;GO:0015031;GO:0006047;GO:0006886;GO:0006686;GO:0046338;GO:1902559;GO:0010977;GO:1990569;GO:0033137;GO:2000156;GO:0050714;GO:0019369;GO:0034067;GO:0032482;GO:0006893;GO:0051260;GO:0006888;GO:2000009;GO:0050482;GO:0001516;GO:2000643;GO:0018345;GO:0010360;GO:0043407;GO:0036151;GO:0008089;GO:0036152;GO:0043123;GO:0046513;GO:0043001;GO:0043004;GO:0042953;GO:0000045;GO:0000165;GO:0016310;GO:0048260;GO:0050775;GO:0036344;GO:2001242;GO:0050708;GO:0043651;GO:1903830;GO:1903434;GO:0090481;GO:0030516;GO:0034638;GO:0050428;GO:2000785;GO:0016266;GO:0017157;GO:0016267;GO:0048194;GO:0034315
GO:2000156;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;1.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.5714285714285714;0.0;0.4;0.2727272727272727;0.0;0.0;0.0;0.3;0.0;0.0;0.4444444444444444;0.0;0.0;0.375;0.0;0.5;0.0;0.0;0.3333333333333333;0.42857142857142855;0.0;0.0;0.5;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;0.0;0.2727272727272727
GO:0050714;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.25;0.375;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.5714285714285714;0.0;0.3333333333333333;0.25;0.0;0.0;0.0;0.4;0.0;0.0;0.5;0.0;0.0;0.3333333333333333;0.0;0.4444444444444444;0.4444444444444444;0.0;0.3;0.8333333333333334;0.0;0.0;0.4444444444444444;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.5714285714285714;0.0;0.0;0.25
GO:0019369;0.0;0.0;0.25;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.25;0.0;0.25;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.25;0.4444444444444444;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0
GO:0034067;0.0;0.375;0.0;0.42857142857142855;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;1.0;0.0;0.09090909090909091;0.0;0.2857142857142857;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.14285714285714285;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032482;0.0;0.0;0.2;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.1111111111111111
GO:0006893;0.0;0.25;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;1.0;0.0;0.625;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.8571428571428571;0.14285714285714285;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051260;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111
GO:0006888;0.0;0.2;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.625;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:2000009;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.25;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.2222222222222222;0.4;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.25;0.0;0.25;0.0;0.0;0.18181818181818182
GO:0050482;0.0;0.2;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.5;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001516;0.0;0.0;0.2;0.0;0.4;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;0.0;0.2;0.0;0.2;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.2;0.3;0.0;0.25;0.0;0.25;0.0;0.06666666666666667
GO:2000643;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.5714285714285714;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.5;0.5;0.0;0.3333333333333333;0.42857142857142855;0.0;0.0;0.4444444444444444;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.5714285714285714;0.0;0.0;0.2727272727272727
GO:0018345;0.0;0.0;0.4;0.0;0.42857142857142855;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;1.0;0.0;0.0;0.5;0.0;0.5;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.0;0.6;0.0;0.6;0.0;0.1111111111111111
GO:0010360;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.36363636363636365;0.0;1.0;0.25;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.18181818181818182;0.36363636363636365;0.0;0.0;0.36363636363636365;0.0;0.14285714285714285;0.0;0.0;0.2;0.0;0.4;0.0;0.0;0.15384615384615385
GO:0043407;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.7272727272727273;0.2727272727272727;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.2727272727272727;0.0;0.25;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.3333333333333333;0.0;0.0;0.25;0.0;0.23076923076923078;0.0;0.0;0.5555555555555556;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.18181818181818182;0.0;0.2727272727272727;0.0;0.0;0.2
GO:0036151;0.0;0.0;0.3333333333333333;0.0;0.42857142857142855;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.6666666666666666;0.3;0.0;0.5;0.0;0.5;0.0;0.0
GO:0008089;0.0;0.2;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0036152;0.0;0.0;0.3333333333333333;0.0;0.42857142857142855;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.5;0.0;0.0;0.6666666666666666;0.0;1.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.6666666666666666;0.3;0.0;0.5;0.0;0.5;0.0;0.0
GO:0043123;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.3;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.4444444444444444;0.0;0.16666666666666666;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.36363636363636365;0.0;0.625;0.3;0.0;0.0;0.25;0.0;0.125;0.0;0.0;0.2;0.0;0.3;0.0;0.0;0.21428571428571427
GO:0046513;0.0;0.0;0.25;0.0;0.7142857142857143;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.42857142857142855;0.0;0.0;0.375;0.0;0.375;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.2222222222222222;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.42857142857142855;0.0;0.42857142857142855;0.0;0.07692307692307693
GO:0043001;0.0;0.8;0.0;0.6666666666666666;0.0;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.8571428571428571;0.0;0.5555555555555556;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;1.0;0.16666666666666666;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043004;0.0;0.2;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.3333333333333333;0.4444444444444444;0.5;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.16666666666666666;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.5454545454545454;0.0;0.1111111111111111;0.4;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0
GO:0042953;0.0;0.8;0.0;0.6666666666666666;0.0;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.375;0.0;0.2222222222222222;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.6666666666666666;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000045;0.0;0.0;0.2;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.1111111111111111
GO:0000165;0.0;0.0;0.2;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.25;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;1.0;0.625;0.3;0.0;0.0;0.3;0.375;0.14285714285714285;0.0;0.3;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.375;0.0;0.0;0.1111111111111111
GO:0016310;0.0;0.0;0.5;0.0;0.5;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.3333333333333333;0.0;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.2222222222222222;0.0;0.0;0.0;0.16666666666666666;0.625;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.4444444444444444;0.25;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.08333333333333333
GO:0048260;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.23076923076923078;0.5;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.5;0.0;0.36363636363636365;0.23076923076923078;0.0;0.0;0.0;0.3;0.0;0.0;0.36363636363636365;0.0;0.0;0.3;0.0;1.0;0.5555555555555556;0.0;0.2727272727272727;0.4;0.0;0.0;0.4;0.0;0.14285714285714285;0.0;0.0;0.4;0.0;0.5;0.0;0.0;0.3333333333333333
GO:0050775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333
GO:0036344;0.0;0.0;0.2;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.1111111111111111
GO:2001242;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333;0.0;0.18181818181818182;0.5555555555555556;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.14285714285714285;0.0;0.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078
GO:0050708;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.42857142857142855;0.8333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.42857142857142855;0.0;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.3;0.0;0.0;0.5454545454545454;0.0;0.0;0.375;0.0;0.4;0.3333333333333333;0.0;0.3333333333333333;1.0;0.0;0.0;0.5;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;0.0;0.2727272727272727
GO:0043651;0.0;0.0;0.25;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.2857142857142857;0.0;0.0;0.3;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.2222222222222222;0.0;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3;0.2222222222222222;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.07692307692307693
GO:1903830;0.0;0.2;0.0;0.3;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.2727272727272727;0.0;0.3;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.25;0.1111111111111111;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1903434;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.3333333333333333;0.5;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.4444444444444444;0.0;0.36363636363636365;0.3333333333333333;0.0;0.0;0.0;0.25;0.0;0.0;0.4;0.0;0.0;0.3;0.0;0.4;0.2727272727272727;0.0;0.2727272727272727;0.5;0.0;0.0;1.0;0.0;0.125;0.0;0.0;0.2727272727272727;0.0;0.7142857142857143;0.0;0.0;0.23076923076923078
GO:0090481;0.0;0.4444444444444444;0.0;0.375;0.0;0.0;0.5;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.3333333333333333;0.0;0.375;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.4;0.14285714285714285;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030516;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.14285714285714285;0.1111111111111111;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.125;0.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333
GO:0034638;0.0;0.0;0.3333333333333333;0.0;0.42857142857142855;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.5;0.0;0.0;0.6666666666666666;0.0;0.6666666666666666;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;1.0;0.3;0.0;0.5;0.0;0.5;0.0;0.0
GO:0050428;0.0;0.0;0.2857142857142857;0.0;0.375;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.3;0.0;0.375;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.25;0.0;0.0;0.16666666666666666;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.3;1.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.08333333333333333
GO:2000785;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.3076923076923077;0.3333333333333333;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.2;0.18181818181818182;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.2222222222222222;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.3333333333333333;0.0;0.0;0.3
