;GO:0006281;GO:0008584;GO:0006164;GO:0046655;GO:0009113;GO:0051290;GO:0010977;GO:0051607;GO:0035999;GO:0051569;GO:0009070;GO:0015942;GO:0009086;GO:0006097;GO:0032088;GO:1904465;GO:1903976;GO:0006099;GO:0000105;GO:0042267;GO:0006335;GO:0006206;GO:0002644;GO:0070234;GO:0045869;GO:0006260;GO:0080111;GO:0006102;GO:0009972;GO:0009257;GO:0045944;GO:0006103;GO:0006741;GO:0048539;GO:0000122;GO:2000738;GO:0070383;GO:0010956;GO:0000083;GO:0031497;GO:0070105;GO:0019346;GO:0016554;GO:0050776;GO:0060253;GO:0031295;GO:0006351;GO:0034121;GO:0009263;GO:0060218;GO:0002230;GO:0001780;GO:0048704;GO:0071222;GO:0010529;GO:0045087;GO:0043066
GO:0009070;0.4;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.4;0.0;0.0;0.43852901558847923;0.0;1.0;0.48300749985576874;0.6830074998557688;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.4;0.48300749985576874;0.3356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.4;0.0;0.6830074998557688;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
GO:0015942;0.48300749985576874;0.0;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;1.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.0;0.6830074998557688;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.3356143810225276;0.5356143810225276;0.0;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0
GO:0009086;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.6830074998557688;0.48300749985576874;1.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.6830074998557688;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.0;0.6000000000000001;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0
GO:0006097;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.6830074998557688;0.48300749985576874;1.0;0.0;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.6000000000000001;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.6000000000000001;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0
GO:0032088;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;1.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.3081136762725405;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.6000000000000001;0.0;0.4;0.0;0.0;0.5356143810225276;0.5356143810225276;0.4;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874
GO:1904465;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.48300749985576874;1.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.4;0.43852901558847923;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.5356143810225276;0.3356143810225276;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874
GO:1903976;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;1.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.4;0.8;0.0;0.4;0.0;0.0;0.5356143810225276;0.8;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923
GO:0006099;0.6000000000000001;0.0;0.5356143810225276;0.6830074998557688;0.6000000000000001;0.8;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.6830074998557688;0.5356143810225276;0.6830074998557688;0.0;0.0;0.0;1.0;0.6000000000000001;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.6830074998557688;0.6830074998557688;0.4;0.48300749985576874;0.0;0.6830074998557688;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.8;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0
GO:0000105;0.48300749985576874;0.0;0.6830074998557688;0.5356143810225276;0.6830074998557688;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;1.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.4;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.5356143810225276;0.0;0.6000000000000001;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0
GO:0042267;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.8;0.0
GO:0006335;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.8;0.0;0.0;0.6000000000000001;0.0;0.4;0.5356143810225276;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;1.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.0;0.6000000000000001;0.4;0.0;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0
GO:0006206;0.48300749985576874;0.0;0.5356143810225276;0.5356143810225276;0.6830074998557688;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;1.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0
GO:0002644;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;1.0;0.3081136762725405;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.4;0.0;0.0;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.4;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874
GO:0070234;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;1.0;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.2599120563717816;0.4;0.0;0.2830074998557688;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.2830074998557688;0.2599120563717816;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276
GO:0045869;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.23852901558847928;1.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3081136762725405;0.0;0.0;0.4;0.4;0.3081136762725405;0.0;0.3660149997115376;0.0;0.0;0.4;0.3081136762725405;0.0;0.0;0.43852901558847923;0.0;0.3660149997115376
GO:0006260;0.8;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;1.0;0.6000000000000001;0.4;0.3356143810225276;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0
GO:0080111;0.6000000000000001;0.0;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.0;0.0;0.5356143810225276;0.0;0.4;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.6830074998557688;0.48300749985576874;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;1.0;0.4;0.3356143810225276;0.4;0.0;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0
GO:0006102;0.4;0.0;0.3660149997115376;0.6000000000000001;0.3660149997115376;0.4;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.6830074998557688;0.48300749985576874;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.4;0.4;1.0;0.2830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
GO:0009972;0.3356143810225276;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.4;0.4;0.0;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.2830074998557688;1.0;0.3081136762725405;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.2830074998557688;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3356143810225276;0.2830074998557688;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0
GO:0009257;0.4;0.0;0.48300749985576874;0.6830074998557688;0.48300749985576874;0.4;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.4;0.5356143810225276;0.3081136762725405;1.0;0.0;0.6830074998557688;0.48300749985576874;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
GO:0045944;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.2830074998557688;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8;0.4;0.0;0.43852901558847923;0.6830074998557688;0.0;0.3660149997115376;0.0;0.0;0.4;0.3660149997115376;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.4;0.0;0.3356143810225276
GO:0006103;0.5356143810225276;0.0;0.48300749985576874;0.8;0.48300749985576874;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.3660149997115376;0.6830074998557688;0.0;1.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.6000000000000001;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0
GO:0006741;0.3660149997115376;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.48300749985576874;0.0;0.48300749985576874;1.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.4;0.4;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0
GO:0048539;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0000122;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.4;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.2599120563717816;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;1.0;0.3660149997115376;0.0;0.5356143810225276;0.6830074998557688;0.0;0.3081136762725405;0.0;0.0;0.4;0.43852901558847923;0.3081136762725405;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.48300749985576874;0.0;0.4
GO:2000738;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.4;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.3660149997115376;1.0;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.4;0.3660149997115376;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923
GO:0070383;0.6000000000000001;0.0;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.4;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.3356143810225276;0.2830074998557688;0.3356143810225276;0.0;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;1.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.4;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
GO:0010956;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.4;0.0;1.0;0.48300749985576874;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.0;0.4;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923
